Retention by grade,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,140,62.8,DS,0.9,DS,0.9,30,13.5,52,23.3,52,23.3,0,0,DS,0.9,47,21.1,0,0,22,9.9,114,10,3,5
Kindergarten females,83,37.2,0,0,DS,0.9,20,9,33,14.8,26,11.7,0,0,DS,0.9,15,6.7,0,0,12,5.4,114,10,3,5
Kindergarten total,223,100,DS,0.9,4,1.8,50,22.4,85,38.1,78,35,0,0,4,1.8,62,27.8,0,0,34,15.2,114,10,3,5
1st grade males,182,58.9,DS,0.6,5,1.6,44,14.2,78,25.2,51,16.5,0,0,DS,0.6,37,12,0,0,28,9.1,126,10,3,5
1st grade females,127,41.1,DS,0.6,DS,0.6,35,11.3,52,16.8,34,11,0,0,DS,0.6,15,4.9,0,0,28,9.1,126,10,3,5
1st grade total,309,100,4,1.3,7,2.3,79,25.6,130,42.1,85,27.5,0,0,4,1.3,52,16.8,0,0,56,18.1,126,10,3,5
2nd grade males,101,54,0,0,DS,1.1,19,10.2,50,26.7,30,16,0,0,0,0,13,7,5,2.7,12,6.4,126,10,3,5
2nd grade females,86,46,DS,1.1,DS,1.1,21,11.2,36,19.3,23,12.3,0,0,DS,1.1,14,7.5,DS,1.1,16,8.6,126,10,3,5
2nd grade total,187,100,DS,1.1,4,2.1,40,21.4,86,46,53,28.3,0,0,DS,1.1,27,14.4,7,3.7,28,15,126,10,3,5
3rd grade males,84,60.4,0,0,DS,1.4,19,13.7,44,31.7,15,10.8,DS,1.4,DS,1.4,22,15.8,DS,1.4,9,6.5,126,10,3,5
