Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"73,634"	42.8	246	0.1	"4,362"	2.5	"18,807"	10.9	"9,039"	5.2	"39,096"	22.7	71	0	"2,013"	1.2	"2,032"	1.2	"1,367"	0.8	501	12	3	5
At least one AP course females	"98,573"	57.2	344	0.2	"4,968"	2.9	"26,197"	15.2	"14,470"	8.4	"49,675"	28.8	102	0.1	"2,817"	1.6	"1,286"	0.7	"1,966"	1.1	501	12	3	5
At least one AP course total	"172,207"	100	590	0.3	"9,330"	5.4	"45,004"	26.1	"23,509"	13.7	"88,771"	51.5	173	0.1	"4,830"	2.8	"3,318"	1.9	"3,333"	1.9	501	12	3	5
AP mathematics males	"12,447"	50.4	40	0.2	"1,122"	4.5	"2,749"	11.1	990	4	"7,231"	29.3	6	0	309	1.3	185	0.7	68	0.3	501	12	3	5
AP mathematics females	"12,269"	49.6	34	0.1	"1,041"	4.2	"2,805"	11.3	"1,375"	5.6	"6,634"	26.8	15	0.1	365	1.5	72	0.3	64	0.3	501	12	3	5
AP mathematics total	"24,716"	100	74	0.3	"2,163"	8.8	"5,554"	22.5	"2,365"	9.6	"13,865"	56.1	21	0.1	674	2.7	257	1	132	0.5	501	12	3	5
AP science males	"15,638"	47.4	52	0.2	"1,303"	4	"3,578"	10.9	"1,488"	4.5	"8,775"	26.6	14	0	428	1.3	330	1	80	0.2	501	12	3	5
AP science females	"17,322"	52.6	52	0.2	"1,309"	4	"4,070"	12.3	"2,213"	6.7	"9,158"	27.8	16	0	504	1.5	152	0.5	88	0.3	501	12	3	5
AP science total	"32,960"	100	104	0.3	"2,612"	7.9	"7,648"	23.2	"3,701"	11.2	"17,933"	54.4	30	0.1	932	2.8	482	1.5	168	0.5	501	12	3	5
AP foreign language males	"25,565"	38.9	79	0.1	"1,528"	2.3	"7,665"	11.7	"3,010"	4.6	"12,612"	19.2	24	0	647	1	536	0.8	"1,060"	1.6	501	12	3	5
AP foreign language females	"40,186"	61.1	129	0.2	"1,914"	2.9	"12,381"	18.8	"5,610"	8.5	"19,058"	29	30	0	"1,064"	1.6	435	0.7	"1,638"	2.5	501	12	3	5
AP foreign language total	"65,751"	100	208	0.3	"3,442"	5.2	"20,046"	30.5	"8,620"	13.1	"31,670"	48.2	54	0.1	"1,711"	2.6	971	1.5	"2,698"	4.1	501	12	3	5
Other AP subjects males	"57,252"	42.8	182	0.1	"3,565"	2.7	"13,543"	10.1	"6,953"	5.2	"31,341"	23.4	57	0	"1,611"	1.2	"1,608"	1.2	276	0.2	501	12	3	5
Other AP subjects females	"76,406"	57.2	267	0.2	"4,109"	3.1	"18,584"	13.9	"11,078"	8.3	"40,060"	30	81	0.1	"2,227"	1.7	989	0.7	331	0.2	501	12	3	5
Other AP subjects total	"133,658"	100	449	0.3	"7,674"	5.7	"32,127"	24	"18,031"	13.5	"71,401"	53.4	138	0.1	"3,838"	2.9	"2,597"	1.9	607	0.5	501	12	3	5
