Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"5,271",63.7,19,0.2,48,0.6,"1,377",16.7,"1,663",20.1,"1,990",24.1,5,0.1,169,2,953,11.5,55,0.7,943,11.4,"2,242",12,3,5
Kindergarten females,"2,999",36.3,9,0.1,18,0.2,808,9.8,981,11.9,"1,069",12.9,DS,0,112,1.4,394,4.8,12,0.1,541,6.5,"2,242",12,3,5
Kindergarten total,"8,270",100,28,0.3,66,0.8,"2,185",26.4,"2,644",32,"3,059",37,7,0.1,281,3.4,"1,347",16.3,67,0.8,"1,484",17.9,"2,242",12,3,5
1st grade males,"5,808",60.7,22,0.2,32,0.3,"1,591",16.6,"1,917",20,"2,032",21.2,5,0.1,209,2.2,988,10.3,114,1.2,"1,103",11.5,"2,243",12,3,5
1st grade females,"3,755",39.3,9,0.1,21,0.2,"1,082",11.3,"1,201",12.6,"1,317",13.8,4,0,121,1.3,421,4.4,30,0.3,742,7.8,"2,243",12,3,5
1st grade total,"9,563",100,31,0.3,53,0.6,"2,673",28,"3,118",32.6,"3,349",35,9,0.1,330,3.5,"1,409",14.7,144,1.5,"1,845",19.3,"2,243",12,3,5
2nd grade males,"3,600",58,11,0.2,30,0.5,"1,153",18.6,"1,295",20.9,"1,002",16.1,5,0.1,104,1.7,595,9.6,126,2,901,14.5,"2,139",12,3,5
2nd grade females,"2,610",42,12,0.2,15,0.2,901,14.5,900,14.5,711,11.4,5,0.1,66,1.1,255,4.1,54,0.9,664,10.7,"2,139",12,3,5
2nd grade total,"6,210",100,23,0.4,45,0.7,"2,054",33.1,"2,195",35.3,"1,713",27.6,10,0.2,170,2.7,850,13.7,180,2.9,"1,565",25.2,"2,139",12,3,5
3rd grade males,893,60.3,DS,0.1,9,0.6,201,13.6,554,37.4,107,7.2,DS,0.1,18,1.2,293,19.8,0,0,202,13.6,"2,139",12,3,5
3rd grade females,587,39.7,5,0.3,8,0.5,157,10.6,348,23.5,54,3.6,0,0,15,1,165,11.1,DS,0.1,158,10.7,"2,139",12,3,5
3rd grade total,"1,480",100,7,0.5,17,1.1,358,24.2,902,60.9,161,10.9,DS,0.1,33,2.2,458,30.9,DS,0.1,360,24.3,"2,139",12,3,5
4th grade males,"1,231",58.3,4,0.2,23,1.1,305,14.4,530,25.1,338,16,DS,0.1,29,1.4,231,10.9,108,5.1,216,10.2,"2,149",12,3,5
4th grade females,880,41.7,DS,0.1,9,0.4,244,11.6,370,17.5,224,10.6,DS,0.1,29,1.4,96,4.5,34,1.6,162,7.7,"2,149",12,3,5
4th grade total,"2,111",100,6,0.3,32,1.5,549,26,900,42.6,562,26.6,4,0.2,58,2.7,327,15.5,142,6.7,378,17.9,"2,149",12,3,5
5th grade males,837,61.6,DS,0.1,15,1.1,210,15.5,334,24.6,245,18,0,0,31,2.3,192,14.1,82,6,118,8.7,"2,272",12,3,5
5th grade females,522,38.4,DS,0.1,DS,0.1,134,9.9,202,14.9,157,11.6,4,0.3,21,1.5,110,8.1,29,2.1,72,5.3,"2,272",12,3,5
