Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"39,675"	43.6	97	0.1	"3,896"	4.3	"3,173"	3.5	"9,155"	10.1	"22,177"	24.4	44	0	"1,133"	1.2	504	0.6	160	0.2	376	13	3	5
At least one AP course females	"51,302"	56.4	145	0.2	"3,953"	4.3	"3,847"	4.2	"14,797"	16.3	"26,991"	29.7	52	0.1	"1,517"	1.7	248	0.3	160	0.2	376	13	3	5
At least one AP course total	"90,977"	100	242	0.3	"7,849"	8.6	"7,020"	7.7	"23,952"	26.3	"49,168"	54	96	0.1	"2,650"	2.9	752	0.8	320	0.4	376	13	3	5
AP mathematics males	"9,789"	49.2	27	0.1	"1,350"	6.8	609	3.1	"1,749"	8.8	"5,813"	29.2	9	0	232	1.2	84	0.4	55	0.3	376	13	3	5
AP mathematics on females	"10,095"	50.8	25	0.1	"1,246"	6.3	605	3	"2,380"	12	"5,576"	28	DS	0	261	1.3	30	0.2	38	0.2	376	13	3	5
AP mathematics total	"19,884"	100	52	0.3	"2,596"	13.1	"1,214"	6.1	"4,129"	20.8	"11,389"	57.3	11	0.1	493	2.5	114	0.6	93	0.5	376	13	3	5
AP science males	"10,571"	49.1	27	0.1	"1,719"	8	738	3.4	"1,926"	8.9	"5,829"	27.1	19	0.1	313	1.5	105	0.5	32	0.1	376	13	3	5
AP science females	"10,951"	50.9	29	0.1	"1,504"	7	725	3.4	"2,575"	12	"5,796"	26.9	12	0.1	310	1.4	33	0.2	31	0.1	376	13	3	5
AP science total	"21,522"	100	56	0.3	"3,223"	15	"1,463"	6.8	"4,501"	20.9	"11,625"	54	31	0.1	623	2.9	138	0.6	63	0.3	376	13	3	5
AP foreign language males	"1,230"	38	DS	0.1	158	4.9	392	12.1	103	3.2	545	16.8	0	0	30	0.9	12	0.4	31	1	376	13	3	5
AP foreign language females	"2,008"	62	DS	0.1	228	7	502	15.5	286	8.8	924	28.5	DS	0.1	64	2	8	0.2	32	1	376	13	3	5
AP foreign language total	"3,238"	100	4	0.1	386	11.9	894	27.6	389	12	"1,469"	45.4	DS	0.1	94	2.9	20	0.6	63	1.9	376	13	3	5
Other AP subjects males	"31,364"	42.6	71	0.1	"3,189"	4.3	"2,454"	3.3	"7,034"	9.6	"17,690"	24	28	0	898	1.2	356	0.5	79	0.1	376	13	3	5
Other AP subjects females	"42,238"	57.4	118	0.2	"3,319"	4.5	"3,129"	4.3	"11,937"	16.2	"22,436"	30.5	40	0.1	"1,259"	1.7	189	0.3	66	0.1	376	13	3	5
Other AP subjects total	"73,602"	100	189	0.3	"6,508"	8.8	"5,583"	7.6	"18,971"	25.8	"40,126"	54.5	68	0.1	"2,157"	2.9	545	0.7	145	0.2	376	13	3	5
