Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"3,838",63.3,5,0.1,37,0.6,706,11.6,"1,378",22.7,"1,579",26.1,6,0.1,127,2.1,640,10.6,18,0.3,481,7.9,"1,283",13,3,5
Kindergarten females,"2,223",36.7,DS,0,23,0.4,377,6.2,814,13.4,944,15.6,4,0.1,59,1,282,4.7,8,0.1,299,4.9,"1,283",13,3,5
Kindergarten total,"6,061",100,7,0.1,60,1,"1,083",17.9,"2,192",36.2,"2,523",41.6,10,0.2,186,3.1,922,15.2,26,0.4,780,12.9,"1,283",13,3,5
1st grade males,"2,323",58.9,DS,0.1,22,0.6,339,8.6,"1,066",27,823,20.9,0,0,71,1.8,380,9.6,16,0.4,268,6.8,"1,292",13,3,5
1st grade females,"1,623",41.1,DS,0.1,14,0.4,293,7.4,653,16.5,594,15.1,DS,0.1,65,1.6,146,3.7,10,0.3,203,5.1,"1,292",13,3,5
1st grade total,"3,946",100,4,0.1,36,0.9,632,16,"1,719",43.6,"1,417",35.9,DS,0.1,136,3.4,526,13.3,26,0.7,471,11.9,"1,292",13,3,5
2nd grade males,"1,255",59.5,4,0.2,10,0.5,181,8.6,683,32.4,322,15.3,DS,0.1,53,2.5,201,9.5,6,0.3,122,5.8,"1,295",13,3,5
2nd grade females,856,40.5,0,0,4,0.2,141,6.7,393,18.6,279,13.2,0,0,39,1.8,87,4.1,7,0.3,100,4.7,"1,295",13,3,5
2nd grade total,"2,111",100,4,0.2,14,0.7,322,15.3,"1,076",51,601,28.5,DS,0.1,92,4.4,288,13.6,13,0.6,222,10.5,"1,295",13,3,5
3rd grade males,"2,389",59.4,5,0.1,45,1.1,341,8.5,"1,461",36.3,484,12,DS,0,51,1.3,290,7.2,34,0.8,287,7.1,"1,296",13,3,5
3rd grade females,"1,636",40.6,4,0.1,22,0.5,265,6.6,941,23.4,363,9,0,0,41,1,163,4,16,0.4,223,5.5,"1,296",13,3,5
3rd grade total,"4,025",100,9,0.2,67,1.7,606,15.1,"2,402",59.7,847,21,DS,0,92,2.3,453,11.3,50,1.2,510,12.7,"1,296",13,3,5
4th grade males,"1,331",55.3,DS,0.1,19,0.8,295,12.2,743,30.8,227,9.4,DS,0.1,43,1.8,120,5,14,0.6,214,8.9,"1,292",13,3,5
4th grade females,"1,078",44.7,DS,0.1,21,0.9,280,11.6,562,23.3,178,7.4,0,0,35,1.5,66,2.7,6,0.2,175,7.3,"1,292",13,3,5
4th grade total,"2,409",100,4,0.2,40,1.7,575,23.9,"1,305",54.2,405,16.8,DS,0.1,78,3.2,186,7.7,20,0.8,389,16.1,"1,292",13,3,5
5th grade males,"3,341",58.6,5,0.1,54,0.9,439,7.7,"1,868",32.8,885,15.5,DS,0,88,1.5,491,8.6,37,0.6,279,4.9,"1,293",13,3,5
5th grade females,"2,356",41.4,DS,0,30,0.5,305,5.4,"1,387",24.3,580,10.2,0,0,52,0.9,234,4.1,15,0.3,202,3.5,"1,293",13,3,5
5th grade total,"5,697",100,7,0.1,84,1.5,744,13.1,"3,255",57.1,"1,465",25.7,DS,0,140,2.5,725,12.7,52,0.9,481,8.4,"1,293",13,3,5
6th grade males,"1,553",68.3,4,0.2,13,0.6,226,9.9,893,39.3,373,16.4,0,0,44,1.9,211,9.3,21,0.9,89,3.9,684,13,3,5
6th grade females,720,31.7,6,0.3,8,0.4,110,4.8,401,17.6,175,7.7,0,0,20,0.9,78,3.4,8,0.4,34,1.5,684,13,3,5
6th grade total,"2,273",100,10,0.4,21,0.9,336,14.8,"1,294",56.9,548,24.1,0,0,64,2.8,289,12.7,29,1.3,123,5.4,684,13,3,5
7th grade males,"1,570",63,5,0.2,24,1,207,8.3,845,33.9,436,17.5,DS,0.1,51,2,231,9.3,18,0.7,95,3.8,655,13,3,5
