Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"1,878"	37.4	9	0.2	"1,073"	21.4	64	1.3	31	0.6	385	7.7	177	3.5	139	2.8	17	0.3	20	0.4	41	15	4	9
At least one AP course females	"3,137"	62.6	15	0.3	"1,686"	33.6	145	2.9	81	1.6	581	11.6	403	8	226	4.5	4	0.1	19	0.4	41	15	4	9
At least one AP course total	"5,015"	100	24	0.5	"2,759"	55	209	4.2	112	2.2	966	19.3	580	11.6	365	7.3	21	0.4	39	0.8	41	15	4	9
AP mathematics males	462	45.3	DS	0.2	288	28.3	12	1.2	6	0.6	82	8	36	3.5	36	3.5	DS	0.2	9	0.9	41	15	4	9
AP mathematics females	557	54.7	4	0.4	325	31.9	23	2.3	9	0.9	97	9.5	52	5.1	47	4.6	DS	0.2	5	0.5	41	15	4	9
AP mathematics total	"1,019"	100	6	0.6	613	60.2	35	3.4	15	1.5	179	17.6	88	8.6	83	8.1	4	0.4	14	1.4	41	15	4	9
AP science males	433	44.1	DS	0.2	283	28.8	12	1.2	10	1	78	8	23	2.3	25	2.5	DS	0.2	6	0.6	41	15	4	9
AP science females	548	55.9	DS	0.2	350	35.7	19	1.9	12	1.2	85	8.7	47	4.8	33	3.4	0	0	9	0.9	41	15	4	9
AP science total	981	100	4	0.4	633	64.5	31	3.2	22	2.2	163	16.6	70	7.1	58	5.9	DS	0.2	15	1.5	41	15	4	9
AP foreign language males	8	25.8	0	0	DS	6.5	DS	6.5	DS	6.5	DS	6.5	0	0	0	0	0	0	0	0	41	15	4	9
AP foreign language females	23	74.2	DS	6.5	7	22.6	DS	6.5	0	0	8	25.8	4	12.9	0	0	0	0	0	0	41	15	4	9
AP foreign language total	31	100	DS	6.5	9	29	4	12.9	DS	6.5	10	32.3	4	12.9	0	0	0	0	0	0	41	15	4	9
Other AP subjects males	"1,493"	35.8	7	0.2	835	20	49	1.2	23	0.6	331	7.9	140	3.4	108	2.6	14	0.3	10	0.2	41	15	4	9
Other AP subjects females	"2,683"	64.2	12	0.3	"1,389"	33.3	129	3.1	78	1.9	535	12.8	343	8.2	197	4.7	DS	0	8	0.2	41	15	4	9
Other AP subjects total	"4,176"	100	19	0.5	"2,224"	53.3	178	4.3	101	2.4	866	20.7	483	11.6	305	7.3	16	0.4	18	0.4	41	15	4	9
