Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under  IDEA	Percent of Students With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	39	83	DS	4.3	37	78.7	DS	4.4	0	0	DS	4.4	0	0	33	73.3	0	0	0	0	0	0	"1,458"	19	2	4
Corporal punishment on females	8	17	0	0	8	17	0	0	0	0	0	0	DS	4.4	6	13.3	0	0	0	0	0	0	"1,458"	19	2	4
Corporal punishment total	47	100	DS	4.3	45	95.7	DS	4.4	0	0	DS	4.4	DS	4.4	39	86.7	0	0	0	0	0	0	"1,458"	19	2	4
One or more in-school suspensions on males	"3,818"	76.6	57	1.1	"3,761"	75.4	39	0.8	9	0.2	373	7.6	617	12.5	"2,609"	53	7	0.1	107	2.2	146	2.9	"1,458"	19	2	4
One or more in-school suspensions on females	"1,167"	23.4	9	0.2	"1,158"	23.2	18	0.4	DS	0	179	3.6	220	4.5	694	14.1	5	0.1	40	0.8	69	1.4	"1,458"	19	2	4
One or more in-school suspensions total	"4,985"	100	66	1.3	"4,919"	98.7	57	1.2	11	0.2	552	11.2	837	17	"3,303"	67.1	12	0.2	147	3	215	4.3	"1,458"	19	2	4
Only one out-of-school suspension on males	"2,121"	74.7	26	0.9	"2,095"	73.8	18	0.6	18	0.6	218	7.8	422	15	"1,311"	46.7	7	0.2	101	3.6	92	3.2	"1,458"	19	2	4
Only one out-of-school suspension on females	718	25.3	5	0.2	713	25.1	9	0.3	DS	0.1	129	4.6	210	7.5	329	11.7	DS	0.1	32	1.1	36	1.3	"1,458"	19	2	4
Only one out-of-school suspension total	"2,839"	100	31	1.1	"2,808"	98.9	27	1	20	0.7	347	12.4	632	22.5	"1,640"	58.4	9	0.3	133	4.7	128	4.5	"1,458"	19	2	4
More than one out-of-school suspension on males	"1,756"	79.7	17	0.8	"1,739"	78.9	14	0.6	8	0.4	145	6.6	482	22.1	998	45.7	DS	0.1	90	4.1	53	2.4	"1,458"	19	2	4
