Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	155	69.8	0	0	0	0	4	1.8	DS	0.9	147	66.2	0	0	DS	0.9	0	0	"1,458"	19	2	4
Corporal punishment on females	67	30.2	DS	0.9	0	0	DS	0.9	DS	0.9	61	27.5	0	0	0	0	0	0	"1,458"	19	2	4
Corporal punishment total	222	100	DS	0.9	0	0	6	2.7	4	1.8	208	93.7	0	0	DS	0.9	0	0	"1,458"	19	2	4
One or more in-school suspensions on males	"11,409"	68.7	67	0.4	122	0.7	"1,272"	7.7	"1,425"	8.6	"8,223"	49.5	15	0.1	285	1.7	618	3.7	"1,458"	19	2	4
One or more in-school suspensions on females	"5,203"	31.3	54	0.3	60	0.4	797	4.8	865	5.2	"3,246"	19.5	11	0.1	170	1	301	1.8	"1,458"	19	2	4
One or more in-school suspensions total	"16,612"	100	121	0.7	182	1.1	"2,069"	12.5	"2,290"	13.8	"11,469"	69	26	0.2	455	2.7	919	5.5	"1,458"	19	2	4
Only one out-of-school suspension on males	"5,710"	67.3	30	0.4	76	0.9	689	8.1	984	11.6	"3,719"	43.9	9	0.1	203	2.4	308	3.6	"1,458"	19	2	4
Only one out-of-school suspension on females	"2,769"	32.7	21	0.2	21	0.2	422	5	664	7.8	"1,530"	18	DS	0	109	1.3	118	1.4	"1,458"	19	2	4
Only one out-of-school suspension total	"8,479"	100	51	0.6	97	1.1	"1,111"	13.1	"1,648"	19.4	"5,249"	61.9	11	0.1	312	3.7	426	5	"1,458"	19	2	4
More than one out-of-school suspension on males	"3,202"	71.8	24	0.5	14	0.3	395	8.9	733	16.4	"1,934"	43.3	DS	0	100	2.2	132	3	"1,458"	19	2	4
More than one out-of-school suspension on females	"1,260"	28.2	4	0.1	4	0.1	248	5.6	349	7.8	607	13.6	DS	0	46	1	34	0.8	"1,458"	19	2	4
More than one out-of-school suspension total	"4,462"	100	28	0.6	18	0.4	643	14.4	"1,082"	24.2	"2,541"	56.9	4	0.1	146	3.3	166	3.7	"1,458"	19	2	4
One or more out-of-school suspensions on males	"8,908"	68.8	54	0.4	91	0.7	"1,085"	8.4	"1,721"	13.3	"5,642"	43.6	11	0.1	304	2.3	439	3.4	"1,458"	19	2	4
One or more out-of-school suspensions on females	"4,040"	31.2	26	0.2	25	0.2	671	5.2	"1,014"	7.8	"2,141"	16.5	5	0	158	1.2	154	1.2	"1,458"	19	2	4
One or more out-of-school suspensions total	"12,948"	100	80	0.6	116	0.9	"1,756"	13.6	"2,735"	21.1	"7,783"	60.1	16	0.1	462	3.6	593	4.6	"1,458"	19	2	4
Expulsions with educational services on males	66	82.5	DS	2.5	DS	2.5	9	11.3	8	10	43	53.8	0	0	DS	2.5	4	5	"1,458"	19	2	4
