Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"6,911"	45.8	16	0.1	375	2.5	323	2.1	226	1.5	"5,844"	38.7	7	0	120	0.8	77	0.5	46	0.3	183	19	2	4
At least one AP course females	"8,174"	54.2	18	0.1	415	2.8	424	2.8	307	2	"6,836"	45.3	5	0	169	1.1	50	0.3	61	0.4	183	19	2	4
At least one AP course total	"15,085"	100	34	0.2	790	5.2	747	5	533	3.5	"12,680"	84.1	12	0.1	289	1.9	127	0.8	107	0.7	183	19	2	4
AP mathematics males	"1,489"	54.5	DS	0.1	81	3	35	1.3	18	0.7	"1,327"	48.6	5	0.2	21	0.8	DS	0.1	DS	0.1	183	19	2	4
AP mathematics females	"1,242"	45.5	DS	0.1	79	2.9	27	1	19	0.7	"1,102"	40.4	0	0	13	0.5	DS	0.1	DS	0.1	183	19	2	4
AP mathematics total	"2,731"	100	4	0.1	160	5.9	62	2.3	37	1.4	"2,429"	88.9	5	0.2	34	1.2	4	0.1	4	0.1	183	19	2	4
AP science males	"1,455"	47.4	DS	0.1	129	4.2	50	1.6	43	1.4	"1,214"	39.6	DS	0.1	15	0.5	5	0.2	8	0.3	183	19	2	4
AP science females	"1,612"	52.6	0	0	146	4.8	55	1.8	50	1.6	"1,335"	43.5	DS	0.1	24	0.8	4	0.1	12	0.4	183	19	2	4
AP science total	"3,067"	100	DS	0.1	275	9	105	3.4	93	3	"2,549"	83.1	4	0.1	39	1.3	9	0.3	20	0.7	183	19	2	4
AP foreign language males	318	37.6	DS	0.2	24	2.8	34	4	8	0.9	248	29.3	0	0	DS	0.2	0	0	5	0.6	183	19	2	4
AP foreign language females	527	62.4	0	0	30	3.6	40	4.7	23	2.7	426	50.4	0	0	8	0.9	DS	0.2	DS	0.2	183	19	2	4
AP foreign language total	845	100	DS	0.2	54	6.4	74	8.8	31	3.7	674	79.8	0	0	10	1.2	DS	0.2	7	0.8	183	19	2	4
Other AP subjects males	"4,620"	43.7	10	0.1	282	2.7	233	2.2	172	1.6	"3,828"	36.2	DS	0	93	0.9	63	0.6	33	0.3	183	19	2	4
Other AP subjects females	"5,955"	56.3	13	0.1	309	2.9	333	3.1	242	2.3	"4,921"	46.5	DS	0	135	1.3	37	0.3	44	0.4	183	19	2	4
Other AP subjects total	"10,575"	100	23	0.2	591	5.6	566	5.4	414	3.9	"8,749"	82.7	4	0	228	2.2	100	0.9	77	0.7	183	19	2	4
