Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,152,67.3,DS,0.9,DS,0.9,47,20.8,DS,0.9,95,42,DS,0.9,DS,0.9,21,9.3,DS,0.9,22,9.7,369,16,4,8
Kindergarten males,74,32.7,DS,0.9,0,0,22,9.7,0,0,50,22.1,0,0,0,0,11,4.9,0,0,7,3.1,369,16,4,8
Kindergarten total,226,100,4,1.8,DS,0.9,69,30.5,DS,0.9,145,64.2,DS,0.9,DS,0.9,32,14.2,DS,0.9,29,12.8,369,16,4,8
1st grade males,104,60.5,4,2.3,0,0,31,18,DS,1.2,61,35.5,DS,1.2,4,2.3,15,8.7,0,0,15,8.7,380,16,4,8
1st grade females,68,39.5,0,0,0,0,19,11,0,0,44,25.6,0,0,5,2.9,6,3.5,0,0,9,5.2,380,16,4,8
1st grade total,172,100,4,2.3,0,0,50,29.1,DS,1.2,105,61,DS,1.2,9,5.2,21,12.2,0,0,24,14,380,16,4,8
2nd grade males,37,55.2,DS,3,0,0,10,14.9,0,0,23,34.3,0,0,DS,3,5,7.5,0,0,7,10.4,380,16,4,8
2nd grade females,30,44.8,0,0,0,0,6,9,DS,3,22,32.8,0,0,0,0,5,7.5,0,0,DS,3,380,16,4,8
2nd grade total,67,100,DS,3,0,0,16,23.9,DS,3,45,67.2,0,0,DS,3,10,14.9,0,0,9,13.4,380,16,4,8
3rd grade males,30,63.8,0,0,0,0,10,21.3,0,0,20,42.6,0,0,0,0,7,14.9,0,0,DS,4.3,379,16,4,8
