Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,178",60.8,DS,0.1,22,1.1,154,7.9,222,11.5,709,36.6,DS,0.1,67,3.5,250,12.9,11,0.6,102,5.3,"2,264",17,2,3
Kindergarten females,760,39.2,DS,0.1,15,0.8,126,6.5,151,7.8,425,21.9,0,0,41,2.1,121,6.2,4,0.2,62,3.2,"2,264",17,2,3
Kindergarten total,"1,938",100,4,0.2,37,1.9,280,14.4,373,19.2,"1,134",58.5,DS,0.1,108,5.6,371,19.1,15,0.8,164,8.5,"2,264",17,2,3
1st grade males,847,60.2,0,0,31,2.2,178,12.7,255,18.1,350,24.9,DS,0.1,31,2.2,139,9.9,7,0.5,137,9.7,"2,308",17,2,3
1st grade females,559,39.8,DS,0.1,15,1.1,113,8,163,11.6,246,17.5,DS,0.1,18,1.3,58,4.1,DS,0.1,69,4.9,"2,308",17,2,3
1st grade total,"1,406",100,DS,0.1,46,3.3,291,20.7,418,29.7,596,42.4,4,0.3,49,3.5,197,14,9,0.6,206,14.7,"2,308",17,2,3
2nd grade males,458,57.3,0,0,20,2.5,109,13.6,180,22.5,138,17.3,DS,0.3,9,1.1,61,7.6,7,0.9,52,6.5,"2,308",17,2,3
2nd grade females,342,42.8,0,0,28,3.5,72,9,136,17,99,12.4,0,0,7,0.9,28,3.5,DS,0.3,55,6.9,"2,308",17,2,3
2nd grade total,800,100,0,0,48,6,181,22.6,316,39.5,237,29.6,DS,0.3,16,DS,89,11.1,9,1.1,107,13.4,"2,308",17,2,3
3rd grade males,"1,011",54.6,DS,0.1,23,1.2,231,12.5,640,34.6,103,5.6,0,0,12,0.6,65,3.5,24,1.3,85,4.6,"2,314",17,2,3
3rd grade females,839,45.4,DS,0.1,24,1.3,202,10.9,518,28,80,4.3,DS,0.1,11,0.6,39,2.1,17,0.9,64,3.5,"2,314",17,2,3
3rd grade total,"1,850",100,4,0.2,47,2.5,433,23.4,"1,158",62.6,183,9.9,DS,0.1,23,1.2,104,5.6,41,2.2,149,8.1,"2,314",17,2,3
4th grade males,209,54,0,0,25,6.5,27,7,66,17.1,89,23,0,0,DS,0.5,35,9,0,0,13,3.4,"2,275",17,2,3
4th grade females,178,46,DS,0.5,24,6.2,33,8.5,47,12.1,66,17.1,0,0,6,1.6,23,5.9,0,0,8,2.1,"2,275",17,2,3
4th grade total,387,100,DS,0.5,49,12.7,60,15.5,113,29.2,155,40.1,0,0,8,2.1,58,15,0,0,21,5.4,"2,275",17,2,3
5th grade males,245,59.2,DS,0.5,32,7.7,42,10.1,57,13.8,110,26.6,0,0,DS,0.5,37,8.9,5,1.2,16,3.9,"2,207",17,2,3
5th grade females,169,40.8,0,0,22,5.3,25,6,43,10.4,68,16.4,0,0,11,2.7,19,4.6,4,1,10,2.4,"2,207",17,2,3
5th grade total,414,100,DS,0.5,54,13,67,16.2,100,24.2,178,43,0,0,13,3.1,56,13.5,9,2.2,26,6.3,"2,207",17,2,3
6th grade males,586,62.1,DS,0.2,DS,0.2,133,14.1,267,28.3,171,18.1,0,0,11,1.2,37,3.9,10,1.1,48,5.1,"1,767",17,2,3
6th grade females,358,37.9,DS,0.2,DS,0.2,73,7.7,200,21.2,75,7.9,0,0,6,0.6,7,0.7,5,0.5,28,3,"1,767",17,2,3
6th grade total,944,100,4,0.4,4,0.4,206,21.8,467,49.5,246,26.1,0,0,17,1.8,44,4.7,15,1.6,76,8.1,"1,767",17,2,3
