Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"24,242"	44.3	44	0.1	926	1.7	"1,139"	2.1	"1,164"	2.1	"20,296"	37.1	17	0	656	1.2	506	0.9	305	0.6	342	18	2	3
At least one AP course females	"30,451"	55.7	71	0.1	"1,053"	1.9	"1,536"	2.8	"2,063"	3.8	"24,773"	45.3	15	0	940	1.7	367	0.7	435	0.8	342	18	2	3
At least one AP course total	"54,693"	100	115	0.2	"1,979"	3.6	"2,675"	4.9	"3,227"	5.9	"45,069"	82.4	32	0.1	"1,596"	2.9	873	1.6	740	1.4	342	18	2	3
AP mathematics males	"5,875"	51.1	10	0.1	279	2.4	204	1.8	196	1.7	"5,050"	43.9	DS	0	134	1.2	75	0.7	59	0.5	342	18	2	3
AP mathematics females	"5,616"	48.9	9	0.1	260	2.3	242	2.1	281	2.4	"4,669"	40.6	DS	0	153	1.3	39	0.3	59	0.5	342	18	2	3
AP mathematics total	"11,491"	100	19	0.2	539	4.7	446	3.9	477	4.2	"9,719"	84.6	4	0	287	2.5	114	1	118	1	342	18	2	3
AP science males	"6,487"	46.6	9	0.1	331	2.4	255	1.8	263	1.9	"5,469"	39.3	4	0	156	1.1	112	0.8	71	0.5	342	18	2	3
AP science females	"7,423"	53.4	9	0.1	331	2.4	325	2.3	457	3.3	"6,093"	43.8	DS	0	206	1.5	62	0.4	87	0.6	342	18	2	3
AP science total	"13,910"	100	18	0.1	662	4.8	580	4.2	720	5.2	"11,562"	83.1	6	0	362	2.6	174	1.3	158	1.1	342	18	2	3
AP foreign language males	966	39.3	DS	0.1	43	1.8	128	5.2	40	1.6	719	29.3	0	0	34	1.4	11	0.4	31	1.3	342	18	2	3
AP foreign language females	"1,489"	60.7	DS	0.1	64	2.6	204	8.3	87	3.5	"1,092"	44.5	0	0	40	1.6	4	0.2	38	1.5	342	18	2	3
AP foreign language total	"2,455"	100	4	0.2	107	4.4	332	13.5	127	5.2	"1,811"	73.8	0	0	74	3	15	0.6	69	2.8	342	18	2	3
Other AP subjects males	"15,904"	42.2	25	0.1	611	1.6	798	2.1	867	2.3	"13,129"	34.8	11	0	463	1.2	316	0.8	170	0.5	342	18	2	3
Other AP subjects females	"21,810"	57.8	47	0.1	745	2	"1,094"	2.9	"1,600"	4.2	"17,614"	46.7	10	0	700	1.9	232	0.6	241	0.6	342	18	2	3
Other AP subjects total	"37,714"	100	72	0.2	"1,356"	3.6	"1,892"	5	"2,467"	6.5	"30,743"	81.5	21	0.1	"1,163"	3.1	548	1.5	411	1.1	342	18	2	3
