Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,867",63.1,4,0.1,15,0.5,219,7.4,271,9.2,"1,270",42.9,0,0,88,3,469,15.9,7,0.2,128,4.3,"1,052",18,2,3
Kindergarten females,"1,091",36.9,DS,0.1,7,0.2,117,4,182,6.2,737,24.9,0,0,46,1.6,234,7.9,DS,0.1,70,2.4,"1,052",18,2,3
Kindergarten total,"2,958",100,6,0.2,22,0.7,336,11.4,453,15.3,"2,007",67.8,0,0,134,4.5,703,23.8,9,0.3,198,6.7,"1,052",18,2,3
1st grade males,"1,624",58.6,DS,0.1,11,0.4,202,7.3,323,11.7,"1,014",36.6,0,0,72,2.6,352,12.7,8,0.3,120,4.3,"1,073",18,2,3
1st grade females,"1,147",41.4,5,0.2,10,0.4,143,5.2,218,7.9,725,26.2,DS,0.1,44,1.6,199,7.2,DS,0.1,82,3,"1,073",18,2,3
1st grade total,"2,771",100,7,0.3,21,0.8,345,12.5,541,19.5,"1,739",62.8,DS,0.1,116,4.2,551,19.9,10,0.4,202,7.3,"1,073",18,2,3
2nd grade males,772,55.9,5,0.4,DS,0.1,94,6.8,195,14.1,428,31,0,0,48,3.5,143,10.3,DS,0.1,56,4.1,"1,074",18,2,3
2nd grade females,610,44.1,DS,0.1,DS,0.1,85,6.2,139,10.1,357,25.8,0,0,25,1.8,100,7.2,DS,0.1,55,4,"1,074",18,2,3
2nd grade total,"1,382",100,7,0.5,4,0.3,179,13,334,24.2,785,56.8,0,0,73,5.3,243,17.6,4,0.3,111,8,"1,074",18,2,3
3rd grade males,"1,013",56.5,0,0,5,0.3,128,7.1,374,20.9,454,25.3,0,0,52,2.9,164,9.2,16,0.9,69,3.9,"1,074",18,2,3
3rd grade females,779,43.5,DS,0.1,5,0.3,113,6.3,263,14.7,365,20.4,0,0,31,1.7,97,5.4,6,0.3,63,3.5,"1,074",18,2,3
3rd grade total,"1,792",100,DS,0.1,10,0.6,241,13.4,637,35.5,819,45.7,0,0,83,4.6,261,14.6,22,1.2,132,7.4,"1,074",18,2,3
4th grade males,262,59,0,0,4,0.9,33,7.4,83,18.7,134,30.2,0,0,8,1.8,63,14.2,DS,0.5,24,5.4,"1,066",18,2,3
4th grade females,182,41,0,0,DS,0.5,18,4.1,67,15.1,86,19.4,0,0,9,2,33,7.4,0,0,6,1.4,"1,066",18,2,3
4th grade total,444,100,0,0,6,1.4,51,11.5,150,33.8,220,49.5,0,0,17,3.8,96,21.6,DS,0.5,30,6.8,"1,066",18,2,3
5th grade males,185,38.8,0,0,DS,0.4,17,3.6,56,11.7,106,22.2,0,0,4,0.8,41,8.6,4,0.8,14,2.9,980,18,2,3
5th grade females,292,61.2,0,0,DS,0.4,40,8.4,45,9.4,191,40,0,0,14,2.9,83,17.4,DS,0.4,18,3.8,980,18,2,3
5th grade total,477,100,0,0,4,0.8,57,11.9,101,21.2,297,62.3,0,0,18,3.8,124,26,6,1.3,32,6.7,980,18,2,3
6th grade males,273,72.4,DS,0.5,0,0,15,4,52,13.8,190,50.4,0,0,14,3.7,63,16.7,DS,0.5,7,1.9,714,18,2,3
6th grade females,104,27.6,0,0,DS,0.5,10,2.7,28,7.4,59,15.6,0,0,5,1.3,18,4.8,DS,0.5,DS,0.5,714,18,2,3
6th grade total,377,100,DS,0.5,DS,0.5,25,6.6,80,21.2,249,66,0,0,19,5,81,21.5,4,1.1,9,2.4,714,18,2,3
7th grade males,291,63.1,DS,0.4,DS,0.4,14,3,76,16.5,182,39.5,0,0,15,3.3,58,12.6,6,1.3,10,2.2,514,18,2,3
7th grade females,170,36.9,DS,0.4,0,0,6,1.3,48,10.4,96,20.8,0,0,18,3.9,17,3.7,0,0,DS,0.4,514,18,2,3
7th grade total,461,100,4,0.9,DS,0.4,20,4.3,124,26.9,278,60.3,0,0,33,7.2,75,16.3,6,1.3,12,2.6,514,18,2,3
8th grade males,299,64.6,0,0,4,0.9,17,3.7,84,18.1,178,38.4,0,0,16,3.5,88,19,6,1.3,8,1.7,506,18,2,3
8th grade females,164,35.4,0,0,0,0,12,2.6,46,9.9,93,20.1,0,0,13,2.8,44,9.5,DS,0.4,7,1.5,506,18,2,3
8th grade total,463,100,0,0,4,0.9,29,6.3,130,28.1,271,58.5,0,0,29,6.3,132,28.5,8,1.7,15,3.2,506,18,2,3
9th grade males,487,67.1,DS,0.3,DS,0.3,25,3.4,66,9.1,369,50.8,0,0,23,3.2,128,17.6,6,0.8,8,1.1,426,18,2,3
9th grade females,239,32.9,DS,0.3,DS,0.3,11,1.5,33,4.5,175,24.1,0,0,16,2.2,38,5.2,DS,0.3,DS,0.3,426,18,2,3
9th grade total,726,100,4,0.6,4,0.6,36,5,99,13.6,544,74.9,0,0,39,5.4,166,22.9,8,1.1,10,1.4,426,18,2,3
10th grade males,496,61.4,DS,0.2,DS,0.2,25,3.1,105,13,348,43.1,0,0,14,1.7,153,18.9,DS,0.2,6,0.7,424,18,2,3
10th grade females,312,38.6,DS,0.2,DS,0.2,21,2.6,63,7.8,206,25.5,0,0,18,2.2,62,7.7,DS,0.2,6,0.7,424,18,2,3
10th grade total,808,100,4,0.5,4,0.5,46,5.7,168,20.8,554,68.6,0,0,32,4,215,26.6,4,0.5,12,1.5,424,18,2,3
11th grade males,442,63.8,DS,0.3,4,0.6,27,3.9,100,14.4,297,42.9,0,0,12,1.7,148,21.4,5,0.7,12,1.7,422,18,2,3
11th grade females,251,36.2,DS,0.3,4,0.6,16,2.3,69,10,154,22.2,0,0,6,0.9,70,10.1,DS,0.3,12,1.7,422,18,2,3
11th grade total,693,100,4,0.6,8,1.2,43,6.2,169,24.4,451,65.1,0,0,18,2.6,218,31.5,7,1,24,3.5,422,18,2,3
12th grade males,"1,168",64,12,0.7,26,1.4,122,6.7,195,10.7,777,42.6,0,0,36,2,407,22.3,12,0.7,86,4.7,420,18,2,3
12th grade females,656,36,DS,0.1,12,0.7,66,3.6,118,6.5,432,23.7,0,0,26,1.4,206,11.3,6,0.3,37,2,420,18,2,3
12th grade total,"1,824",100,14,0.8,38,2.1,188,10.3,313,17.2,"1,209",66.3,0,0,62,3.4,613,33.6,18,1,123,6.7,420,18,2,3
