Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	42	95.5	DS	4.5	0	0	DS	4.5	DS	4.5	34	77.3	0	0	DS	4.5	DS	4.5	"1,389"	20	2	4
Corporal punishment on females	DS	4.5	0	0	0	0	0	0	0	0	DS	4.5	0	0	0	0	0	0	"1,389"	20	2	4
Corporal punishment total	44	100	DS	4.5	0	0	DS	4.5	DS	4.5	36	81.8	0	0	DS	4.5	DS	4.5	"1,389"	20	2	4
One or more in-school suspensions on males	"11,630"	69.6	199	1.2	141	0.8	"2,531"	15.1	"1,527"	9.1	"6,745"	40.4	16	0.1	471	2.8	"1,307"	7.8	"1,389"	20	2	4
One or more in-school suspensions on females	"5,077"	30.4	104	0.6	37	0.2	"1,255"	7.5	834	5	"2,575"	15.4	8	0	264	1.6	544	3.3	"1,389"	20	2	4
One or more in-school suspensions total	"16,707"	100	303	1.8	178	1.1	"3,786"	22.7	"2,361"	14.1	"9,320"	55.8	24	0.1	735	4.4	"1,851"	11.1	"1,389"	20	2	4
Only one out-of-school suspension on males	"6,403"	70.5	110	1.2	85	0.9	"1,325"	14.6	"1,163"	12.8	"3,394"	37.4	8	0.1	318	3.5	675	7.4	"1,389"	20	2	4
Only one out-of-school suspension on females	"2,674"	29.5	41	0.5	24	0.3	594	6.5	623	6.9	"1,236"	13.6	4	0	152	1.7	254	2.8	"1,389"	20	2	4
Only one out-of-school suspension total	"9,077"	100	151	1.7	109	1.2	"1,919"	21.1	"1,786"	19.7	"4,630"	51	12	0.1	470	5.2	929	10.2	"1,389"	20	2	4
More than one out-of-school suspension on males	"4,148"	72.1	68	1.2	55	1	"1,099"	19.1	"1,091"	19	"1,642"	28.5	DS	0	191	3.3	620	10.8	"1,389"	20	2	4
More than one out-of-school suspension on females	"1,604"	27.9	27	0.5	7	0.1	389	6.8	585	10.2	523	9.1	0	0	73	1.3	190	3.3	"1,389"	20	2	4
More than one out-of-school suspension total	"5,752"	100	95	1.7	62	1.1	"1,488"	25.9	"1,676"	29.1	"2,165"	37.6	DS	0	264	4.6	810	14.1	"1,389"	20	2	4
One or more out-of-school suspensions on males	"10,565"	71.2	179	1.2	140	0.9	"2,429"	16.4	"2,260"	15.2	"5,036"	33.9	11	0.1	510	3.4	"1,298"	8.7	"1,389"	20	2	4
One or more out-of-school suspensions on females	"4,270"	28.8	68	0.5	30	0.2	985	6.6	"1,209"	8.1	"1,752"	11.8	4	0	222	1.5	440	3	"1,389"	20	2	4
One or more out-of-school suspensions total	"14,835"	100	247	1.7	170	1.1	"3,414"	23	"3,469"	23.4	"6,788"	45.8	15	0.1	732	4.9	"1,738"	11.7	"1,389"	20	2	4
Expulsions with educational services on males	158	72.8	DS	0.9	4	1.8	20	9.2	24	11.1	100	46.1	0	0	8	3.7	6	2.8	"1,389"	20	2	4
Expulsions with educational services on females	59	27.2	DS	0.9	DS	0.9	8	3.7	5	2.3	34	15.7	0	0	8	3.7	0	0	"1,389"	20	2	4
Expulsions with educational services total	217	100	4	1.8	6	2.8	28	12.9	29	13.4	134	61.8	0	0	16	7.4	6	2.8	"1,389"	20	2	4
Expulsions without educational services on males	203	81.9	DS	0.8	DS	0.8	34	13.7	20	8.1	134	54	0	0	11	4.4	12	4.8	"1,389"	20	2	4
Expulsions without educational services on females	45	18.1	DS	0.8	DS	0.8	7	2.8	8	3.2	22	8.9	DS	0.8	DS	0.8	DS	0.8	"1,389"	20	2	4
Expulsions without educational services total	248	100	4	1.6	4	1.6	41	16.5	28	11.3	156	62.9	DS	0.8	13	5.2	14	5.6	"1,389"	20	2	4
Expulsions with or without educational services on males	364	78.8	6	1.3	7	1.5	54	11.7	43	9.3	235	50.9	0	0	19	4.1	18	3.9	"1,389"	20	2	4
Expulsions with or without educational services on females	98	21.2	DS	0.4	DS	0.4	15	3.2	13	2.8	55	11.9	DS	0.4	9	1.9	DS	0.4	"1,389"	20	2	4
Expulsions with or without educational services total	462	100	8	1.7	9	1.9	69	14.9	56	12.1	290	62.8	DS	0.4	28	6.1	20	4.3	"1,389"	20	2	4
Expulsions under zero-tolerance policies on males	167	75.9	5	2.3	DS	0.9	31	14.1	29	13.2	86	39.1	0	0	14	6.4	10	4.5	"1,389"	20	2	4
Expulsions under zero-tolerance policies on females	53	24.1	0	0	0	0	8	3.6	11	5	26	11.8	DS	0.9	6	2.7	DS	0.9	"1,389"	20	2	4
Expulsions under zero-tolerance policies total	220	100	5	2.3	DS	0.9	39	17.7	40	18.2	112	50.9	DS	0.9	20	9.1	12	5.5	"1,389"	20	2	4
Referral to law enforcement on males	"1,150"	71.7	11	0.7	9	0.6	257	16	198	12.3	588	36.7	4	0.2	83	5.2	96	6	"1,389"	20	2	4
Referral to law enforcement on females	454	28.3	7	0.4	DS	0.1	89	5.5	111	6.9	196	12.2	DS	0.1	47	2.9	32	2	"1,389"	20	2	4
Referral to law enforcement total	"1,604"	100	18	1.1	11	0.7	346	21.6	309	19.3	784	48.9	6	0.4	130	8.1	128	8	"1,389"	20	2	4
School-related arrests on males	637	67.6	19	2	9	1	139	14.8	99	10.5	294	31.2	4	0.4	73	7.7	52	5.5	"1,389"	20	2	4
School-related arrests on females	305	32.4	9	1	0	0	70	7.4	47	5	139	14.8	DS	0.2	38	4	18	1.9	"1,389"	20	2	4
School-related arrests total	942	100	28	3	9	1	209	22.2	146	15.5	433	46	6	0.6	111	11.8	70	7.4	"1,389"	20	2	4
