Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of v	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"7,432"	43.8	55	0.3	422	2.5	643	3.8	274	1.6	"5,795"	34.2	4	0	239	1.4	137	0.8	112	0.7	107	20	2	4
At least one AP course females	"9,518"	56.2	83	0.5	513	3	916	5.4	421	2.5	"7,174"	42.3	15	0.1	396	2.3	81	0.5	125	0.7	107	20	2	4
At least one AP course total	"16,950"	100	138	0.8	935	5.5	"1,559"	9.2	695	4.1	"12,969"	76.5	19	0.1	635	3.7	218	1.3	237	1.4	107	20	2	4
AP mathematics males	"2,067"	52.2	8	0.2	161	4.1	123	3.1	50	1.3	"1,660"	41.9	0	0	65	1.6	29	0.7	21	0.5	107	20	2	4
AP mathematics females	"1,896"	47.8	15	0.4	160	4	109	2.8	61	1.5	"1,492"	37.6	DS	0.1	57	1.4	8	0.2	9	0.2	107	20	2	4
AP mathematics total	"3,963"	100	23	0.6	321	8.1	232	5.9	111	2.8	"3,152"	79.5	DS	0.1	122	3.1	37	0.9	30	0.8	107	20	2	4
AP science males	"1,235"	49.2	6	0.2	139	5.5	74	2.9	31	1.2	945	37.7	0	0	40	1.6	16	0.6	24	1	107	20	2	4
AP science females	"1,274"	50.8	11	0.4	143	5.7	80	3.2	48	1.9	941	37.5	DS	0.1	49	2	4	0.2	13	0.5	107	20	2	4
AP science total	"2,509"	100	17	0.7	282	11.2	154	6.1	79	3.1	"1,886"	75.2	DS	0.1	89	3.5	20	0.8	37	1.5	107	20	2	4
AP foreign language males	298	36	0	0	16	1.9	61	7.4	9	1.1	202	24.4	0	0	10	1.2	0	0	7	0.8	107	20	2	4
AP foreign language females	530	64	DS	0.2	26	3.1	73	8.8	12	1.4	401	48.4	DS	0.2	14	1.7	DS	0.2	13	1.6	107	20	2	4
AP foreign language total	828	100	DS	0.2	42	5.1	134	16.2	21	2.5	603	72.8	DS	0.2	24	2.9	DS	0.2	20	2.4	107	20	2	4
Other AP subjects males	"5,627"	42.1	44	0.3	333	2.5	490	3.7	223	1.7	"4,374"	32.7	DS	0	161	1.2	94	0.7	50	0.4	107	20	2	4
Other AP subjects females	"7,734"	57.9	55	0.4	405	3	749	5.6	353	2.6	"5,836"	43.7	12	0.1	324	2.4	64	0.5	80	0.6	107	20	2	4
Other AP subjects total	"13,361"	100	99	0.7	738	5.5	"1,239"	9.3	576	4.3	"10,210"	76.4	14	0.1	485	3.6	158	1.2	130	1	107	20	2	4
