Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,392,63.4,4,0.6,7,1.1,106,17.2,17,2.8,248,40.1,0,0,10,1.6,95,15.4,0,0,60,9.7,719,20,2,4
Kindergarten females,226,36.6,DS,0.3,4,0.6,71,11.5,15,2.4,129,20.9,0,0,5,0.8,43,7,0,0,39,6.3,719,20,2,4
Kindergarten total,618,100,6,1,11,1.8,177,28.6,32,5.2,377,61,0,0,15,2.4,138,22.3,0,0,99,16,719,20,2,4
1st grade males,132,54.8,DS,0.8,0,0,43,17.8,9,3.7,71,29.5,0,0,7,2.9,24,10,0,0,17,7.1,725,20,2,4
1st grade females,109,45.2,0,0,DS,0.8,35,14.5,DS,0.8,68,28.2,0,0,DS,0.8,19,7.9,0,0,25,10.4,725,20,2,4
1st grade total,241,100,DS,0.8,DS,0.8,78,32.4,11,4.6,139,57.7,0,0,9,3.7,43,17.8,0,0,42,17.4,725,20,2,4
2nd grade males,51,58,DS,2.3,DS,2.3,17,19.3,DS,2.3,21,23.9,DS,2.3,5,5.7,14,15.9,DS,2.3,11,12.5,727,20,2,4
2nd grade females,37,42,0,0,DS,2.3,17,19.3,DS,2.3,14,15.9,0,0,DS,2.3,5,5.7,0,0,14,15.9,727,20,2,4
2nd grade total,88,100,DS,2.3,4,4.5,34,38.6,4,4.5,35,39.8,DS,2.3,7,8,19,21.6,DS,2.3,25,28.4,727,20,2,4
3rd grade males,24,46.2,DS,3.8,0,0,4,7.7,0,0,16,30.8,0,0,DS,3.8,4,7.7,0,0,DS,3.8,731,20,2,4
3rd grade females,28,53.8,DS,3.8,0,0,10,19.2,DS,3.8,10,19.2,DS,3.8,DS,3.8,4,7.7,0,0,4,7.7,731,20,2,4
3rd grade total,52,100,4,7.7,0,0,14,26.9,DS,3.8,26,50,DS,3.8,4,7.7,8,15.4,0,0,6,11.5,731,20,2,4
4th grade males,13,37.1,0,0,DS,5.7,DS,5.7,DS,5.7,7,20,0,0,0,0,DS,5.7,0,0,DS,5.7,722,20,2,4
4th grade females,22,62.9,DS,5.7,DS,5.7,5,14.3,4,11.4,7,20,0,0,DS,5.7,DS,5.7,0,0,5,14.3,722,20,2,4
4th grade total,35,100,DS,5.7,4,11.4,7,20,6,17.1,14,40,0,0,DS,5.7,4,11.4,0,0,7,20,722,20,2,4
5th grade males,18,56.3,0,0,0,0,4,12.5,DS,6.3,12,37.5,0,0,0,0,8,25,0,0,DS,6.3,688,20,2,4
5th grade females,14,43.8,0,0,DS,6.3,DS,6.3,DS,6.3,6,18.8,0,0,DS,6.3,5,15.6,0,0,0,0,688,20,2,4
5th grade total,32,100,0,0,DS,6.3,6,18.8,4,12.5,18,56.3,0,0,DS,6.3,13,40.6,0,0,DS,6.3,688,20,2,4
6th grade males,27,64.3,0,0,0,0,12,28.6,6,14.3,9,21.4,0,0,0,0,7,16.7,0,0,7,16.7,490,20,2,4
6th grade females,15,35.7,DS,4.8,0,0,6,14.3,5,11.9,DS,4.8,0,0,0,0,DS,4.8,0,0,DS,4.8,490,20,2,4
