Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students  With Disabilities Served Under  IDEA	Percent of Students  With Disabilities Served Under  IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males 	189	86.3	0	0	189	86.3	0	0	0	0	0	0	DS	0.9	187	85.4	0	0	0	0	0	0	"1,417"	21	3	6
Corporal punishment on females	30	13.7	0	0	30	13.7	0	0	0	0	0	0	0	0	30	13.7	0	0	0	0	DS	0.9	"1,417"	21	3	6
Corporal punishment total	219	100	0	0	219	100	0	0	0	0	0	0	DS	0.9	217	99.1	0	0	0	0	DS	0.9	"1,417"	21	3	6
One or more in-school suspensions on males	"9,975"	79	361	2.9	"9,614"	76.1	11	0.1	7	0.1	204	1.7	"2,147"	17.7	"6,977"	57.4	4	0	264	2.2	115	0.9	"1,417"	21	3	6
One or more in-school suspensions on females	"2,655"	21	117	0.9	"2,538"	20.1	DS	0	DS	0	71	0.6	636	5.2	"1,751"	14.4	DS	0	74	0.6	34	0.3	"1,417"	21	3	6
One or more in-school suspensions total	"12,630"	100	478	3.8	"12,152"	96.2	13	0.1	9	0.1	275	2.3	"2,783"	22.9	"8,728"	71.8	6	0	338	2.8	149	1.2	"1,417"	21	3	6
Only one out-of-school suspension on males	"4,043"	81.9	139	2.8	"3,904"	79.1	6	0.1	7	0.1	82	1.7	"1,001"	21	"2,697"	56.7	0	0	111	2.3	37	0.7	"1,417"	21	3	6
Only one out-of-school suspension on females	892	18.1	40	0.8	852	17.3	DS	0	DS	0	19	0.4	246	5.2	561	11.8	0	0	22	0.5	14	0.3	"1,417"	21	3	6
Only one out-of-school suspension total	"4,935"	100	179	3.6	"4,756"	96.4	8	0.2	9	0.2	101	2.1	"1,247"	26.2	"3,258"	68.5	0	0	133	2.8	51	1	"1,417"	21	3	6
More than one out-of-school suspension on males	"2,939"	83.3	85	2.4	"2,854"	80.9	DS	0.1	4	0.1	54	1.6	828	24.2	"1,885"	55.1	0	0	81	2.4	17	0.5	"1,417"	21	3	6
More than one out-of-school suspension on females	588	16.7	18	0.5	570	16.2	0	0	DS	0.1	11	0.3	216	6.3	315	9.2	DS	0.1	24	0.7	5	0.1	"1,417"	21	3	6
More than one out-of-school suspension total	"3,527"	100	103	2.9	"3,424"	97.1	DS	0.1	6	0.2	65	1.9	"1,044"	30.5	"2,200"	64.3	DS	0.1	105	3.1	22	0.6	"1,417"	21	3	6
One or more out-of-school suspensions on males	"6,967"	82.5	224	2.7	"6,743"	79.9	9	0.1	11	0.1	134	1.6	"1,825"	22.4	"4,576"	56.1	0	0	188	2.3	54	0.6	"1,417"	21	3	6
One or more out-of-school suspensions on females	"1,474"	17.5	58	0.7	"1,416"	16.8	DS	0	4	0	30	0.4	465	5.7	867	10.6	DS	0	46	0.6	19	0.2	"1,417"	21	3	6
One or more out-of-school suspensions total	"8,441"	100	282	3.3	"8,159"	96.7	11	0.1	15	0.2	164	2	"2,290"	28.1	"5,443"	66.7	DS	0	234	2.9	73	0.9	"1,417"	21	3	6
Expulsions with educational services on males	37	94.9	0	0	37	94.9	0	0	0	0	0	0	5	12.8	30	76.9	0	0	DS	5.1	0	0	"1,417"	21	3	6
Expulsions with educational services on females	DS	5.1	0	0	DS	5.1	0	0	0	0	0	0	0	0	DS	5.1	0	0	0	0	0	0	"1,417"	21	3	6
Expulsions with educational services total	39	100	0	0	39	100	0	0	0	0	0	0	5	12.8	32	82.1	0	0	DS	5.1	0	0	"1,417"	21	3	6
Expulsions without educational services on males	6	100	0	0	6	100	0	0	0	0	0	0	DS	33.3	DS	33.3	0	0	DS	33.3	0	0	"1,417"	21	3	6
Expulsions without educational services on females	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,417"	21	3	6
Expulsions without educational services total	6	100	0	0	6	100	0	0	0	0	0	0	DS	33.3	DS	33.3	0	0	DS	33.3	0	0	"1,417"	21	3	6
Expulsions with or without educational services on males	42	95.5	0	0	42	95.5	0	0	0	0	0	0	6	13.6	34	77.3	0	0	DS	4.5	0	0	"1,417"	21	3	6
Expulsions with or without educational services on females	DS	4.5	0	0	DS	4.5	0	0	0	0	0	0	0	0	DS	4.5	0	0	0	0	0	0	"1,417"	21	3	6
Expulsions with or without educational services total	44	100	0	0	44	100	0	0	0	0	0	0	6	13.6	36	81.8	0	0	DS	4.5	0	0	"1,417"	21	3	6
Expulsions under zero-tolerance policies on males	7	63.6	0	0	7	63.6	0	0	0	0	0	0	DS	18.2	5	45.5	0	0	0	0	0	0	"1,417"	21	3	6
Expulsions under zero-tolerance policies on females	4	36.4	0	0	4	36.4	0	0	0	0	0	0	0	0	4	36.4	0	0	0	0	0	0	"1,417"	21	3	6
Expulsions under zero-tolerance policies total	11	100	0	0	11	100	0	0	0	0	0	0	DS	18.2	9	81.8	0	0	0	0	0	0	"1,417"	21	3	6
Referral to law enforcement on males	521	83.1	14	2.2	507	80.9	0	0	DS	0.3	14	2.3	114	18.8	363	59.7	0	0	14	2.3	DS	0.3	"1,417"	21	3	6
Referral to law enforcement on females	106	16.9	5	0.8	101	16.1	0	0	0	0	6	1	31	5.1	62	10.2	0	0	DS	0.3	DS	0.3	"1,417"	21	3	6
Referral to law enforcement total	627	100	19	3	608	97	0	0	DS	0.3	20	3.3	145	23.8	425	69.9	0	0	16	2.6	4	0.6	"1,417"	21	3	6
School-related arrests on males	148	86	0	0	148	86	0	0	0	0	4	2.4	46	27.1	96	56.5	0	0	DS	1.2	0	0	"1,417"	21	3	6
School-related arrests on females	24	14	DS	1.2	22	12.8	0	0	0	0	0	0	15	8.8	7	4.1	0	0	0	0	0	0	"1,417"	21	3	6
School-related arrests total	172	100	DS	1.2	170	98.8	0	0	0	0	4	2.4	61	35.9	103	60.6	0	0	DS	1.2	0	0	"1,417"	21	3	6
