Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	682	76.3	0	0	0	0	7	0.8	21	2.3	652	72.9	0	0	DS	0.2	DS	0.2	"1,417"	21	3	6
Corporal punishment on females	212	23.7	0	0	0	0	5	0.6	13	1.5	194	21.7	0	0	0	0	0	0	"1,417"	21	3	6
Corporal punishment total	894	100	0	0	0	0	12	1.3	34	3.8	846	94.6	0	0	DS	0.2	DS	0.2	"1,417"	21	3	6
One or more in-school suspensions on males	"37,297"	65.7	46	0.1	184	0.3	"1,373"	2.4	"6,761"	11.9	"27,986"	49.3	23	0	924	1.6	689	1.2	"1,417"	21	3	6
One or more in-school suspensions on females	"19,502"	34.3	25	0	69	0.1	666	1.2	"4,878"	8.6	"13,351"	23.5	10	0	503	0.9	213	0.4	"1,417"	21	3	6
One or more in-school suspensions total	"56,799"	100	71	0.1	253	0.4	"2,039"	3.6	"11,639"	20.5	"41,337"	72.8	33	0.1	"1,427"	2.5	902	1.6	"1,417"	21	3	6
Only one out-of-school suspension on males	"12,077"	65.9	9	0	65	0.4	413	2.3	"2,550"	13.9	"8,806"	48	4	0	230	1.3	229	1.2	"1,417"	21	3	6
Only one out-of-school suspension on females	"6,255"	34.1	10	0.1	15	0.1	216	1.2	"1,794"	9.8	"4,044"	22.1	DS	0	174	0.9	88	0.5	"1,417"	21	3	6
Only one out-of-school suspension total	"18,332"	100	19	0.1	80	0.4	629	3.4	"4,344"	23.7	"12,850"	70.1	6	0	404	2.2	317	1.7	"1,417"	21	3	6
More than one out-of-school suspension on males	"7,016"	69.7	8	0.1	24	0.2	230	2.3	"1,906"	18.9	"4,658"	46.3	DS	0	188	1.9	119	1.2	"1,417"	21	3	6
More than one out-of-school suspension on females	"3,052"	30.3	6	0.1	7	0.1	77	0.8	"1,114"	11.1	"1,752"	17.4	DS	0	94	0.9	28	0.3	"1,417"	21	3	6
More than one out-of-school suspension total	"10,068"	100	14	0.1	31	0.3	307	3	"3,020"	30	"6,410"	63.7	4	0	282	2.8	147	1.5	"1,417"	21	3	6
One or more out-of-school suspensions on males	"19,103"	67.3	17	0.1	89	0.3	644	2.3	"4,455"	15.7	"13,478"	47.5	7	0	413	1.5	350	1.2	"1,417"	21	3	6
