Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"18,324"	43.3	11	0	553	1.3	509	1.2	971	2.3	"16,066"	38	18	0	196	0.5	332	0.8	45	0.1	214	21	3	6
At least one AP course females	"23,947"	56.7	24	0.1	558	1.3	651	1.5	"1,615"	3.8	"20,813"	49.2	17	0	269	0.6	176	0.4	64	0.2	214	21	3	6
At least one AP course total	"42,271"	100	35	0.1	"1,111"	2.6	"1,160"	2.7	"2,586"	6.1	"36,879"	87.2	35	0.1	465	1.1	508	1.2	109	0.3	214	21	3	6
AP mathematics females	"3,596"	51.3	DS	0	170	2.4	72	1	118	1.7	"3,199"	45.6	DS	0	33	0.5	35	0.5	8	0.1	214	21	3	6
AP mathematics females	"3,420"	48.7	0	0	152	2.2	56	0.8	142	2	"3,042"	43.4	DS	0	26	0.4	10	0.1	7	0.1	214	21	3	6
AP mathematics total	"7,016"	100	DS	0	322	4.6	128	1.8	260	3.7	"6,241"	89	4	0.1	59	0.8	45	0.6	15	0.2	214	21	3	6
AP science males	"3,732"	47.5	DS	0	193	2.5	81	1	129	1.6	"3,291"	41.9	DS	0	34	0.4	64	0.8	6	0.1	214	21	3	6
AP science females	"4,117"	52.5	5	0.1	165	2.1	90	1.1	201	2.6	"3,623"	46.2	DS	0	31	0.4	25	0.3	10	0.1	214	21	3	6
AP science total	"7,849"	100	7	0.1	358	4.6	171	2.2	330	4.2	"6,914"	88.1	4	0.1	65	0.8	89	1.1	16	0.2	214	21	3	6
AP foreign language males	822	35.1	0	0	23	1	63	2.7	30	1.3	698	29.8	DS	0.1	6	0.3	11	0.5	9	0.4	214	21	3	6
AP foreign language females	"1,523"	64.9	DS	0.1	47	2	133	5.7	81	3.5	"1,250"	53.3	0	0	10	0.4	9	0.4	16	0.7	214	21	3	6
AP foreign language total	"2,345"	100	DS	0.1	70	3	196	8.4	111	4.7	"1,948"	83.1	DS	0.1	16	0.7	20	0.9	25	1.1	214	21	3	6
Other AP subjects males	"13,715"	42.2	10	0	465	1.4	367	1.1	803	2.5	"11,906"	36.6	13	0	151	0.5	249	0.8	18	0.1	214	21	3	6
Other AP subjects females	"18,813"	57.8	19	0.1	493	1.5	476	1.5	"1,412"	4.3	"16,191"	49.8	13	0	209	0.6	138	0.4	36	0.1	214	21	3	6
Other AP subjects total	"32,528"	100	29	0.1	958	2.9	843	2.6	"2,215"	6.8	"28,097"	86.4	26	0.1	360	1.1	387	1.2	54	0.2	214	21	3	6
