Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,107",60.9,DS,0.1,12,0.7,64,3.5,51,2.8,950,52.3,DS,0.1,26,1.4,283,15.6,4,0.2,35,1.9,730,21,3,6
Kindergarten females,710,39.1,DS,0.1,DS,0.1,57,3.1,32,1.8,597,32.9,0,0,20,1.1,133,7.3,DS,0.1,26,1.4,730,21,3,6
Kindergarten total,"1,817",100,4,0.2,14,0.8,121,6.7,83,4.6,"1,547",85.1,DS,0.1,46,2.5,416,22.9,6,0.3,61,3.4,730,21,3,6
1st grade males,"1,073",59.2,0,0,6,0.3,59,3.3,55,3,917,50.6,DS,0.1,34,1.9,262,14.5,6,0.3,30,1.7,741,21,3,6
1st grade females,739,40.8,DS,0.1,5,0.3,35,1.9,40,2.2,633,34.9,0,0,24,1.3,138,7.6,DS,0.1,18,1,741,21,3,6
1st grade total,"1,812",100,DS,0.1,11,0.6,94,5.2,95,5.2,"1,550",85.5,DS,0.1,58,3.2,400,22.1,8,0.4,48,2.6,741,21,3,6
2nd grade males,505,58,DS,0.2,5,0.6,25,2.9,31,3.6,428,49.1,0,0,14,1.6,111,12.7,4,0.5,18,2.1,742,21,3,6
2nd grade females,366,42,DS,0.2,4,0.5,20,2.3,20,2.3,309,35.5,0,0,11,1.3,61,7,4,0.5,9,1,742,21,3,6
2nd grade total,871,100,4,0.5,9,1,45,5.2,51,5.9,737,84.6,0,0,25,2.9,172,19.7,8,0.9,27,3.1,742,21,3,6
3rd grade males,420,58.8,DS,0.3,4,0.6,26,3.6,57,8,316,44.3,0,0,15,2.1,103,14.4,5,0.7,21,2.9,743,21,3,6
3rd grade females,294,41.2,DS,0.3,5,0.7,21,2.9,32,4.5,227,31.8,0,0,7,1,61,8.5,DS,0.3,13,1.8,743,21,3,6
3rd grade total,714,100,4,0.6,9,1.3,47,6.6,89,12.5,543,76.1,0,0,22,3.1,164,23,7,1,34,4.8,743,21,3,6
4th grade males,120,59.4,0,0,DS,1,6,3,7,3.5,103,51,0,0,DS,1,11,5.4,DS,1,6,3,747,21,3,6
4th grade females,82,40.6,0,0,4,2,4,2,8,4,64,31.7,0,0,DS,1,12,5.9,DS,1,DS,1,747,21,3,6
4th grade total,202,100,0,0,6,3,10,5,15,7.4,167,82.7,0,0,4,2,23,11.4,4,2,8,4,747,21,3,6
5th grade males,103,65.6,0,0,DS,1.3,5,3.2,6,3.8,88,56.1,0,0,DS,1.3,20,12.7,DS,1.3,DS,1.3,753,21,3,6
5th grade females,54,34.4,0,0,0,0,0,0,DS,1.3,52,33.1,0,0,0,0,16,10.2,DS,1.3,0,0,753,21,3,6
5th grade total,157,100,0,0,DS,1.3,5,3.2,8,5.1,140,89.2,0,0,DS,1.3,36,22.9,4,2.5,DS,1.3,753,21,3,6
6th grade males,304,80.9,DS,0.5,DS,0.5,5,1.3,50,13.3,241,64.1,0,0,4,1.1,27,7.2,6,1.6,DS,0.5,501,21,3,6
6th grade females,72,19.1,0,0,DS,0.5,DS,0.5,17,4.5,49,13,0,0,DS,0.5,6,1.6,DS,0.5,DS,0.5,501,21,3,6
6th grade total,376,100,DS,0.5,4,1.1,7,1.9,67,17.8,290,77.1,0,0,6,1.6,33,8.8,8,2.1,4,1.1,501,21,3,6
7th grade males,306,78.7,0,0,DS,0.5,12,3.1,32,8.2,251,64.5,0,0,9,2.3,31,8,7,1.8,DS,0.5,441,21,3,6
7th grade females,83,21.3,0,0,0,0,DS,0.5,17,4.4,60,15.4,0,0,4,1,10,2.6,DS,0.5,DS,0.5,441,21,3,6
7th grade total,389,100,0,0,DS,0.5,14,3.6,49,12.6,311,79.9,0,0,13,3.3,41,10.5,9,2.3,4,1,441,21,3,6
8th grade males,250,77.4,DS,0.6,0,0,8,2.5,30,9.3,206,63.8,0,0,4,1.2,41,12.7,DS,0.6,DS,0.6,443,21,3,6
8th grade females,73,22.6,0,0,DS,0.6,DS,0.6,11,3.4,56,17.3,0,0,DS,0.6,18,5.6,0,0,DS,0.6,443,21,3,6
8th grade total,323,100,DS,0.6,DS,0.6,10,3.1,41,12.7,262,81.1,0,0,6,1.9,59,18.3,DS,0.6,4,1.2,443,21,3,6
9th grade males,"2,266",68.3,4,0.1,17,0.5,115,3.5,520,15.7,"1,569",47.3,DS,0.1,39,1.2,394,11.9,29,0.9,84,2.5,389,21,3,6
9th grade females,"1,054",31.7,DS,0.1,11,0.3,52,1.6,272,8.2,687,20.7,DS,0.1,28,0.8,125,3.8,18,0.5,40,1.2,389,21,3,6
9th grade total,"3,320",100,6,0.2,28,0.8,167,5,792,23.9,"2,256",68,4,0.1,67,2,519,15.6,47,1.4,124,3.7,389,21,3,6
10th grade males,"1,503",65.1,DS,0.1,10,0.4,61,2.6,353,15.3,"1,047",45.4,DS,0.1,28,1.2,232,10.1,26,1.1,35,1.5,392,21,3,6
10th grade females,805,34.9,DS,0.1,7,0.3,39,1.7,208,9,535,23.2,DS,0.1,12,0.5,73,3.2,5,0.2,18,0.8,392,21,3,6
10th grade total,"2,308",100,4,0.2,17,0.7,100,4.3,561,24.3,"1,582",68.5,4,0.2,40,1.7,305,13.2,31,1.3,53,2.3,392,21,3,6
11th grade males,909,65.7,DS,0.1,9,0.7,34,2.5,191,13.8,662,47.9,0,0,11,0.8,138,10,13,0.9,18,1.3,398,21,3,6
11th grade females,474,34.3,DS,0.1,DS,0.1,11,0.8,120,8.7,331,23.9,DS,0.1,6,0.4,34,2.5,7,0.5,12,0.9,398,21,3,6
11th grade total,"1,383",100,4,0.3,11,0.8,45,3.3,311,22.5,993,71.8,DS,0.1,17,1.2,172,12.4,20,1.4,30,2.2,398,21,3,6
12th grade males,519,63.4,DS,0.2,4,0.5,22,2.7,118,14.4,363,44.3,0,0,10,1.2,61,7.4,DS,0.2,5,0.6,403,21,3,6
12th grade females,300,36.6,0,0,DS,0.2,10,1.2,65,7.9,219,26.7,DS,0.2,DS,0.2,20,2.4,4,0.5,DS,0.2,403,21,3,6
12th grade total,819,100,DS,0.2,6,0.7,32,3.9,183,22.3,582,71.1,DS,0.2,12,1.5,81,9.9,6,0.7,7,0.9,403,21,3,6
