Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,227",63.7,5,0.3,4,0.2,41,2.1,648,33.6,512,26.6,0,0,17,0.9,283,14.7,9,0.5,25,1.3,761,22,3,7
Kindergarten females,700,36.3,DS,0.1,5,0.3,20,1,392,20.3,270,14,0,0,11,0.6,133,6.9,DS,0.1,14,0.7,761,22,3,7
Kindergarten total,"1,927",100,7,0.4,9,0.5,61,3.2,"1,040",54,782,40.6,0,0,28,1.5,416,21.6,11,0.6,39,2,761,22,3,7
1st grade males,"1,865",60.3,18,0.6,10,0.3,70,2.3,943,30.5,790,25.5,0,0,34,1.1,370,12,52,1.7,33,1.1,776,22,3,7
1st grade females,"1,229",39.7,14,0.5,4,0.1,42,1.4,629,20.3,518,16.7,DS,0.1,20,0.6,141,4.6,25,0.8,15,0.5,776,22,3,7
1st grade total,"3,094",100,32,1,14,0.5,112,3.6,"1,572",50.8,"1,308",42.3,DS,0.1,54,1.7,511,16.5,77,2.5,48,1.6,776,22,3,7
2nd grade males,922,59.6,8,0.5,DS,0.1,26,1.7,600,38.8,273,17.7,DS,0.1,11,0.7,124,8,65,4.2,23,1.5,776,22,3,7
2nd grade females,624,40.4,4,0.3,DS,0.1,24,1.6,375,24.3,211,13.6,DS,0.1,6,0.4,73,4.7,29,1.9,13,0.8,776,22,3,7
2nd grade total,"1,546",100,12,0.8,4,0.3,50,3.2,975,63.1,484,31.3,4,0.3,17,1.1,197,12.7,94,6.1,36,2.3,776,22,3,7
3rd grade males,634,57.1,DS,0.2,6,0.5,19,1.7,430,38.7,166,15,DS,0.2,9,0.8,90,8.1,57,5.1,16,1.4,781,22,3,7
3rd grade females,476,42.9,DS,0.2,DS,0.2,26,2.3,302,27.2,138,12.4,0,0,6,0.5,36,3.2,40,3.6,17,1.5,781,22,3,7
3rd grade total,"1,110",100,4,0.4,8,0.7,45,4.1,732,65.9,304,27.4,DS,0.2,15,1.4,126,11.4,97,8.7,33,3,781,22,3,7
4th grade males,"3,528",55.8,24,0.4,12,0.2,81,1.3,"2,517",39.8,866,13.7,0,0,28,0.4,741,11.7,379,6,58,0.9,819,22,3,7
4th grade females,"2,794",44.2,29,0.5,11,0.2,64,1,"1,995",31.6,667,10.6,0,0,28,0.4,429,6.8,227,3.6,45,0.7,819,22,3,7
4th grade total,"6,322",100,53,0.8,23,0.4,145,2.3,"4,512",71.4,"1,533",24.2,0,0,56,0.9,"1,170",18.5,606,9.6,103,1.6,819,22,3,7
5th grade males,463,66.4,8,1.1,0,0,21,3,260,37.3,172,24.7,0,0,DS,0.3,76,10.9,44,6.3,14,2,799,22,3,7
5th grade female,234,33.6,0,0,DS,0.3,9,1.3,128,18.4,93,13.3,0,0,DS,0.3,26,3.7,19,2.7,5,0.7,799,22,3,7
5th grade total,697,100,8,1.1,DS,0.3,30,4.3,388,55.7,265,38,0,0,4,0.6,102,14.6,63,9,19,2.7,799,22,3,7
6th grade males,"1,136",69.5,8,0.5,7,0.4,42,2.6,671,41,397,24.3,0,0,11,0.7,166,10.2,113,6.9,33,2,591,22,3,7
