Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools
At least one AP course males	"20,672"	43.9	36	0.1	"2,125"	4.5	"1,433"	3	942	2	"15,739"	33.4	19	0	378	0.8	499	1.1	200	0.4	296
At least one AP course females	"26,440"	56.1	49	0.1	"2,497"	5.3	"1,961"	4.2	"1,418"	3	"19,984"	42.4	35	0.1	496	1.1	344	0.7	267	0.6	296
At least one AP course total	"47,112"	100	85	0.2	"4,622"	9.8	"3,394"	7.2	"2,360"	5	"35,723"	75.8	54	0.1	874	1.9	843	1.8	467	1	296
AP mathematics males	"6,722"	49.6	10	0.1	845	6.2	334	2.5	263	1.9	"5,155"	38	4	0	111	0.8	101	0.7	88	0.6	296
AP mathematics females	"6,829"	50.4	10	0.1	903	6.7	332	2.5	351	2.6	"5,130"	37.9	9	0.1	94	0.7	55	0.4	81	0.6	296
AP mathematics total	"13,551"	100	20	0.1	"1,748"	12.9	666	4.9	614	4.5	"10,285"	75.9	13	0.1	205	1.5	156	1.2	169	1.2	296
AP science males	"7,214"	47.8	11	0.1	970	6.4	294	1.9	202	1.3	"5,606"	37.2	7	0	124	0.8	87	0.6	45	0.3	296
AP science females	"7,866"	52.2	9	0.1	987	6.5	332	2.2	320	2.1	"6,075"	40.3	7	0	136	0.9	45	0.3	56	0.4	296
AP science total	"15,080"	100	20	0.1	"1,957"	13	626	4.2	522	3.5	"11,681"	77.5	14	0.1	260	1.7	132	0.9	101	0.7	296
AP foreign language males	"1,999"	37.2	DS	0	175	3.3	242	4.5	58	1.1	"1,474"	27.4	DS	0	46	0.9	26	0.5	58	1.1	296
AP foreign language females	"3,381"	62.8	DS	0	322	6	465	8.6	116	2.2	"2,423"	45	6	0.1	47	0.9	17	0.3	104	1.9	296
AP foreign language total	"5,380"	100	4	0.1	497	9.2	707	13.1	174	3.2	"3,897"	72.4	8	0.1	93	1.7	43	0.8	162	3	296
Other AP subjects males	"12,319"	42.1	18	0.1	"1,159"	4	745	2.5	602	2.1	"9,574"	32.7	5	0	216	0.7	231	0.8	54	0.2	296
Other AP subjects females	"16,932"	57.9	34	0.1	"1,534"	5.2	"1,104"	3.8	985	3.4	"12,978"	44.4	21	0.1	276	0.9	165	0.6	85	0.3	296
Other AP subjects total	"29,251"	100	52	0.2	"2,693"	9.2	"1,849"	6.3	"1,587"	5.4	"22,552"	77.1	26	0.1	492	1.7	396	1.4	139	0.5	296
