Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,038",63.6,4,0.2,48,2.9,278,17,135,8.3,519,31.8,DS,0.1,52,3.2,313,19.2,29,1.8,163,10,953,25,1,1
Kindergarten females,595,36.4,0,0,37,2.3,198,12.1,54,3.3,276,16.9,DS,0.1,28,1.7,117,7.2,10,0.6,102,6.2,953,25,1,1
Kindergarten total,"1,633",100,4,0.2,85,5.2,476,29.1,189,11.6,795,48.7,4,0.2,80,4.9,430,26.3,39,2.4,265,16.2,953,25,1,1
1st grade males,"1,073",60.9,0,0,39,2.2,418,23.7,169,9.6,398,22.6,DS,0.1,47,2.7,288,16.3,31,1.8,239,13.6,973,25,1,1
1st grade females,690,39.1,DS,0.1,28,1.6,280,15.9,100,5.7,251,14.2,0,0,29,1.6,129,7.3,20,1.1,160,9.1,973,25,1,1
1st grade total,"1,763",100,DS,0.1,67,3.8,698,39.6,269,15.3,649,36.8,DS,0.1,76,4.3,417,23.7,51,2.9,399,22.6,973,25,1,1
2nd grade males,493,55.5,DS,0.2,23,2.6,217,24.4,67,7.5,167,18.8,0,0,17,1.9,149,16.8,30,3.4,135,15.2,969,25,1,1
2nd grade females,396,44.5,DS,0.2,20,2.2,191,21.5,70,7.9,94,10.6,0,0,19,2.1,65,7.3,7,0.8,121,13.6,969,25,1,1
2nd grade total,889,100,4,0.4,43,4.8,408,45.9,137,15.4,261,29.4,0,0,36,4,214,24.1,37,4.2,256,28.8,969,25,1,1
3rd grade males,292,51.3,0,0,9,1.6,110,19.3,67,11.8,93,16.3,0,0,13,2.3,72,12.7,11,1.9,73,12.8,960,25,1,1
3rd grade females,277,48.7,0,0,13,2.3,118,20.7,39,6.9,90,15.8,0,0,17,3,45,7.9,7,1.2,73,12.8,960,25,1,1
3rd grade total,569,100,0,0,22,3.9,228,40.1,106,18.6,183,32.2,0,0,30,5.3,117,20.6,18,3.2,146,25.7,960,25,1,1
4th grade males,232,60.3,DS,0.5,11,2.9,108,28.1,45,11.7,52,13.5,DS,0.5,12,3.1,49,12.7,13,3.4,56,14.5,946,25,1,1
4th grade females,153,39.7,0,0,6,1.6,66,17.1,31,8.1,43,11.2,0,0,7,1.8,22,5.7,7,1.8,30,7.8,946,25,1,1
4th grade total,385,100,DS,0.5,17,4.4,174,45.2,76,19.7,95,24.7,DS,0.5,19,4.9,71,18.4,20,5.2,86,22.3,946,25,1,1
5th grade males,242,56.5,0,0,11,2.6,87,20.3,58,13.6,84,19.6,0,0,DS,0.5,55,12.9,13,3,48,11.2,882,25,1,1
5th grade females,186,43.5,0,0,9,2.1,77,18,46,10.7,44,10.3,0,0,10,2.3,36,8.4,7,1.6,45,10.5,882,25,1,1
5th grade total,428,100,0,0,20,4.7,164,38.3,104,24.3,128,29.9,0,0,12,2.8,91,21.3,20,4.7,93,21.7,882,25,1,1
6th grade males,355,67,0,0,17,3.2,127,24,92,17.4,104,19.6,0,0,15,2.8,101,19.1,13,2.5,60,11.3,575,25,1,1
6th grade females,175,33,DS,0.4,10,1.9,52,9.8,44,8.3,56,10.6,0,0,11,2.1,41,7.7,7,1.3,26,4.9,575,25,1,1
6th grade total,530,100,DS,0.4,27,5.1,179,33.8,136,25.7,160,30.2,0,0,26,4.9,142,26.8,20,3.8,86,16.2,575,25,1,1
7th grade males,480,66.1,DS,0.3,21,2.9,147,20.2,139,19.1,148,20.4,DS,0.3,21,2.9,120,16.5,21,2.9,77,10.6,489,25,1,1
7th grade females,246,33.9,DS,0.3,10,1.4,89,12.3,64,8.8,72,9.9,0,0,9,1.2,61,8.4,7,1,34,4.7,489,25,1,1
7th grade total,726,100,4,0.6,31,4.3,236,32.5,203,28,220,30.3,DS,0.3,30,4.1,181,24.9,28,3.9,111,15.3,489,25,1,1
8th grade males,352,62.5,DS,0.4,11,2,89,15.8,75,13.3,154,27.4,0,0,21,3.7,106,18.8,13,2.3,37,6.6,486,25,1,1
8th grade females,211,37.5,0,0,16,2.8,69,12.3,36,6.4,80,14.2,0,0,10,1.8,49,8.7,5,0.9,34,6,486,25,1,1
8th grade total,563,100,DS,0.4,27,4.8,158,28.1,111,19.7,234,41.6,0,0,31,5.5,155,27.5,18,3.2,71,12.6,486,25,1,1
9th grade males,"2,764",62.7,8,0.2,77,1.7,"1,042",23.6,482,10.9,"1,046",23.7,DS,0,107,2.4,806,18.3,92,2.1,404,9.2,379,25,1,1
9th grade females,"1,645",37.3,10,0.2,36,0.8,645,14.6,281,6.4,613,13.9,DS,0,58,1.3,383,8.7,43,1,259,5.9,379,25,1,1
9th grade total,"4,409",100,18,0.4,113,2.6,"1,687",38.3,763,17.3,"1,659",37.6,4,0.1,165,3.7,"1,189",27,135,3.1,663,15,379,25,1,1
10th grade males,"1,431",61.4,8,0.3,45,1.9,435,18.7,257,11,624,26.8,DS,0.1,60,2.6,423,18.1,56,2.4,149,6.4,378,25,1,1
10th grade females,900,38.6,11,0.5,24,1,288,12.4,131,5.6,412,17.7,0,0,34,1.5,217,9.3,40,1.7,90,3.9,378,25,1,1
10th grade total,"2,331",100,19,0.8,69,3,723,31,388,16.6,"1,036",44.4,DS,0.1,94,4,640,27.5,96,4.1,239,10.3,378,25,1,1
11th grade males,"1,112",61.3,DS,0.1,43,2.4,299,16.5,209,11.5,517,28.5,4,0.2,38,2.1,304,16.8,38,2.1,124,6.8,381,25,1,1
11th grade females,701,38.7,DS,0.1,33,1.8,217,12,121,6.7,297,16.4,DS,0.1,29,1.6,161,8.9,24,1.3,88,4.9,381,25,1,1
11th grade total,"1,813",100,4,0.2,76,4.2,516,28.5,330,18.2,814,44.9,6,0.3,67,3.7,465,25.6,62,3.4,212,11.7,381,25,1,1
12th grade males,"1,417",58.5,6,0.2,88,3.6,421,17.4,339,14,535,22.1,DS,0.1,26,1.1,505,20.8,32,1.3,155,6.4,381,25,1,1
12th grade females,"1,007",41.5,5,0.2,85,3.5,346,14.3,247,10.2,299,12.3,0,0,25,1,293,12.1,27,1.1,118,4.9,381,25,1,1
12th grade total,"2,424",100,11,0.5,173,7.1,767,31.6,586,24.2,834,34.4,DS,0.1,51,2.1,798,32.9,59,2.4,273,11.3,381,25,1,1
