Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"28,992"	44	90	0.1	"3,553"	5.4	"2,339"	3.6	"7,254"	11	"14,115"	21.4	730	1.1	911	1.4	599	0.9	266	0.4	210	24	3	5
At least one AP course females	"36,882"	56	108	0.2	"3,853"	5.8	"3,104"	4.7	"10,765"	16.3	"16,892"	25.6	955	1.4	"1,205"	1.8	260	0.4	286	0.4	210	24	3	5
At least one AP course total	"65,874"	100	198	0.3	"7,406"	11.2	"5,443"	8.3	"18,019"	27.4	"31,007"	47.1	"1,685"	2.6	"2,116"	3.2	859	1.3	552	0.8	210	24	3	5
AP mathematics males	"8,091"	50.6	22	0.1	"1,389"	8.7	411	2.6	"1,664"	10.4	"4,201"	26.3	144	0.9	260	1.6	101	0.6	41	0.3	210	24	3	5
AP mathematics females	"7,886"	49.4	20	0.1	"1,272"	8	457	2.9	"1,973"	12.3	"3,756"	23.5	143	0.9	265	1.7	21	0.1	30	0.2	210	24	3	5
AP mathematics total	"15,977"	100	42	0.3	"2,661"	16.7	868	5.4	"3,637"	22.8	"7,957"	49.8	287	1.8	525	3.3	122	0.8	71	0.4	210	24	3	5
AP science males	"7,459"	47.8	17	0.1	"1,297"	8.3	440	2.8	"1,475"	9.4	"3,826"	24.5	164	1.1	240	1.5	132	0.8	33	0.2	210	24	3	5
AP science females	"8,156"	52.2	21	0.1	"1,256"	8	510	3.3	"1,911"	12.2	"4,026"	25.8	148	0.9	284	1.8	40	0.3	34	0.2	210	24	3	5
AP science total	"15,615"	100	38	0.2	"2,553"	16.3	950	6.1	"3,386"	21.7	"7,852"	50.3	312	2	524	3.4	172	1.1	67	0.4	210	24	3	5
AP foreign language males	"1,459"	36	DS	0	169	4.2	527	13	155	3.8	547	13.5	11	0.3	48	1.2	28	0.7	155	3.8	210	24	3	5
AP foreign language females	"2,589"	64	DS	0	304	7.5	854	21.1	334	8.3	991	24.5	25	0.6	79	2	21	0.5	166	4.1	210	24	3	5
AP foreign language total	"4,048"	100	4	0.1	473	11.7	"1,381"	34.1	489	12.1	"1,538"	38	36	0.9	127	3.1	49	1.2	321	7.9	210	24	3	5
Other AP subjects males	"24,161"	42.8	77	0.1	"3,073"	5.4	"1,735"	3.1	"6,250"	11.1	"11,610"	20.6	633	1.1	783	1.4	488	0.9	71	0.1	210	24	3	5
Other AP subjects females	"32,253"	57.2	96	0.2	"3,447"	6.1	"2,374"	4.2	"9,756"	17.3	"14,653"	26	859	1.5	"1,068"	1.9	208	0.4	84	0.1	210	24	3	5
Other AP subjects total	"56,414"	100	173	0.3	"6,520"	11.6	"4,109"	7.3	"16,006"	28.4	"26,263"	46.6	"1,492"	2.6	"1,851"	3.3	696	1.2	155	0.3	210	24	3	5
