Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,690,65.8,0,0,17,1.6,156,14.9,263,25.1,217,20.7,12,1.1,25,2.4,234,22.3,11,1,153,14.6,893,24,3,5
Kindergarten females,358,34.2,0,0,13,1.2,93,8.9,126,12,109,10.4,4,0.4,13,1.2,97,9.3,DS,0.2,86,8.2,893,24,3,5
Kindergarten total,"1,048",100,0,0,30,2.9,249,23.8,389,37.1,326,31.1,16,1.5,38,3.6,331,31.6,13,1.2,239,22.8,893,24,3,5
1st grade males,550,59.3,4,0.4,9,1,100,10.8,331,35.7,84,9.1,7,0.8,15,1.6,128,13.8,14,1.5,120,12.9,896,24,3,5
1st grade females,377,40.7,DS,0.2,7,0.8,83,9,209,22.5,61,6.6,7,0.8,8,0.9,63,6.8,6,0.6,81,8.7,896,24,3,5
1st grade total,927,100,6,0.6,16,1.7,183,19.7,540,58.3,145,15.6,14,1.5,23,2.5,191,20.6,20,2.2,201,21.7,896,24,3,5
2nd grade males,318,59.8,DS,0.4,6,1.1,49,9.2,202,38,52,9.8,DS,0.4,5,0.9,101,19,14,2.6,55,10.3,896,24,3,5
2nd grade females,214,40.2,0,0,DS,0.4,35,6.6,127,23.9,35,6.6,DS,0.4,13,2.4,47,8.8,4,0.8,39,7.3,896,24,3,5
2nd grade total,532,100,DS,0.4,8,1.5,84,15.8,329,61.8,87,16.4,4,0.8,18,3.4,148,27.8,18,3.4,94,17.7,896,24,3,5
3rd grade males,177,62.8,0,0,DS,0.7,16,5.7,130,46.1,23,8.2,DS,0.7,4,1.4,46,16.3,13,4.6,21,7.4,895,24,3,5
3rd grade females,105,37.2,0,0,DS,0.7,12,4.3,68,24.1,21,7.4,0,0,DS,0.7,13,4.6,5,1.8,14,5,895,24,3,5
3rd grade total,282,100,0,0,4,1.4,28,9.9,198,70.2,44,15.6,DS,0.7,6,2.1,59,20.9,18,6.4,35,12.4,895,24,3,5
4th grade males,115,60.5,0,0,DS,1.1,9,4.7,80,42.1,22,11.6,0,0,DS,1.1,33,17.4,5,2.6,14,7.4,894,24,3,5
4th grade females,75,39.5,0,0,0,0,8,4.2,53,27.9,12,6.3,0,0,DS,1.1,13,6.8,DS,1.1,8,4.2,894,24,3,5
4th grade total,190,100,0,0,DS,1.1,17,8.9,133,70,34,17.9,0,0,4,2.1,46,24.2,7,3.7,22,11.6,894,24,3,5
5th grade males,83,61.9,0,0,0,0,DS,1.5,64,47.8,15,11.2,DS,1.5,0,0,30,22.4,DS,1.5,DS,1.5,890,24,3,5
5th grade females,51,38.1,0,0,0,0,DS,1.5,40,29.9,9,6.7,0,0,0,0,9,6.7,4,3,DS,1.5,890,24,3,5
5th grade total,134,100,0,0,0,0,4,3,104,77.6,24,17.9,DS,1.5,0,0,39,29.1,6,4.5,4,3,890,24,3,5
6th grade males,378,66.7,DS,0.4,DS,0.4,12,2.1,281,49.6,71,12.5,DS,0.4,8,1.4,86,15.2,30,5.3,DS,0.4,473,24,3,5
6th grade females,189,33.3,DS,0.4,DS,0.4,8,1.4,141,24.9,31,5.5,0,0,5,0.9,34,6,11,1.9,6,1.1,473,24,3,5
6th grade total,567,100,4,0.7,4,0.7,20,3.5,422,74.4,102,18,DS,0.4,13,2.3,120,21.2,41,7.2,8,1.4,473,24,3,5
7th grade males,590,69.7,0,0,4,0.5,57,6.7,402,47.5,114,13.5,5,0.6,8,0.9,157,18.5,39,4.6,13,1.5,392,24,3,5
7th grade females,257,30.3,DS,0.2,DS,0.2,13,1.5,188,22.2,43,5.1,DS,0.2,7,0.8,54,6.4,6,0.7,6,0.7,392,24,3,5
7th grade total,847,100,DS,0.2,6,0.7,70,8.3,590,69.7,157,18.5,7,0.8,15,1.8,211,24.9,45,5.3,19,2.2,392,24,3,5
