Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	87	76.3	DS	1.8	DS	1.8	DS	1.8	16	14	65	57	0	0	0	0	13	11.4	595	23	1	1
Corporal punishment on females	27	23.7	0	0	DS	1.8	0	0	4	3.5	19	16.7	0	0	DS	1.8	6	5.3	595	23	1	1
Corporal punishment total	114	100	DS	1.8	4	3.5	DS	1.8	20	17.5	84	73.7	0	0	DS	1.8	19	16.7	595	23	1	1
One or more in-school suspensions on males	"2,585"	69.3	28	0.8	17	0.5	37	1	183	4.9	"2,293"	61.5	0	0	27	0.7	127	3.4	595	23	1	1
One or more in-school suspensions on females	"1,144"	30.7	18	0.5	5	0.1	18	0.5	65	1.7	"1,020"	27.4	0	0	18	0.5	50	1.3	595	23	1	1
One or more in-school suspensions total	"3,729"	100	46	1.2	22	0.6	55	1.5	248	6.7	"3,313"	88.8	0	0	45	1.2	177	4.7	595	23	1	1
Only one out-of-school suspension on males	"2,036"	68.4	15	0.5	19	0.6	35	1.2	142	4.8	"1,805"	60.7	DS	0.1	18	0.6	99	3.3	595	23	1	1
Only one out-of-school suspension on females	939	31.6	9	0.3	10	0.3	19	0.6	61	2.1	824	27.7	DS	0.1	14	0.5	46	1.5	595	23	1	1
Only one out-of-school suspension total	"2,975"	100	24	0.8	29	1	54	1.8	203	6.8	"2,629"	88.4	4	0.1	32	1.1	145	4.9	595	23	1	1
More than one out-of-school suspension on males	"1,245"	73.7	11	0.7	4	0.2	23	1.4	99	5.9	"1,098"	65	0	0	10	0.6	65	3.8	595	23	1	1
More than one out-of-school suspension on females	445	26.3	DS	0.1	DS	0.1	9	0.5	23	1.4	403	23.8	0	0	6	0.4	18	1.1	595	23	1	1
More than one out-of-school suspension total	"1,690"	100	13	0.8	6	0.4	32	1.9	122	7.2	"1,501"	88.8	0	0	16	0.9	83	4.9	595	23	1	1
One or more out-of-school suspensions on males	"3,280"	70.3	26	0.6	23	0.5	57	1.2	240	5.1	"2,904"	62.3	DS	0	28	0.6	165	3.5	595	23	1	1
One or more out-of-school suspensions on females	"1,383"	29.7	11	0.2	13	0.3	28	0.6	85	1.8	"1,224"	26.2	DS	0	20	0.4	64	1.4	595	23	1	1
One or more out-of-school suspensions total	"4,663"	100	37	0.8	36	0.8	85	1.8	325	7	"4,128"	88.5	4	0.1	48	1	229	4.9	595	23	1	1
Expulsions with educational services on males	20	76.9	0	0	DS	7.7	0	0	DS	7.7	16	61.5	0	0	0	0	DS	7.7	595	23	1	1
Expulsions with educational services on females	6	23.1	0	0	0	0	0	0	0	0	6	23.1	0	0	0	0	0	0	595	23	1	1
Expulsions with educational services total	26	100	0	0	DS	7.7	0	0	DS	7.7	22	84.6	0	0	0	0	DS	7.7	595	23	1	1
Expulsions without educational services on males	54	93.1	0	0	0	0	DS	3.4	DS	3.4	48	82.8	0	0	DS	3.4	0	0	595	23	1	1
Expulsions without educational services on females	4	6.9	0	0	0	0	0	0	0	0	4	6.9	0	0	0	0	0	0	595	23	1	1
Expulsions without educational services total	58	100	0	0	0	0	DS	3.4	DS	3.4	52	89.7	0	0	DS	3.4	0	0	595	23	1	1
Expulsions with or without educational services on males	71	87.7	0	0	DS	2.5	DS	2.5	DS	2.5	63	77.8	0	0	DS	2.5	DS	2.5	595	23	1	1
Expulsions with or without educational services on females	10	12.3	0	0	0	0	0	0	0	0	10	12.3	0	0	0	0	0	0	595	23	1	1
Expulsions with or without educational services total	81	100	0	0	DS	2.5	DS	2.5	DS	2.5	73	90.1	0	0	DS	2.5	DS	2.5	595	23	1	1
Expulsions under zero-tolerance policies on males	12	70.6	0	0	0	0	DS	11.8	0	0	10	58.8	0	0	0	0	0	0	595	23	1	1
Expulsions under zero-tolerance policies on females	5	29.4	0	0	0	0	0	0	0	0	5	29.4	0	0	0	0	0	0	595	23	1	1
Expulsions under zero-tolerance policies total	17	100	0	0	0	0	DS	11.8	0	0	15	88.2	0	0	0	0	0	0	595	23	1	1
Referral to law enforcement on males	340	72.3	DS	0.4	4	0.9	8	1.7	21	4.5	303	64.5	0	0	DS	0.4	6	1.3	595	23	1	1
Referral to law enforcement on females	130	27.7	0	0	DS	0.4	4	0.9	9	1.9	113	24	0	0	DS	0.4	DS	0.4	595	23	1	1
Referral to law enforcement total	470	100	DS	0.4	6	1.3	12	2.6	30	6.4	416	88.5	0	0	4	0.9	8	1.7	595	23	1	1
School-related arrests on males	57	78.1	0	0	DS	2.7	DS	2.7	DS	2.7	51	69.9	0	0	0	0	DS	2.7	595	23	1	1
School-related arrests on females	16	21.9	0	0	0	0	0	0	0	0	16	21.9	0	0	0	0	0	0	595	23	1	1
School-related arrests total	73	100	0	0	DS	2.7	DS	2.7	DS	2.7	67	91.8	0	0	0	0	DS	2.7	595	23	1	1
