Advanced Placement Course enrollment by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"3,642"	45.2	11	0.1	106	1.3	41	0.5	54	0.7	"3,411"	42.3	DS	0	17	0.2	39	0.5	19	0.2	100	23	1	1
At least one AP course females	"4,414"	54.8	11	0.1	127	1.6	57	0.7	76	0.9	"4,122"	51.2	4	0	17	0.2	26	0.3	25	0.3	100	23	1	1
At least one AP course total	"8,056"	100	22	0.3	233	2.9	98	1.2	130	1.6	"7,533"	93.5	6	0.1	34	0.4	65	0.8	44	0.5	100	23	1	1
AP mathematics males	"1,115"	50.6	DS	0.1	42	1.9	17	0.8	12	0.5	"1,035"	47	0	0	7	0.3	8	0.4	11	0.5	100	23	1	1
AP mathematics females	"1,088"	49.4	DS	0.1	52	2.4	12	0.5	14	0.6	"1,004"	45.6	DS	0.1	DS	0.1	DS	0.1	12	0.5	100	23	1	1
AP mathematics total	"2,203"	100	4	0.2	94	4.3	29	1.3	26	1.2	"2,039"	92.6	DS	0.1	9	0.4	10	0.5	23	1	100	23	1	1
AP science males	851	49.9	DS	0.1	33	1.9	7	0.4	8	0.5	797	46.8	0	0	4	0.2	10	0.6	5	0.3	100	23	1	1
AP science females	853	50.1	DS	0.1	27	1.6	16	0.9	12	0.7	794	46.6	0	0	DS	0.1	DS	0.1	4	0.2	100	23	1	1
AP science total	"1,704"	100	4	0.2	60	3.5	23	1.3	20	1.2	"1,591"	93.4	0	0	6	0.4	12	0.7	9	0.5	100	23	1	1
AP foreign language males	88	34.9	0	0	5	2	4	1.6	DS	0.8	77	30.6	0	0	0	0	DS	0.8	DS	0.8	100	23	1	1
AP foreign language females	164	65.1	DS	0.8	4	1.6	4	1.6	DS	0.8	152	60.3	0	0	0	0	0	0	0	0	100	23	1	1
AP foreign language total	252	100	DS	0.8	9	3.6	8	3.2	4	1.6	229	90.9	0	0	0	0	DS	0.8	DS	0.8	100	23	1	1
Other AP subjects males	"2,256"	41.5	7	0.1	52	1	24	0.4	37	0.7	"2,125"	39.1	DS	0	9	0.2	24	0.4	9	0.2	100	23	1	1
Other AP subjects females	"3,183"	58.5	8	0.1	83	1.5	32	0.6	52	1	"2,994"	55	DS	0	12	0.2	15	0.3	14	0.3	100	23	1	1
Other AP subjects total	"5,439"	100	15	0.3	135	2.5	56	1	89	1.6	"5,119"	94.1	4	0.1	21	0.4	39	0.7	23	0.4	100	23	1	1
