Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"1,065"	64.3	4	0.2	"1,061"	64.1	4	0.2	7	0.4	62	3.8	283	17.2	692	41.9	0	0	13	0.8	25	1.5	"3,626"	26	2	3
Corporal punishment on females	591	35.7	DS	0.1	589	35.6	DS	0.1	DS	0.1	30	1.8	243	14.7	307	18.6	0	0	5	0.3	12	0.7	"3,626"	26	2	3
Corporal punishment total	"1,656"	100	6	0.4	"1,650"	99.6	6	0.4	9	0.5	92	5.6	526	31.9	999	60.5	0	0	18	1.1	37	2.2	"3,626"	26	2	3
One or more in-school suspensions on males	"40,709"	69.7	257	0.4	"40,452"	69.2	420	0.7	320	0.6	"2,302"	4	"9,987"	17.2	"26,649"	45.9	18	0	756	1.3	"1,267"	2.2	"3,626"	26	2	3
One or more in-school suspensions on females	"17,720"	30.3	69	0.1	"17,651"	30.2	229	0.4	113	0.2	"1,119"	1.9	"5,755"	9.9	"10,050"	17.3	11	0	374	0.6	415	0.7	"3,626"	26	2	3
One or more in-school suspensions total	"58,429"	100	326	0.6	"58,103"	99.4	649	1.1	433	0.7	"3,421"	5.9	"15,742"	27.1	"36,699"	63.2	29	0	"1,130"	1.9	"1,682"	2.9	"3,626"	26	2	3
Only one out-of-school suspension on males	"46,845"	67.1	227	0.3	"46,618"	66.8	389	0.6	442	0.6	"2,696"	3.9	"17,581"	25.3	"24,493"	35.2	21	0	996	1.4	"1,686"	2.4	"3,626"	26	2	3
Only one out-of-school suspension on females	"22,955"	32.9	70	0.1	"22,885"	32.8	201	0.3	158	0.2	"1,329"	1.9	"11,596"	16.7	"9,065"	13	9	0	527	0.8	554	0.8	"3,626"	26	2	3
Only one out-of-school suspension total	"69,800"	100	297	0.4	"69,503"	99.6	590	0.8	600	0.9	"4,025"	5.8	"29,177"	42	"33,558"	48.3	30	0	"1,523"	2.2	"2,240"	3.2	"3,626"	26	2	3
More than one out-of-school suspension on males	"44,669"	70.7	255	0.4	"44,414"	70.3	377	0.6	219	0.3	"2,298"	3.7	"20,562"	32.7	"20,045"	31.9	12	0	901	1.4	"1,342"	2.1	"3,626"	26	2	3
More than one out-of-school suspension on females	"18,468"	29.3	49	0.1	"18,419"	29.2	164	0.3	54	0.1	882	1.4	"10,980"	17.5	"5,964"	9.5	7	0	368	0.6	304	0.5	"3,626"	26	2	3
More than one out-of-school suspension total	"63,137"	100	304	0.5	"62,833"	99.5	541	0.9	273	0.4	"3,180"	5.1	"31,542"	50.2	"26,009"	41.4	19	0	"1,269"	2	"1,646"	2.6	"3,626"	26	2	3
One or more out-of-school suspensions on males	"91,547"	68.9	484	0.4	"91,063"	68.5	766	0.6	662	0.5	"5,005"	3.8	"38,154"	28.8	"44,541"	33.7	34	0	"1,901"	1.4	"3,017"	2.3	"3,626"	26	2	3
One or more out-of-school suspensions on females	"41,402"	31.1	117	0.1	"41,285"	31.1	368	0.3	209	0.2	"2,213"	1.7	"22,574"	17.1	"15,011"	11.3	16	0	894	0.7	864	0.6	"3,626"	26	2	3
One or more out-of-school suspensions total	"132,949"	100	601	0.5	"132,348"	99.5	"1,134"	0.9	871	0.7	"7,218"	5.5	"60,728"	45.9	"59,552"	45	50	0	"2,795"	2.1	"3,881"	2.9	"3,626"	26	2	3
Expulsions with educational services on males	"1,366"	74.7	8	0.4	"1,358"	74.2	17	0.9	7	0.4	72	4	430	23.6	804	44.2	0	0	28	1.5	15	0.8	"3,626"	26	2	3
Expulsions with educational services on females	463	25.3	DS	0.1	461	25.2	6	0.3	DS	0.1	23	1.3	188	10.3	228	12.5	0	0	14	0.8	4	0.2	"3,626"	26	2	3
Expulsions with educational services total	"1,829"	100	10	0.5	"1,819"	99.5	23	1.3	9	0.5	95	5.2	618	34	"1,032"	56.7	0	0	42	2.3	19	1	"3,626"	26	2	3
Expulsions without educational services on males	"1,099"	75.5	7	0.5	"1,092"	75	20	1.4	7	0.5	72	5	361	24.9	622	43	0	0	10	0.7	11	0.8	"3,626"	26	2	3
Expulsions without educational services on females	357	24.5	DS	0.1	355	24.4	4	0.3	DS	0.1	26	1.8	149	10.3	168	11.6	0	0	6	0.4	0	0	"3,626"	26	2	3
Expulsions without educational services total	"1,456"	100	9	0.6	"1,447"	99.4	24	1.7	9	0.6	98	6.8	510	35.2	790	54.6	0	0	16	1.1	11	0.8	"3,626"	26	2	3
Expulsions with or without educational services on males	"2,464"	75.1	15	0.5	"2,449"	74.7	37	1.1	14	0.4	146	4.5	789	24.2	"1,425"	43.7	0	0	38	1.2	25	0.8	"3,626"	26	2	3
Expulsions with or without educational services on females	815	24.9	DS	0.1	813	24.8	10	0.3	DS	0.1	49	1.5	334	10.2	398	12.2	0	0	20	0.6	4	0.1	"3,626"	26	2	3
Expulsions with or without educational services total	"3,279"	100	17	0.5	"3,262"	99.5	47	1.4	16	0.5	195	6	"1,123"	34.4	"1,823"	55.9	0	0	58	1.8	29	0.9	"3,626"	26	2	3
Expulsions under zero-tolerance policies on males	984	76.6	6	0.5	978	76.2	16	1.3	10	0.8	66	5.2	264	20.7	603	47.3	0	0	19	1.5	8	0.6	"3,626"	26	2	3
Expulsions under zero-tolerance policies on females	300	23.4	DS	0.2	298	23.2	4	0.3	DS	0.2	22	1.7	75	5.9	190	14.9	0	0	5	0.4	4	0.3	"3,626"	26	2	3
Expulsions under zero-tolerance policies total	"1,284"	100	8	0.6	"1,276"	99.4	20	1.6	12	0.9	88	6.9	339	26.6	793	62.1	0	0	24	1.9	12	0.9	"3,626"	26	2	3
Referral to law enforcement on males	"4,177"	71.1	21	0.4	"4,156"	70.7	82	1.4	33	0.6	343	5.9	851	14.5	"2,794"	47.7	0	0	53	0.9	49	0.8	"3,626"	26	2	3
Referral to law enforcement on females	"1,698"	28.9	DS	0	"1,696"	28.9	23	0.4	10	0.2	95	1.6	494	8.4	"1,047"	17.9	0	0	27	0.5	13	0.2	"3,626"	26	2	3
Referral to law enforcement total	"5,875"	100	23	0.4	"5,852"	99.6	105	1.8	43	0.7	438	7.5	"1,345"	23	"3,841"	65.6	0	0	80	1.4	62	1.1	"3,626"	26	2	3
School-related arrests on males	"1,057"	69.9	8	0.5	"1,049"	69.4	8	0.5	7	0.5	58	3.9	376	25	596	39.7	0	0	4	0.3	16	1.1	"3,626"	26	2	3
School-related arrests on females	455	30.1	DS	0.1	453	30	DS	0.1	DS	0.1	28	1.9	190	12.6	229	15.2	0	0	DS	0.1	4	0.3	"3,626"	26	2	3
School-related arrests total	"1,512"	100	10	0.7	"1,502"	99.3	10	0.7	9	0.6	86	5.7	566	37.7	825	54.9	0	0	6	0.4	20	1.3	"3,626"	26	2	3
