Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"3,515",61.3,39,0.7,45,0.8,271,4.7,432,7.5,"2,577",45,4,0.1,147,2.6,540,9.4,7,0.1,161,2.8,"1,711",26,2,3
Kindergarten females,"2,218",38.7,17,0.3,33,0.6,195,3.4,254,4.4,"1,638",28.6,0,0,81,1.4,211,3.7,DS,0,113,2,"1,711",26,2,3
Kindergarten total,"5,733",100,56,1,78,1.4,466,8.1,686,12,"4,215",73.5,4,0.1,228,4,751,13.1,9,0.2,274,4.8,"1,711",26,2,3
1st grade males,"1,572",56.7,16,0.6,25,0.9,166,6,559,20.2,753,27.2,0,0,53,1.9,232,8.4,DS,0.1,122,4.4,"1,721",26,2,3
1st grade females,"1,201",43.3,17,0.6,25,0.9,121,4.4,391,14.1,614,22.1,0,0,33,1.2,122,4.4,DS,0.1,91,3.3,"1,721",26,2,3
1st grade total,"2,773",100,33,1.2,50,1.8,287,10.3,950,34.3,"1,367",49.3,0,0,86,3.1,354,12.8,4,0.1,213,7.7,"1,721",26,2,3
2nd grade males,787,58.2,7,0.5,21,1.6,78,5.8,346,25.6,321,23.7,0,0,14,1,109,8.1,0,0,80,5.9,"1,723",26,2,3
2nd grade females,566,41.8,DS,0.1,6,0.4,62,4.6,209,15.4,266,19.7,DS,0.1,19,1.4,60,4.4,0,0,40,3,"1,723",26,2,3
2nd grade total,"1,353",100,9,0.7,27,2,140,10.3,555,41,587,43.4,DS,0.1,33,2.4,169,12.5,0,0,120,8.9,"1,723",26,2,3
3rd grade males,429,53.8,DS,0.3,4,0.5,39,4.9,205,25.7,170,21.3,0,0,9,1.1,81,10.2,DS,0.3,30,3.8,"1,724",26,2,3
3rd grade females,368,46.2,DS,0.3,8,1,30,3.8,157,19.7,150,18.8,0,0,21,2.6,45,5.6,DS,0.3,30,3.8,"1,724",26,2,3
3rd grade total,797,100,4,0.5,12,1.5,69,8.7,362,45.4,320,40.2,0,0,30,3.8,126,15.8,4,0.5,60,7.5,"1,724",26,2,3
4th grade males,369,60.2,DS,0.3,6,1,19,3.1,197,32.1,137,22.3,DS,0.3,6,1,71,11.6,DS,0.3,20,3.3,"1,716",26,2,3
4th grade females,244,39.8,DS,0.3,9,1.5,13,2.1,115,18.8,98,16,0,0,7,1.1,32,5.2,0,0,18,2.9,"1,716",26,2,3
4th grade total,613,100,4,0.7,15,2.4,32,5.2,312,50.9,235,38.3,DS,0.3,13,2.1,103,16.8,DS,0.3,38,6.2,"1,716",26,2,3
5th grade males,343,58.5,5,0.9,DS,0.3,27,4.6,160,27.3,138,23.5,DS,0.3,9,1.5,66,11.3,0,0,24,4.1,"1,647",26,2,3
5th grade females,243,41.5,0,0,6,1,19,3.2,111,18.9,99,16.9,DS,0.3,6,1,36,6.1,DS,0.3,14,2.4,"1,647",26,2,3
5th grade total,586,100,5,0.9,8,1.4,46,7.8,271,46.2,237,40.4,4,0.7,15,2.6,102,17.4,DS,0.3,38,6.5,"1,647",26,2,3
6th grade males,494,66.3,5,0.7,8,1.1,33,4.4,215,28.9,224,30.1,DS,0.3,7,0.9,83,11.1,DS,0.3,15,2,"1,160",26,2,3
6th grade females,251,33.7,DS,0.3,DS,0.3,13,1.7,109,14.6,118,15.8,0,0,7,0.9,34,4.6,0,0,7,0.9,"1,160",26,2,3
6th grade total,745,100,7,0.9,10,1.3,46,6.2,324,43.5,342,45.9,DS,0.3,14,1.9,117,15.7,DS,0.3,22,3,"1,160",26,2,3
7th grade males,750,66.1,8,0.7,DS,0.2,35,3.1,349,30.7,346,30.5,0,0,10,0.9,105,9.3,DS,0.2,18,1.6,"1,058",26,2,3
7th grade females,385,33.9,10,0.9,DS,0.2,12,1.1,185,16.3,165,14.5,0,0,11,1,31,2.7,DS,0.2,7,0.6,"1,058",26,2,3
7th grade total,"1,135",100,18,1.6,4,0.4,47,4.1,534,47,511,45,0,0,21,1.9,136,12,4,0.4,25,2.2,"1,058",26,2,3
8th grade males,654,61.4,15,1.4,5,0.5,39,3.7,233,21.9,350,32.9,0,0,12,1.1,142,13.3,DS,0.2,15,1.4,"1,059",26,2,3
