Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians 	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African Americans	Percent of Black or African Americans	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"20,333"	45.6	120	0.3	"1,566"	3.5	668	1.5	959	2.2	"16,882"	37.9	4	0	134	0.3	367	0.8	227	0.5	223	27	2	4
At least one AP course females	"24,223"	54.4	166	0.4	"1,896"	4.3	697	1.6	"1,325"	3	"19,952"	44.8	7	0	180	0.4	159	0.4	212	0.5	223	27	2	4
At least one AP course total	"44,556"	100	286	0.6	"3,462"	7.8	"1,365"	3.1	"2,284"	5.1	"36,834"	82.7	11	0	314	0.7	526	1.2	439	1	223	27	2	4
AP mathematics males	"5,946"	51.2	25	0.2	493	4.2	130	1.1	118	1	"5,154"	44.4	4	0	22	0.2	58	0.5	19	0.2	223	27	2	4
AP mathematics females	"5,656"	48.8	25	0.2	454	3.9	95	0.8	130	1.1	"4,917"	42.4	DS	0	33	0.3	14	0.1	18	0.2	223	27	2	4
AP mathematics total	"11,602"	100	50	0.4	947	8.2	225	1.9	248	2.1	"10,071"	86.8	6	0.1	55	0.5	72	0.6	37	0.3	223	27	2	4
AP science males	"3,990"	49.5	13	0.2	387	4.8	106	1.3	123	1.5	"3,334"	41.4	0	0	27	0.3	54	0.7	27	0.3	223	27	2	4
AP science females	"4,063"	50.5	16	0.2	389	4.8	77	1	196	2.4	"3,352"	41.6	DS	0	31	0.4	19	0.2	32	0.4	223	27	2	4
AP science total	"8,053"	100	29	0.4	776	9.6	183	2.3	319	4	"6,686"	83	DS	0	58	0.7	73	0.9	59	0.7	223	27	2	4
AP foreign language males	505	39	0	0	70	5.4	41	3.2	14	1.1	376	29	0	0	4	0.3	4	0.3	6	0.5	223	27	2	4
AP foreign language females	790	61	5	0.4	60	4.6	37	2.9	25	1.9	657	50.7	0	0	6	0.5	4	0.3	DS	0.2	223	27	2	4
AP foreign language total	"1,295"	100	5	0.4	130	10	78	6	39	3	"1,033"	79.8	0	0	10	0.8	8	0.6	8	0.6	223	27	2	4
Other AP subjects males	"13,491"	44.5	86	0.3	"1,032"	3.4	458	1.5	673	2.2	"11,147"	36.8	DS	0	93	0.3	259	0.9	133	0.4	223	27	2	4
Other AP subjects females	"16,792"	55.5	130	0.4	"1,360"	4.5	497	1.6	946	3.1	"13,729"	45.3	DS	0	128	0.4	118	0.4	128	0.4	223	27	2	4
Other AP subjects total	"30,283"	100	216	0.7	"2,392"	7.9	955	3.2	"1,619"	5.3	"24,876"	82.1	4	0	221	0.7	377	1.2	261	0.9	223	27	2	4
