Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African Americans,Percent of Black or African Americans,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,576,64.6,27,3,21,2.4,50,5.6,142,15.9,315,35.3,DS,0.2,19,2.1,106,11.9,DS,0.2,44,4.9,936,27,2,4
Kindergarten females,316,35.4,18,2,9,1,34,3.8,76,8.5,165,18.5,DS,0.2,12,1.3,55,6.2,0,0,39,4.4,936,27,2,4
Kindergarten total,892,100,45,5,30,3.4,84,9.4,218,24.4,480,53.8,4,0.4,31,3.5,161,18,DS,0.2,83,9.3,936,27,2,4
1st grade males,168,52.3,7,2.2,5,1.6,19,5.9,52,16.2,78,24.3,DS,0.6,5,1.6,30,9.3,0,0,20,6.2,961,27,2,4
1st grade females,153,47.7,6,1.9,4,1.2,16,5,63,19.6,58,18.1,0,0,6,1.9,17,5.3,0,0,16,5,961,27,2,4
1st grade total,321,100,13,4,9,2.8,35,10.9,115,35.8,136,42.4,DS,0.6,11,3.4,47,14.6,0,0,36,11.2,961,27,2,4
2nd grade males,120,54.5,DS,0.9,5,2.3,8,3.6,57,25.9,46,20.9,0,0,DS,0.9,29,13.2,0,0,21,9.5,964,27,2,4
2nd grade females,100,45.5,DS,0.9,DS,0.9,10,4.5,59,26.8,23,10.5,0,0,4,1.8,11,5,0,0,15,6.8,964,27,2,4
2nd grade total,220,100,4,1.8,7,3.2,18,8.2,116,52.7,69,31.4,0,0,6,2.7,40,18.2,0,0,36,16.4,964,27,2,4
3rd grade males,107,51.7,DS,1,4,1.9,7,3.4,56,27.1,32,15.5,0,0,6,2.9,14,6.8,0,0,23,11.1,962,27,2,4
3rd grade females,100,48.3,DS,1,DS,1,8,3.9,53,25.6,31,15,0,0,4,1.9,11,5.3,DS,1,21,10.1,962,27,2,4
3rd grade males,207,100,4,1.9,6,2.9,15,7.2,109,52.7,63,30.4,0,0,10,4.8,25,12.1,DS,1,44,21.3,962,27,2,4
4th grade males,73,49,0,0,DS,1.3,4,2.7,42,28.2,20,13.4,0,0,5,3.4,12,8.1,0,0,16,10.7,961,27,2,4
4th grade females,76,51,0,0,DS,1.3,4,2.7,48,32.2,18,12.1,0,0,4,2.7,6,4,0,0,15,10.1,961,27,2,4
4th grade total,149,100,0,0,4,2.7,8,5.4,90,60.4,38,25.5,0,0,9,6,18,12.1,0,0,31,20.8,961,27,2,4
5th grade males,66,42,0,0,0,0,5,3.2,28,17.8,24,15.3,DS,1.3,7,4.5,10,6.4,0,0,16,10.2,953,27,2,4
5th grade females,91,58,DS,1.3,DS,1.3,DS,1.3,67,42.7,16,10.2,0,0,DS,1.3,11,7,DS,1.3,16,10.2,953,27,2,4
5th grade total,157,100,DS,1.3,DS,1.3,7,4.5,95,60.5,40,25.5,DS,1.3,9,5.7,21,13.4,DS,1.3,32,20.4,953,27,2,4
6th grade males,50,43.5,DS,1.7,DS,1.7,4,3.5,17,14.8,23,20,0,0,DS,1.7,18,15.7,0,0,11,9.6,783,27,2,4
6th grade females,65,56.5,DS,1.7,0,0,DS,1.7,53,46.1,6,5.2,0,0,DS,1.7,7,6.1,0,0,9,7.8,783,27,2,4
6th grade total,115,100,4,3.5,DS,1.7,6,5.2,70,60.9,29,25.2,0,0,4,3.5,25,21.7,0,0,20,17.4,783,27,2,4
7th grade males,117,57.9,8,4,DS,1,4,2,15,7.4,82,40.6,0,0,6,3,31,15.3,0,0,10,5,707,27,2,4
7th grade females,85,42.1,11,5.4,DS,1,9,4.5,13,6.4,44,21.8,DS,1,4,2,18,8.9,0,0,8,4,707,27,2,4
7th grade total,202,100,19,9.4,4,2,13,6.4,28,13.9,126,62.4,DS,1,10,5,49,24.3,0,0,18,8.9,707,27,2,4
8th grade males,136,57.9,DS,0.9,DS,0.9,7,3,20,8.5,99,42.1,DS,0.9,4,1.7,39,16.6,DS,0.9,DS,0.9,714,27,2,4
8th grade females,99,42.1,7,3,DS,0.9,22,9.4,8,3.4,58,24.7,0,0,DS,0.9,18,7.7,0,0,5,2.1,714,27,2,4
8th grade total,235,100,9,3.8,4,1.7,29,12.3,28,11.9,157,66.8,DS,0.9,6,2.6,57,24.3,DS,0.9,7,3,714,27,2,4
9th grade males,527,55.6,20,2.1,18,1.9,86,9.1,45,4.8,356,37.6,0,0,DS,0.2,99,10.5,5,0.5,31,3.3,741,27,2,4
9th grade females,420,44.4,9,1,7,0.7,61,6.4,34,3.6,304,32.1,0,0,5,0.5,42,4.4,4,0.4,21,2.2,741,27,2,4
9th grade total,947,100,29,3.1,25,2.6,147,15.5,79,8.3,660,69.7,0,0,7,0.7,141,14.9,9,1,52,5.5,741,27,2,4
10th grade males,596,57,17,1.6,16,1.5,81,7.7,61,5.8,411,39.3,DS,0.2,8,0.8,121,11.6,6,0.6,35,3.3,760,27,2,4
10th grade females,450,43,18,1.7,12,1.1,54,5.2,31,3,329,31.5,0,0,6,0.6,66,6.3,7,0.7,20,1.9,760,27,2,4
10th grade total,"1,046",100,35,3.3,28,2.7,135,12.9,92,8.8,740,70.7,DS,0.2,14,1.3,187,17.9,13,1.2,55,5.3,760,27,2,4
11th grade males,508,54.4,16,1.7,13,1.4,52,5.6,41,4.4,379,40.6,0,0,7,0.7,103,11,13,1.4,16,1.7,764,27,2,4
11th grade females,426,45.6,12,1.3,14,1.5,37,4,42,4.5,313,33.5,0,0,8,0.9,54,5.8,DS,0.2,10,1.1,764,27,2,4
11th grade total,934,100,28,3,27,2.9,89,9.5,83,8.9,692,74.1,0,0,15,1.6,157,16.8,15,1.6,26,2.8,764,27,2,4
12th grade males,"2,250",59.3,61,1.6,228,6,231,6.1,371,9.8,"1,318",34.7,DS,0.1,39,1,836,22,25,0.7,227,6,778,27,2,4
12th grade females,"1,545",40.7,48,1.3,152,4,150,4,280,7.4,888,23.4,0,0,27,0.7,413,10.9,20,0.5,188,5,778,27,2,4
12th grade total,"3,795",100,109,2.9,380,10,381,10,651,17.2,"2,206",58.1,DS,0.1,66,1.7,"1,249",32.9,45,1.2,415,10.9,778,27,2,4
