Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on non-IDEA males	"3,183"	75.1	19	0.4	6	0.1	61	1.4	577	13.6	"2,483"	58.5	5	0.1	32	0.8	14	0.3	"2,312"	29	2	4
Corporal punishment on non-IDEA females	"1,058"	24.9	4	0.1	DS	0	11	0.3	247	5.8	784	18.5	0	0	10	0.2	DS	0	"2,312"	29	2	4
Corporal punishment total	"4,241"	100	23	0.5	8	0.2	72	1.7	824	19.4	"3,267"	77	5	0.1	42	1	16	0.4	"2,312"	29	2	4
One or more in-school suspensions on non-IDEA males	"52,882"	66	232	0.3	363	0.5	"2,266"	2.8	"13,777"	17.2	"35,247"	44	98	0.1	899	1.1	795	1	"2,312"	29	2	4
One or more in-school suspensions on non-IDEA females	"27,295"	34	145	0.2	160	0.2	"1,085"	1.4	"9,787"	12.2	"15,556"	19.4	51	0.1	511	0.6	338	0.4	"2,312"	29	2	4
One or more in-school suspensions total	"80,177"	100	377	0.5	523	0.7	"3,351"	4.2	"23,564"	29.4	"50,803"	63.4	149	0.2	"1,410"	1.8	"1,133"	1.4	"2,312"	29	2	4
Only one out-of-school suspension on non-IDEA males	"19,478"	66.4	94	0.3	151	0.5	919	3.1	"7,553"	25.7	"10,412"	35.5	33	0.1	316	1.1	483	1.6	"2,312"	29	2	4
Only one out-of-school suspension on non-IDEA females	"9,877"	33.6	44	0.1	59	0.2	405	1.4	"5,157"	17.6	"4,035"	13.7	9	0	168	0.6	195	0.7	"2,312"	29	2	4
Only one out-of-school suspension total	"29,355"	100	138	0.5	210	0.7	"1,324"	4.5	"12,710"	43.3	"14,447"	49.2	42	0.1	484	1.6	678	2.3	"2,312"	29	2	4
More than one out-of-school suspension on non-IDEA males	"15,393"	68	57	0.3	52	0.2	532	2.3	"8,023"	35.4	"6,508"	28.7	14	0.1	207	0.9	279	1.2	"2,312"	29	2	4
More than one out-of-school suspension on non-IDEA females	"7,258"	32	31	0.1	24	0.1	200	0.9	"4,866"	21.5	"2,007"	8.9	8	0	122	0.5	101	0.4	"2,312"	29	2	4
More than one out-of-school suspension total	"22,651"	100	88	0.4	76	0.3	732	3.2	"12,889"	56.9	"8,515"	37.6	22	0.1	329	1.5	380	1.7	"2,312"	29	2	4
One or more out-of-school suspensions on non-IDEA males	"34,866"	67.1	152	0.3	205	0.4	"1,454"	2.8	"15,566"	29.9	"16,921"	32.5	48	0.1	520	1	764	1.5	"2,312"	29	2	4
One or more out-of-school suspensions on non-IDEA females	"17,124"	32.9	74	0.1	83	0.2	610	1.2	"10,008"	19.2	"6,041"	11.6	17	0	291	0.6	298	0.6	"2,312"	29	2	4
One or more out-of-school suspensions total	"51,990"	100	226	0.4	288	0.6	"2,064"	4	"25,574"	49.2	"22,962"	44.2	65	0.1	811	1.6	"1,062"	2	"2,312"	29	2	4
Expulsions with educational services on non-IDEA males	361	70.4	8	1.6	DS	0.4	14	2.7	96	18.7	228	44.4	0	0	13	2.5	0	0	"2,312"	29	2	4
Expulsions with educational services on non-IDEA females	152	29.6	DS	0.4	DS	0.4	11	2.1	43	8.4	88	17.2	0	0	6	1.2	DS	0.4	"2,312"	29	2	4
Expulsions with educational services total	513	100	10	1.9	4	0.8	25	4.9	139	27.1	316	61.6	0	0	19	3.7	DS	0.4	"2,312"	29	2	4
Expulsions without educational services on non-IDEA males	540	75.1	DS	0.3	DS	0.3	15	2.1	51	7.1	468	65.1	0	0	DS	0.3	0	0	"2,312"	29	2	4
Expulsions without educational services on non-IDEA females	179	24.9	DS	0.3	0	0	7	1	28	3.9	140	19.5	0	0	DS	0.3	0	0	"2,312"	29	2	4
Expulsions without educational services total	719	100	4	0.6	DS	0.3	22	3.1	79	11	608	84.6	0	0	4	0.6	0	0	"2,312"	29	2	4
Expulsions with or without educational services on non-IDEA males	904	73.1	11	0.9	DS	0.2	29	2.3	149	12.1	698	56.5	0	0	15	1.2	0	0	"2,312"	29	2	4
Expulsions with or without educational services on non-IDEA females	332	26.9	6	0.5	DS	0.2	18	1.5	71	5.7	227	18.4	0	0	8	0.6	DS	0.2	"2,312"	29	2	4
Expulsions with or without educational services total	"1,236"	100	17	1.4	4	0.3	47	3.8	220	17.8	925	74.8	0	0	23	1.9	DS	0.2	"2,312"	29	2	4
Expulsions under zero-tolerance policies on non-IDEA males	310	74	DS	0.5	DS	0.5	6	1.4	13	3.1	275	65.6	0	0	12	2.9	0	0	"2,312"	29	2	4
Expulsions under zero-tolerance policies on non-IDEA females	109	26	0	0	DS	0.5	8	1.9	DS	0.5	91	21.7	0	0	6	1.4	0	0	"2,312"	29	2	4
Expulsions under zero-tolerance policies total	419	100	DS	0.5	4	1	14	3.3	15	3.6	366	87.4	0	0	18	4.3	0	0	"2,312"	29	2	4
Referral to law enforcement on non-IDEA males	"2,681"	69.3	7	0.2	10	0.3	83	2.1	580	15	"1,960"	50.6	DS	0.1	39	1	15	0.4	"2,312"	29	2	4
Referral to law enforcement on non-IDEA females	"1,190"	30.7	8	0.2	DS	0.1	24	0.6	332	8.6	804	20.8	DS	0.1	18	0.5	DS	0.1	"2,312"	29	2	4
Referral to law enforcement total	"3,871"	100	15	0.4	12	0.3	107	2.8	912	23.6	"2,764"	71.4	4	0.1	57	1.5	17	0.4	"2,312"	29	2	4
School-related arrests on non-IDEA males	705	70	DS	0.2	5	0.5	18	1.8	236	23.4	432	42.9	0	0	12	1.2	4	0.4	"2,312"	29	2	4
School-related arrests on non-IDEA females	302	30	0	0	DS	0.2	DS	0.2	143	14.2	151	15	DS	0.2	DS	0.2	DS	0.2	"2,312"	29	2	4
School-related arrests total	"1,007"	100	DS	0.2	7	0.7	20	2	379	37.6	583	57.9	DS	0.2	14	1.4	6	0.6	"2,312"	29	2	4
