Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African Americans	Percent of Black or African Americans	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"12,404"	43.2	42	0.1	654	2.3	424	1.5	"1,180"	4.1	"9,980"	34.8	13	0	111	0.4	225	0.8	75	0.3	210	29	2	4
At least one AP course females	"16,276"	56.8	67	0.2	739	2.6	539	1.9	"1,890"	6.6	"12,840"	44.8	25	0.1	176	0.6	101	0.4	83	0.3	210	29	2	4
At least one AP course total	"28,680"	100	109	0.4	"1,393"	4.9	963	3.4	"3,070"	10.7	"22,820"	79.6	38	0.1	287	1	326	1.1	158	0.6	210	29	2	4
AP mathematics males	"2,626"	51.3	6	0.1	206	4	66	1.3	197	3.9	"2,124"	41.5	DS	0	25	0.5	33	0.6	18	0.4	210	29	2	4
AP mathematics females	"2,489"	48.7	11	0.2	197	3.9	38	0.7	278	5.4	"1,938"	37.9	DS	0	25	0.5	6	0.1	20	0.4	210	29	2	4
AP mathematics total	"5,115"	100	17	0.3	403	7.9	104	2	475	9.3	"4,062"	79.4	4	0.1	50	1	39	0.8	38	0.7	210	29	2	4
AP science males	"2,832"	47.3	8	0.1	245	4.1	102	1.7	272	4.5	"2,182"	36.4	DS	0	21	0.4	38	0.6	17	0.3	210	29	2	4
AP science females	"3,155"	52.7	8	0.1	243	4.1	101	1.7	382	6.4	"2,390"	39.9	5	0.1	26	0.4	15	0.3	18	0.3	210	29	2	4
AP science total	"5,987"	100	16	0.3	488	8.2	203	3.4	654	10.9	"4,572"	76.4	7	0.1	47	0.8	53	0.9	35	0.6	210	29	2	4
AP foreign language males	308	39.7	DS	0.3	19	2.4	11	1.4	25	3.2	247	31.8	0	0	4	0.5	DS	0.3	DS	0.3	210	29	2	4
AP foreign language females	468	60.3	0	0	27	3.5	32	4.1	31	4	374	48.2	0	0	4	0.5	0	0	DS	0.3	210	29	2	4
AP foreign language total	776	100	DS	0.3	46	5.9	43	5.5	56	7.2	621	80	0	0	8	1	DS	0.3	4	0.5	210	29	2	4
Other AP subjects males	"8,388"	41.6	26	0.1	459	2.3	244	1.2	827	4.1	"6,742"	33.5	6	0	84	0.4	159	0.8	31	0.2	210	29	2	4
Other AP subjects females	"11,757"	58.4	48	0.2	544	2.7	359	1.8	"1,371"	6.8	"9,285"	46.1	15	0.1	135	0.7	80	0.4	42	0.2	210	29	2	4
Other AP subjects total	"20,145"	100	74	0.4	"1,003"	5	603	3	"2,198"	10.9	"16,027"	79.6	21	0.1	219	1.1	239	1.2	73	0.4	210	29	2	4
