Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,057",64.1,DS,0.1,13,0.8,59,3.6,180,10.9,771,46.7,4,0.2,28,1.7,267,16.2,DS,0.1,38,2.3,"1,155",29,2,4
Kindergarten females,593,35.9,4,0.2,4,0.2,40,2.4,94,5.7,435,26.4,DS,0.1,14,0.8,126,7.6,0,0,30,1.8,"1,155",29,2,4
Kindergarten total,"1,650",100,6,0.4,17,1,99,6,274,16.6,"1,206",73.1,6,0.4,42,2.5,393,23.8,DS,0.1,68,4.1,"1,155",29,2,4
1st grade males,595,57.8,4,0.4,DS,0.2,43,4.2,131,12.7,395,38.4,DS,0.2,18,1.7,100,9.7,5,0.5,22,2.1,"1,161",29,2,4
1st grade females,434,42.2,DS,0.2,5,0.5,39,3.8,84,8.2,290,28.2,DS,0.2,12,1.2,72,7,DS,0.2,24,2.3,"1,161",29,2,4
1st grade total,"1,029",100,6,0.6,7,0.7,82,8,215,20.9,685,66.6,4,0.4,30,2.9,172,16.7,7,0.7,46,4.5,"1,161",29,2,4
2nd grade males,262,56.8,5,1.1,DS,0.4,11,2.4,89,19.3,146,31.7,DS,0.4,7,1.5,52,11.3,4,0.9,11,2.4,"1,167",29,2,4
2nd grade females,199,43.2,DS,0.4,0,0,10,2.2,71,15.4,108,23.4,0,0,8,1.7,23,5,0,0,4,0.9,"1,167",29,2,4
2nd grade total,461,100,7,1.5,DS,0.4,21,4.6,160,34.7,254,55.1,DS,0.4,15,3.3,75,16.3,4,0.9,15,3.3,"1,167",29,2,4
3rd grade males,115,50.4,DS,0.9,0,0,10,4.4,50,21.9,49,21.5,DS,0.9,DS,0.9,22,9.6,DS,0.9,5,2.2,"1,165",29,2,4
3rd grade females,113,49.6,DS,0.9,DS,0.9,10,4.4,31,13.6,64,28.1,DS,0.9,DS,0.9,18,7.9,0,0,DS,0.9,"1,165",29,2,4
3rd grade total,228,100,4,1.8,DS,0.9,20,8.8,81,35.5,113,49.6,4,1.8,4,1.8,40,17.5,DS,0.9,7,3.1,"1,165",29,2,4
4th grade males,101,58.7,0,0,0,0,4,2.3,32,18.6,61,35.5,DS,1.2,DS,1.2,9,5.2,DS,1.2,6,3.5,"1,162",29,2,4
4th grade females,71,41.3,0,0,0,0,8,4.7,23,13.4,38,22.1,0,0,DS,1.2,9,5.2,DS,1.2,DS,1.2,"1,162",29,2,4
4th grade total,172,100,0,0,0,0,12,7,55,32,99,57.6,DS,1.2,4,2.3,18,10.5,4,2.3,8,4.7,"1,162",29,2,4
5th grade males,62,60.8,DS,2,DS,2,5,4.9,15,14.7,36,35.3,DS,2,0,0,12,11.8,0,0,DS,2,"1,108",29,2,4
