Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	"23,592"	75.5	4	0	"23,588"	75.5	43	0.1	30	0.1	324	1	"14,441"	46.2	"8,744"	28	DS	0	4	0	82	0.3	973	28	3	6
Corporal punishment on females	"7,644"	24.5	DS	0	"7,642"	24.5	19	0.1	4	0	77	0.2	"5,442"	17.4	"2,096"	6.7	DS	0	DS	0	11	0	973	28	3	6
Corporal punishment total	"31,236"	100	6	0	"31,230"	100	62	0.2	34	0.1	401	1.3	"19,883"	63.7	"10,840"	34.7	4	0	6	0	93	0.3	973	28	3	6
One or more in-school suspensions on males	"43,001"	63.6	11	0	"42,990"	63.5	77	0.1	174	0.3	652	1	"26,439"	39.1	"15,631"	23.1	8	0	9	0	196	0.3	973	28	3	6
One or more in-school suspensions on females	"24,658"	36.4	7	0	"24,651"	36.4	57	0.1	54	0.1	303	0.4	"17,176"	25.4	"7,059"	10.4	0	0	DS	0	53	0.1	973	28	3	6
One or more in-school suspensions total	"67,659"	100	18	0	"67,641"	100	134	0.2	228	0.3	955	1.4	"43,615"	64.5	"22,690"	33.5	8	0	11	0	249	0.4	973	28	3	6
Only one out-of-school suspension on males	"18,922"	65.5	8	0	"18,914"	65.5	16	0.1	60	0.2	252	0.9	"12,885"	44.6	"5,692"	19.7	4	0	5	0	80	0.3	973	28	3	6
Only one out-of-school suspension on females	"9,955"	34.5	DS	0	"9,953"	34.5	8	0	16	0.1	87	0.3	"7,759"	26.9	"2,081"	7.2	0	0	DS	0	21	0.1	973	28	3	6
Only one out-of-school suspension total	"28,877"	100	10	0	"28,867"	100	24	0.1	76	0.3	339	1.2	"20,644"	71.5	"7,773"	26.9	4	0	7	0	101	0.3	973	28	3	6
More than one out-of-school suspension on males	"15,287"	69.1	DS	0	"15,285"	69.1	17	0.1	38	0.2	151	0.7	"11,553"	52.2	"3,515"	15.9	7	0	4	0	42	0.2	973	28	3	6
