Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"5,411"	41.2	9	0.1	201	1.5	136	1	"1,659"	12.6	"3,402"	25.9	DS	0	DS	0	30	0.2	11	0.1	173	28	3	6
At least one AP course females	"7,736"	58.8	7	0.1	204	1.6	173	1.3	"2,768"	21.1	"4,582"	34.9	DS	0	0	0	15	0.1	16	0.1	173	28	3	6
At least one AP course total	"13,147"	100	16	0.1	405	3.1	309	2.4	"4,427"	33.7	"7,984"	60.7	4	0	DS	0	45	0.3	27	0.2	173	28	3	6
AP mathematics males	695	47.6	DS	0.1	35	2.4	20	1.4	214	14.7	422	28.9	DS	0.1	0	0	DS	0.1	0	0	173	28	3	6
AP mathematics females	764	52.4	DS	0.1	36	2.5	20	1.4	302	20.7	404	27.7	0	0	0	0	DS	0.1	DS	0.1	173	28	3	6
AP mathematics total	"1,459"	100	4	0.3	71	4.9	40	2.7	516	35.4	826	56.6	DS	0.1	0	0	4	0.3	DS	0.1	173	28	3	6
AP science males	"1,013"	44.6	4	0.2	58	2.6	19	0.8	334	14.7	598	26.4	0	0	0	0	DS	0.1	0	0	173	28	3	6
AP science females	"1,256"	55.4	DS	0.1	56	2.5	20	0.9	444	19.6	734	32.3	0	0	0	0	DS	0.1	DS	0.1	173	28	3	6
AP science total	"2,269"	100	6	0.3	114	5	39	1.7	778	34.3	"1,332"	58.7	0	0	0	0	4	0.2	DS	0.1	173	28	3	6
AP foreign language males	42	37.2	0	0	5	4.4	0	0	13	11.5	24	21.2	0	0	0	0	0	0	DS	1.8	173	28	3	6
AP foreign language females	71	62.8	0	0	6	5.3	4	3.5	25	22.1	36	31.9	0	0	0	0	0	0	DS	1.8	173	28	3	6
AP foreign language total	113	100	0	0	11	9.7	4	3.5	38	33.6	60	53.1	0	0	0	0	0	0	4	3.5	173	28	3	6
Other AP subjects males	"3,995"	40.6	6	0.1	144	1.5	97	1	"1,211"	12.3	"2,535"	25.8	0	0	DS	0	16	0.2	5	0.1	173	28	3	6
Other AP subjects females	"5,840"	59.4	4	0	160	1.6	128	1.3	"2,005"	20.4	"3,541"	36	DS	0	0	0	10	0.1	7	0.1	173	28	3	6
Other AP subjects total	"9,835"	100	10	0.1	304	3.1	225	2.3	"3,216"	32.7	"6,076"	61.8	DS	0	DS	0	26	0.3	12	0.1	173	28	3	6
