Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African Americans,Percent of Black or African Americans,Number of Whites ,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,866",61,DS,0.1,11,0.4,77,2.5,920,30.1,852,27.8,DS,0.1,DS,0.1,343,11.2,0,0,46,1.5,433,28,3,6
Kindergarten females,"1,195",39,DS,0.1,DS,0.1,63,2.1,627,20.5,501,16.4,0,0,0,0,139,4.5,0,0,32,1,433,28,3,6
Kindergarten total,"3,061",100,4,0.1,13,0.4,140,4.6,"1,547",50.5,"1,353",44.2,DS,0.1,DS,0.1,482,15.7,0,0,78,2.5,433,28,3,6
1st grade males,"1,561",61.1,DS,0.1,9,0.4,38,1.5,882,34.5,624,24.4,DS,0.1,4,0.2,182,7.1,DS,0.1,25,1,436,28,3,6
1st grade females,995,38.9,0,0,DS,0.1,29,1.1,555,21.7,409,16,0,0,0,0,105,4.1,DS,0.1,19,0.7,436,28,3,6
1st grade total,"2,556",100,DS,0.1,11,0.4,67,2.6,"1,437",56.2,"1,033",40.4,DS,0.1,4,0.2,287,11.2,4,0.2,44,1.7,436,28,3,6
2nd grade males,975,60.6,0,0,DS,0.1,17,1.1,677,42.1,277,17.2,0,0,DS,0.1,84,5.2,DS,0.1,5,0.3,435,28,3,6
2nd grade females,634,39.4,DS,0.1,DS,0.1,10,0.6,419,26,199,12.4,0,0,DS,0.1,19,1.2,DS,0.1,DS,0.1,435,28,3,6
2nd grade total,"1,609",100,DS,0.1,4,0.2,27,1.7,"1,096",68.1,476,29.6,0,0,4,0.2,103,6.4,4,0.2,7,0.4,435,28,3,6
3rd grade males,705,61.9,DS,0.2,DS,0.2,14,1.2,488,42.8,195,17.1,DS,0.2,DS,0.2,42,3.7,0,0,7,0.6,436,28,3,6
3rd grade females,434,38.1,DS,0.2,0,0,12,1.1,285,25,135,11.9,0,0,0,0,20,1.8,0,0,5,0.4,436,28,3,6
3rd grade total,"1,139",100,4,0.4,DS,0.2,26,2.3,773,67.9,330,29,DS,0.2,DS,0.2,62,5.4,0,0,12,1.1,436,28,3,6
