Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percento of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	134	72.4	0	0	134	72.4	95	51.4	0	0	0	0	0	0	39	21.1	0	0	0	0	22	11.9	781	30	4	8
Corporal punishment on females	51	27.6	0	0	51	27.6	41	22.2	0	0	0	0	0	0	10	5.4	0	0	0	0	22	11.9	781	30	4	8
Corporal punishment total	185	100	0	0	185	100	136	73.5	0	0	0	0	0	0	49	26.5	0	0	0	0	44	23.8	781	30	4	8
One or more in-school suspensions on males	"6,220"	71.7	24	0.3	"6,196"	71.4	"1,543"	17.8	19	0.2	209	2.4	104	1.2	"4,238"	49	9	0.1	74	0.9	221	2.5	781	30	4	8
One or more in-school suspensions on females	"2,458"	28.3	7	0.1	"2,451"	28.2	859	9.9	11	0.1	92	1.1	32	0.4	"1,430"	16.5	DS	0	25	0.3	132	1.5	781	30	4	8
One or more in-school suspensions total	"8,678"	100	31	0.4	"8,647"	99.6	"2,402"	27.8	30	0.3	301	3.5	136	1.6	"5,668"	65.5	11	0.1	99	1.1	353	4.1	781	30	4	8
Only one out-of-school suspension on males	"2,724"	72.8	10	0.3	"2,714"	72.5	704	18.9	9	0.2	90	2.4	45	1.2	"1,833"	49.1	7	0.2	26	0.7	95	2.5	781	30	4	8
Only one out-of-school suspension on females	"1,020"	27.2	4	0.1	"1,016"	27.1	368	9.9	DS	0.1	31	0.8	14	0.4	589	15.8	DS	0.1	10	0.3	43	1.1	781	30	4	8
Only one out-of-school suspension total	"3,744"	100	14	0.4	"3,730"	99.6	"1,072"	28.7	11	0.3	121	3.2	59	1.6	"2,422"	64.9	9	0.2	36	1	138	3.7	781	30	4	8
More than one out-of-school suspension on males	"1,860"	76	DS	0.1	"1,858"	76	666	27.3	7	0.3	71	2.9	20	0.8	"1,070"	43.8	4	0.2	20	0.8	91	3.7	781	30	4	8
More than one out-of-school suspension on females	586	24	DS	0.1	584	23.9	273	11.2	0	0	14	0.6	DS	0.1	281	11.5	DS	0.1	12	0.5	36	1.5	781	30	4	8
More than one out-of-school suspension total	"2,446"	100	4	0.2	"2,442"	99.8	939	38.5	7	0.3	85	3.5	22	0.9	"1,351"	55.3	6	0.2	32	1.3	127	5.2	781	30	4	8
One or more out-of-school suspensions on males	"4,584"	74.1	12	0.2	"4,572"	73.9	"1,374"	22.3	16	0.3	163	2.6	64	1	"2,896"	46.9	11	0.2	48	0.8	187	3	781	30	4	8
One or more out-of-school suspensions on females	"1,603"	25.9	6	0.1	"1,597"	25.8	641	10.4	DS	0	44	0.7	17	0.3	871	14.1	DS	0	20	0.3	79	1.3	781	30	4	8
One or more out-of-school suspensions total	"6,187"	100	18	0.3	"6,169"	99.7	"2,015"	32.7	18	0.3	207	3.4	81	1.3	"3,767"	61.1	13	0.2	68	1.1	266	4.3	781	30	4	8
Expulsions with educational services on males	51	77.3	0	0	51	77.3	19	28.8	0	0	4	6.1	0	0	28	42.4	0	0	0	0	DS	3	781	30	4	8
Expulsions with educational services on females	15	22.7	0	0	15	22.7	8	12.1	0	0	0	0	0	0	7	10.6	0	0	0	0	DS	3	781	30	4	8
Expulsions with educational services total	66	100	0	0	66	100	27	40.9	0	0	4	6.1	0	0	35	53	0	0	0	0	4	6.1	781	30	4	8
Expulsions without educational services on males	65	68.4	0	0	65	68.4	37	38.9	0	0	0	0	DS	2.1	24	25.3	DS	2.1	0	0	4	4.2	781	30	4	8
Expulsions without educational services on females	30	31.6	0	0	30	31.6	14	14.7	0	0	0	0	0	0	14	14.7	0	0	DS	2.1	0	0	781	30	4	8
Expulsions without educational services total	95	100	0	0	95	100	51	53.7	0	0	0	0	DS	2.1	38	40	DS	2.1	DS	2.1	4	4.2	781	30	4	8
Expulsions with or without educational services on males	114	71.3	0	0	114	71.3	56	35	0	0	4	2.5	DS	1.3	50	31.3	DS	1.3	0	0	6	3.8	781	30	4	8
Expulsions with or without educational services on females	46	28.8	0	0	46	28.8	22	13.8	0	0	0	0	0	0	22	13.8	0	0	DS	1.3	DS	1.3	781	30	4	8
Expulsions with or without educational services total	160	100	0	0	160	100	78	48.8	0	0	4	2.5	DS	1.3	72	45	DS	1.3	DS	1.3	8	5	781	30	4	8
Expulsions under zero-tolerance policies on males	26	70.3	0	0	26	70.3	9	24.3	0	0	DS	5.4	0	0	15	40.5	0	0	0	0	0	0	781	30	4	8
Expulsions under zero-tolerance policies on females	11	29.7	0	0	11	29.7	4	10.8	0	0	0	0	0	0	7	18.9	0	0	0	0	DS	5.4	781	30	4	8
Expulsions under zero-tolerance policies total	37	100	0	0	37	100	13	35.1	0	0	DS	5.4	0	0	22	59.5	0	0	0	0	DS	5.4	781	30	4	8
Referral to law enforcement on males	947	72.9	DS	0.2	945	72.7	199	15.4	7	0.5	35	2.7	12	0.9	681	52.6	DS	0.2	9	0.7	15	1.2	781	30	4	8
Referral to law enforcement on females	352	27.1	DS	0.2	350	26.9	80	6.2	DS	0.2	11	0.8	DS	0.2	251	19.4	0	0	4	0.3	7	0.5	781	30	4	8
Referral to law enforcement total	"1,299"	100	4	0.3	"1,295"	99.7	279	21.5	9	0.7	46	3.6	14	1.1	932	72	DS	0.2	13	1	22	1.7	781	30	4	8
School-related arrests on males	236	71.7	0	0	236	71.7	54	16.4	4	1.2	9	2.7	8	2.4	157	47.7	0	0	4	1.2	DS	0.6	781	30	4	8
School-related arrests on females	93	28.3	0	0	93	28.3	25	7.6	0	0	DS	0.6	0	0	66	20.1	0	0	0	0	DS	0.6	781	30	4	8
School-related arrests total	329	100	0	0	329	100	79	24	4	1.2	11	3.3	8	2.4	223	67.8	0	0	4	1.2	4	1.2	781	30	4	8
