Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	112	71.3	78	49.7	0	0	0	0	0	0	34	21.7	0	0	0	0	20	12.7	781	30	4	8
Corporal punishment on females	45	28.7	37	23.6	0	0	0	0	0	0	8	5.1	0	0	0	0	20	12.7	781	30	4	8
Corporal punishment total	157	100	115	73.2	0	0	0	0	0	0	42	26.8	0	0	0	0	40	25.5	781	30	4	8
One or more in-school suspensions on males	"4,757"	69.9	"1,209"	17.8	17	0.2	161	2.4	78	1.1	"3,234"	47.5	7	0.1	51	0.7	166	2.4	781	30	4	8
One or more in-school suspensions on females	"2,048"	30.1	731	10.7	9	0.1	69	1	26	0.4	"1,188"	17.5	DS	0	23	0.3	110	1.6	781	30	4	8
One or more in-school suspensions total	"6,805"	100	"1,940"	28.5	26	0.4	230	3.4	104	1.5	"4,422"	65	9	0.1	74	1.1	276	4.1	781	30	4	8
Only one out-of-school suspension on males	"2,098"	71.2	563	19.1	5	0.2	64	2.2	33	1.1	"1,408"	47.8	5	0.2	20	0.7	76	2.6	781	30	4	8
Only one out-of-school suspension on females	848	28.8	328	11.1	DS	0.1	25	0.8	10	0.3	473	16.1	DS	0.1	8	0.3	37	1.3	781	30	4	8
Only one out-of-school suspension total	"2,946"	100	891	30.2	7	0.2	89	3	43	1.5	"1,881"	63.8	7	0.2	28	1	113	3.8	781	30	4	8
More than one out-of-school suspension on males	"1,317"	73.4	512	28.5	5	0.3	47	2.6	14	0.8	717	40	4	0.2	18	1	75	4.2	781	30	4	8
More than one out-of-school suspension on females	477	26.6	230	12.8	0	0	12	0.7	DS	0.1	221	12.3	DS	0.1	10	0.6	30	1.7	781	30	4	8
More than one out-of-school suspension total	"1,794"	100	742	41.4	5	0.3	59	3.3	16	0.9	938	52.3	6	0.3	28	1.6	105	5.9	781	30	4	8
One or more out-of-school suspensions on males	"3,416"	72	"1,078"	22.7	10	0.2	112	2.4	47	1	"2,121"	44.7	9	0.2	39	0.8	150	3.2	781	30	4	8
One or more out-of-school suspensions on females	"1,326"	28	558	11.8	DS	0	37	0.8	13	0.3	696	14.7	DS	0	18	0.4	67	1.4	781	30	4	8
One or more out-of-school suspensions total	"4,742"	100	"1,636"	34.5	12	0.3	149	3.1	60	1.3	"2,817"	59.4	11	0.2	57	1.2	217	4.6	781	30	4	8
Expulsions with educational services on males	42	79.2	17	32.1	0	0	DS	3.8	0	0	23	43.4	0	0	0	0	DS	3.8	781	30	4	8
Expulsions with educational services on females	11	20.8	4	7.5	0	0	0	0	0	0	7	13.2	0	0	0	0	DS	3.8	781	30	4	8
Expulsions with educational services total	53	100	21	39.6	0	0	DS	3.8	0	0	30	56.6	0	0	0	0	4	7.5	781	30	4	8
Expulsions without educational services on males	61	67	35	38.5	0	0	0	0	DS	2.2	22	24.2	DS	2.2	0	0	DS	2.2	781	30	4	8
Expulsions without educational services on females	30	33	14	15.4	0	0	0	0	0	0	14	15.4	0	0	DS	2.2	0	0	781	30	4	8
Expulsions without educational services total	91	100	49	53.8	0	0	0	0	DS	2.2	36	39.6	DS	2.2	DS	2.2	DS	2.2	781	30	4	8
Expulsions with or without educational services on males	102	70.8	52	36.1	0	0	DS	1.4	DS	1.4	44	30.6	DS	1.4	0	0	4	2.8	781	30	4	8
Expulsions with or without educational services on females	42	29.2	18	12.5	0	0	0	0	0	0	22	15.3	0	0	DS	1.4	DS	1.4	781	30	4	8
Expulsions with or without educational services total	144	100	70	48.6	0	0	DS	1.4	DS	1.4	66	45.8	DS	1.4	DS	1.4	6	4.2	781	30	4	8
Expulsions under zero-tolerance policies on males	20	69	7	24.1	0	0	0	0	0	0	13	44.8	0	0	0	0	0	0	781	30	4	8
Expulsions under zero-tolerance policies on females	9	31	DS	6.9	0	0	0	0	0	0	7	24.1	0	0	0	0	DS	6.9	781	30	4	8
Expulsions under zero-tolerance policies total	29	100	9	31	0	0	0	0	0	0	20	69	0	0	0	0	DS	6.9	781	30	4	8
Referral to law enforcement on males	690	70.1	149	15.1	5	0.5	28	2.8	6	0.6	493	50.1	DS	0.2	7	0.7	11	1.1	781	30	4	8
Referral to law enforcement on females	294	29.9	65	6.6	DS	0.2	9	0.9	DS	0.2	214	21.7	0	0	DS	0.2	5	0.5	781	30	4	8
Referral to law enforcement total	984	100	214	21.7	7	0.7	37	3.8	8	0.8	707	71.8	DS	0.2	9	0.9	16	1.6	781	30	4	8
School-related arrests on males	179	68.6	43	16.5	DS	0.8	7	2.7	4	1.5	121	46.4	0	0	DS	0.8	DS	0.8	781	30	4	8
School-related arrests on females	82	31.4	18	6.9	0	0	DS	0.8	0	0	62	23.8	0	0	0	0	DS	0.8	781	30	4	8
School-related arrests total	261	100	61	23.4	DS	0.8	9	3.4	4	1.5	183	70.1	0	0	DS	0.8	4	1.5	781	30	4	8
