Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African Americans	Percent of Black or African Americans	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander 	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"2,243"	44.1	80	1.6	27	0.5	49	1	11	0.2	"2,060"	40.5	4	0.1	12	0.2	DS	0	0	0	78	30	4	8
At least one AP course females	"2,840"	55.9	146	2.9	43	0.8	50	1	9	0.2	"2,574"	50.6	6	0.1	12	0.2	8	0.2	DS	0	78	30	4	8
At least one AP course total	"5,083"	100	226	4.4	70	1.4	99	1.9	20	0.4	"4,634"	91.2	10	0.2	24	0.5	10	0.2	DS	0	78	30	4	8
AP mathematics males	678	50.6	10	0.7	8	0.6	13	1	6	0.4	634	47.3	0	0	7	0.5	0	0	0	0	78	30	4	8
AP mathematics females	662	49.4	20	1.5	13	1	11	0.8	DS	0.1	612	45.7	DS	0.1	DS	0.1	DS	0.1	0	0	78	30	4	8
AP mathematics total	"1,340"	100	30	2.2	21	1.6	24	1.8	8	0.6	"1,246"	93	DS	0.1	9	0.7	DS	0.1	0	0	78	30	4	8
AP science males	319	47.8	11	1.6	7	1	5	0.7	DS	0.3	292	43.8	0	0	DS	0.3	0	0	0	0	78	30	4	8
AP science females	348	52.2	9	1.3	7	1	6	0.9	DS	0.3	322	48.3	0	0	DS	0.3	DS	0.3	0	0	78	30	4	8
AP science total	667	100	20	3	14	2.1	11	1.6	4	0.6	614	92.1	0	0	4	0.6	DS	0.3	0	0	78	30	4	8
AP foreign language males	75	39.1	0	0	DS	1	DS	1	0	0	71	37	0	0	0	0	0	0	0	0	78	30	4	8
AP foreign language females	117	60.9	0	0	DS	1	7	3.6	0	0	108	56.3	0	0	0	0	0	0	0	0	78	30	4	8
AP foreign language total	192	100	0	0	4	2.1	9	4.7	0	0	179	93.2	0	0	0	0	0	0	0	0	78	30	4	8
Other AP subjects males	"1,464"	43.5	52	1.5	18	0.5	31	0.9	5	0.1	"1,352"	40.1	DS	0.1	4	0.1	DS	0.1	0	0	78	30	4	8
Other AP subjects females	"1,904"	56.5	95	2.8	36	1.1	31	0.9	8	0.2	"1,724"	51.2	5	0.1	5	0.1	6	0.2	DS	0.1	78	30	4	8
Other AP subjects total	"3,368"	100	147	4.4	54	1.6	62	1.8	13	0.4	"3,076"	91.3	7	0.2	9	0.3	8	0.2	DS	0.1	78	30	4	8
