Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learner Students Without Disabilities and With Disabilities Served Under IDEA	Percent of English Language Learner Students Without Disabilities and With Disabilities Served Under IDEA	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	413	78.4	5	0.9	408	77.4	94	18.1	4	0.8	13	2.5	135	26	145	27.9	0	0	17	3.3	DS	0.4	"2,535"	37	3	5
Corporal punishment on females	114	21.6	DS	0.4	112	21.3	25	4.8	0	0	DS	0.4	46	8.8	34	6.5	0	0	5	1	0	0	"2,535"	37	3	5
Corporal punishment total	527	100	7	1.3	520	98.7	119	22.9	4	0.8	15	2.9	181	34.8	179	34.4	0	0	22	4.2	DS	0.4	"2,535"	37	3	5
One or more in-school suspensions on males	"95,783"	67.3	852	0.6	"94,931"	66.7	"2,033"	1.4	595	0.4	"10,734"	7.6	"38,271"	27.1	"39,949"	28.3	48	0	"3,301"	2.3	"4,479"	3.1	"2,535"	37	3	5
One or more in-school suspensions on females	"46,562"	32.7	242	0.2	"46,320"	32.5	"1,137"	0.8	208	0.1	"4,864"	3.4	"22,489"	15.9	"15,765"	11.2	26	0	"1,831"	1.3	"1,800"	1.3	"2,535"	37	3	5
One or more in-school suspensions total	"142,345"	100	"1,094"	0.8	"141,251"	99.2	"3,170"	2.2	803	0.6	"15,598"	11	"60,760"	43	"55,714"	39.4	74	0.1	"5,132"	3.6	"6,279"	4.4	"2,535"	37	3	5
Only one out-of-school suspension on males	"47,664"	68.1	338	0.5	"47,326"	67.6	"1,205"	1.7	341	0.5	"5,303"	7.6	"20,664"	29.7	"18,018"	25.9	33	0	"1,762"	2.5	"1,985"	2.8	"2,535"	37	3	5
Only one out-of-school suspension on females	"22,296"	31.9	83	0.1	"22,213"	31.8	623	0.9	104	0.1	"2,223"	3.2	"12,146"	17.5	"6,223"	8.9	16	0	878	1.3	672	1	"2,535"	37	3	5
Only one out-of-school suspension total	"69,960"	100	421	0.6	"69,539"	99.4	"1,828"	2.6	445	0.6	"7,526"	10.8	"32,810"	47.2	"24,241"	34.9	49	0.1	"2,640"	3.8	"2,657"	3.8	"2,535"	37	3	5
More than one out-of-school suspension on males	"43,021"	72.7	313	0.5	"42,708"	72.2	982	1.7	152	0.3	"4,096"	7	"23,008"	39.2	"13,011"	22.1	23	0	"1,436"	2.4	"1,440"	2.4	"2,535"	37	3	5
