Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learner Students With Disabilities Served Under IDEA	Percent of English Language Learner Students With Disabilities Served Under IDEA	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	119	82.1	5	3.4	114	78.6	12	8.7	DS	1.4	4	2.9	40	29	49	35.5	0	0	7	5.1	0	0	"2,535"	37	3	5
Corporal punishment on females	26	17.9	DS	1.4	24	16.6	4	2.9	0	0	DS	1.4	10	7.2	8	5.8	0	0	0	0	0	0	"2,535"	37	3	5
Corporal punishment total	145	100	7	4.8	138	95.2	16	11.6	DS	1.4	6	4.3	50	36.2	57	41.3	0	0	7	5.1	0	0	"2,535"	37	3	5
One or more in-school suspensions on males	"20,237"	77.1	852	3.2	"19,385"	73.8	391	1.6	58	0.2	"1,743"	6.9	"7,658"	30.4	"8,759"	34.8	8	0	768	3.1	761	2.9	"2,535"	37	3	5
One or more in-school suspensions on females	"6,016"	22.9	242	0.9	"5,774"	22	158	0.6	14	0.1	462	1.8	"2,605"	10.4	"2,286"	9.1	DS	0	247	1	216	0.8	"2,535"	37	3	5
One or more in-school suspensions total	"26,253"	100	"1,094"	4.2	"25,159"	95.8	549	2.2	72	0.3	"2,205"	8.8	"10,263"	40.8	"11,045"	43.9	10	0	"1,015"	4	977	3.7	"2,535"	37	3	5
Only one out-of-school suspension on males	"10,862"	78	338	2.4	"10,524"	75.6	240	1.8	39	0.3	902	6.7	"4,339"	32.1	"4,610"	34.1	DS	0	392	2.9	363	2.6	"2,535"	37	3	5
Only one out-of-school suspension on females	"3,059"	22	83	0.6	"2,976"	21.4	97	0.7	5	0	212	1.6	"1,496"	11.1	"1,035"	7.7	DS	0	129	1	76	0.5	"2,535"	37	3	5
Only one out-of-school suspension total	"13,921"	100	421	3	"13,500"	97	337	2.5	44	0.3	"1,114"	8.3	"5,835"	43.2	"5,645"	41.8	4	0	521	3.9	439	3.2	"2,535"	37	3	5
More than one out-of-school suspension on males	"10,716"	81.2	313	2.4	"10,403"	78.8	226	1.8	13	0.1	770	6	"5,352"	41.8	"3,634"	28.4	8	0.1	400	3.1	282	2.1	"2,535"	37	3	5
More than one out-of-school suspension on females	"2,482"	18.8	73	0.6	"2,409"	18.3	69	0.5	DS	0	134	1	"1,476"	11.5	633	4.9	DS	0	93	0.7	55	0.4	"2,535"	37	3	5
More than one out-of-school suspension total	"13,198"	100	386	2.9	"12,812"	97.1	295	2.3	15	0.1	904	7.1	"6,828"	53.3	"4,267"	33.3	10	0.1	493	3.8	337	2.6	"2,535"	37	3	5
One or more out-of-school suspensions on males	"21,563"	79.5	650	2.4	"20,913"	77.1	466	1.8	52	0.2	"1,669"	6.3	"9,689"	36.8	"8,233"	31.3	11	0	793	3	637	2.3	"2,535"	37	3	5
One or more out-of-school suspensions on females	"5,544"	20.5	156	0.6	"5,388"	19.9	168	0.6	6	0	348	1.3	"2,971"	11.3	"1,667"	6.3	5	0	223	0.8	129	0.5	"2,535"	37	3	5
One or more out-of-school suspensions total	"27,107"	100	806	3	"26,301"	97	634	2.4	58	0.2	"2,017"	7.7	"12,660"	48.1	"9,900"	37.6	16	0.1	"1,016"	3.9	766	2.8	"2,535"	37	3	5
Expulsions with educational services on males	96	77.4	DS	1.6	94	75.8	DS	1.7	0	0	11	9.2	32	26.7	45	37.5	0	0	4	3.3	6	4.8	"2,535"	37	3	5
Expulsions with educational services on females	28	22.6	DS	1.6	26	21	DS	1.7	0	0	DS	1.7	9	7.5	13	10.8	0	0	0	0	DS	1.6	"2,535"	37	3	5
Expulsions with educational services total	124	100	4	3.2	120	96.8	4	3.3	0	0	13	10.8	41	34.2	58	48.3	0	0	4	3.3	8	6.5	"2,535"	37	3	5
Expulsions without educational services on males	31	67.4	0	0	31	67.4	0	0	0	0	0	0	10	22.7	19	43.2	0	0	DS	4.5	0	0	"2,535"	37	3	5
Expulsions without educational services on females	15	32.6	DS	4.3	13	28.3	0	0	0	0	DS	4.5	DS	4.5	9	20.5	0	0	0	0	DS	4.3	"2,535"	37	3	5
Expulsions without educational services total	46	100	DS	4.3	44	95.7	0	0	0	0	DS	4.5	12	27.3	28	63.6	0	0	DS	4.5	DS	4.3	"2,535"	37	3	5
Expulsions with or without educational services on males	125	74.9	DS	1.2	123	73.7	DS	1.2	0	0	11	6.7	41	25.2	64	39.3	0	0	5	3.1	6	3.6	"2,535"	37	3	5
Expulsions with or without educational services on females	42	25.1	DS	1.2	40	24	DS	1.2	0	0	5	3.1	10	6.1	23	14.1	0	0	0	0	DS	1.2	"2,535"	37	3	5
Expulsions with or without educational services total	167	100	4	2.4	163	97.6	4	2.5	0	0	16	9.8	51	31.3	87	53.4	0	0	5	3.1	8	4.8	"2,535"	37	3	5
Expulsions under zero-tolerance policies on males	38	82.6	DS	4.3	36	78.3	5	11.9	0	0	7	16.7	10	23.8	12	28.6	0	0	DS	4.8	DS	4.3	"2,535"	37	3	5
Expulsions under zero-tolerance policies on females	8	17.4	DS	4.3	6	13	DS	4.8	0	0	0	0	0	0	4	9.5	0	0	0	0	0	0	"2,535"	37	3	5
Expulsions under zero-tolerance policies total	46	100	4	8.7	42	91.3	7	16.7	0	0	7	16.7	10	23.8	16	38.1	0	0	DS	4.8	DS	4.3	"2,535"	37	3	5
Referral to law enforcement on males	"1,791"	83.3	66	3.1	"1,725"	80.2	42	2	5	0.2	120	5.8	689	33.3	785	37.9	DS	0.1	82	4	53	2.5	"2,535"	37	3	5
Referral to law enforcement on females	360	16.7	15	0.7	345	16	14	0.7	DS	0.1	23	1.1	160	7.7	130	6.3	0	0	16	0.8	18	0.8	"2,535"	37	3	5
Referral to law enforcement total	"2,151"	100	81	3.8	"2,070"	96.2	56	2.7	7	0.3	143	6.9	849	41	915	44.2	DS	0.1	98	4.7	71	3.3	"2,535"	37	3	5
School-related arrests on males	297	78.6	19	5	278	73.5	26	7.5	DS	0.6	23	6.6	124	35.7	97	28	0	0	6	1.7	11	2.9	"2,535"	37	3	5
School-related arrests on females	81	21.4	12	3.2	69	18.3	5	1.4	DS	0.6	4	1.2	34	9.8	22	6.3	0	0	DS	0.6	DS	0.5	"2,535"	37	3	5
School-related arrests total	378	100	31	8.2	347	91.8	31	8.9	4	1.2	27	7.8	158	45.5	119	34.3	0	0	8	2.3	13	3.4	"2,535"	37	3	5
