Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learner Students Without Disabilities	Percent of English Language Learner Students Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	294	77	82	21.5	DS	0.5	9	2.4	95	24.9	96	25.1	0	0	10	2.6	DS	0.5	"2,535"	37	3	5
Corporal punishment on females	88	23	21	5.5	0	0	0	0	36	9.4	26	6.8	0	0	5	1.3	0	0	"2,535"	37	3	5
Corporal punishment total	382	100	103	27	DS	0.5	9	2.4	131	34.3	122	31.9	0	0	15	3.9	DS	0.5	"2,535"	37	3	5
One or more in-school suspensions on males	"75,546"	65.1	"1,642"	1.4	537	0.5	"8,991"	7.7	"30,613"	26.4	"31,190"	26.9	40	0	"2,533"	2.2	"3,718"	3.2	"2,535"	37	3	5
One or more in-school suspensions on females	"40,546"	34.9	979	0.8	194	0.2	"4,402"	3.8	"19,884"	17.1	"13,479"	11.6	24	0	"1,584"	1.4	"1,584"	1.4	"2,535"	37	3	5
One or more in-school suspensions total	"116,092"	100	"2,621"	2.3	731	0.6	"13,393"	11.5	"50,497"	43.5	"44,669"	38.5	64	0.1	"4,117"	3.5	"5,302"	4.6	"2,535"	37	3	5
Only one out-of-school suspension on males	"36,802"	65.7	965	1.7	302	0.5	"4,401"	7.9	"16,325"	29.1	"13,408"	23.9	31	0.1	"1,370"	2.4	"1,622"	2.9	"2,535"	37	3	5
Only one out-of-school suspension on females	"19,237"	34.3	526	0.9	99	0.2	"2,011"	3.6	"10,650"	19	"5,188"	9.3	14	0	749	1.3	596	1.1	"2,535"	37	3	5
Only one out-of-school suspension total	"56,039"	100	"1,491"	2.7	401	0.7	"6,412"	11.4	"26,975"	48.1	"18,596"	33.2	45	0.1	"2,119"	3.8	"2,218"	4	"2,535"	37	3	5
More than one out-of-school suspension on males	"32,305"	70.3	756	1.6	139	0.3	"3,326"	7.2	"17,656"	38.4	"9,377"	20.4	15	0	"1,036"	2.3	"1,158"	2.5	"2,535"	37	3	5
More than one out-of-school suspension on females	"13,634"	29.7	349	0.8	32	0.1	"1,093"	2.4	"8,598"	18.7	"3,050"	6.6	6	0	506	1.1	289	0.6	"2,535"	37	3	5
More than one out-of-school suspension total	"45,939"	100	"1,105"	2.4	171	0.4	"4,419"	9.6	"26,254"	57.1	"12,427"	27.1	21	0	"1,542"	3.4	"1,447"	3.1	"2,535"	37	3	5
One or more out-of-school suspensions on males	"69,080"	67.8	"1,722"	1.7	443	0.4	"7,712"	7.6	"33,983"	33.3	"22,766"	22.3	46	0	"2,408"	2.4	"2,787"	2.7	"2,535"	37	3	5
One or more out-of-school suspensions on females	"32,881"	32.2	872	0.9	131	0.1	"3,108"	3	"19,254"	18.9	"8,238"	8.1	20	0	"1,258"	1.2	886	0.9	"2,535"	37	3	5
One or more out-of-school suspensions total	"101,961"	100	"2,594"	2.5	574	0.6	"10,820"	10.6	"53,237"	52.2	"31,004"	30.4	66	0.1	"3,666"	3.6	"3,673"	3.6	"2,535"	37	3	5
Expulsions with educational services on males	158	80.2	DS	1	0	0	14	7.1	61	31	74	37.6	DS	1	5	2.5	DS	1	"2,535"	37	3	5
Expulsions with educational services on females	39	19.8	DS	1	0	0	DS	1	14	7.1	19	9.6	0	0	DS	1	0	0	"2,535"	37	3	5
Expulsions with educational services total	197	100	4	2	0	0	16	8.1	75	38.1	93	47.2	DS	1	7	3.6	DS	1	"2,535"	37	3	5
Expulsions without educational services on males	217	76.4	7	2.5	0	0	23	8.1	97	34.2	80	28.2	0	0	10	3.5	6	2.1	"2,535"	37	3	5
Expulsions without educational services on females	67	23.6	4	1.4	DS	0.7	DS	0.7	22	7.7	35	12.3	0	0	DS	0.7	DS	0.7	"2,535"	37	3	5
Expulsions without educational services total	284	100	11	3.9	DS	0.7	25	8.8	119	41.9	115	40.5	0	0	12	4.2	8	2.8	"2,535"	37	3	5
Expulsions with or without educational services on males	372	77.5	9	1.9	0	0	36	7.5	157	32.7	153	31.9	DS	0.4	15	3.1	8	1.7	"2,535"	37	3	5
Expulsions with or without educational services on females	108	22.5	8	1.7	DS	0.4	6	1.3	36	7.5	54	11.3	0	0	DS	0.4	DS	0.4	"2,535"	37	3	5
Expulsions with or without educational services total	480	100	17	3.5	DS	0.4	42	8.8	193	40.2	207	43.1	DS	0.4	17	3.5	10	2.1	"2,535"	37	3	5
Expulsions under zero-tolerance policies on males	55	72.4	DS	2.6	0	0	12	15.8	10	13.2	27	35.5	DS	2.6	DS	2.6	4	5.3	"2,535"	37	3	5
Expulsions under zero-tolerance policies on females	21	27.6	DS	2.6	0	0	DS	2.6	5	6.6	10	13.2	0	0	DS	2.6	0	0	"2,535"	37	3	5
Expulsions under zero-tolerance policies total	76	100	4	5.3	0	0	14	18.4	15	19.7	37	48.7	DS	2.6	4	5.3	4	5.3	"2,535"	37	3	5
Referral to law enforcement on males	"5,176"	72	295	4.1	44	0.6	512	7.1	"1,952"	27.1	"2,173"	30.2	5	0.1	195	2.7	210	2.9	"2,535"	37	3	5
Referral to law enforcement on females	"2,015"	28	148	2.1	9	0.1	155	2.2	919	12.8	713	9.9	DS	0	69	1	35	0.5	"2,535"	37	3	5
Referral to law enforcement total	"7,191"	100	443	6.2	53	0.7	667	9.3	"2,871"	39.9	"2,886"	40.1	7	0.1	264	3.7	245	3.4	"2,535"	37	3	5
School-related arrests on males	783	69.3	80	7.1	6	0.5	82	7.3	282	25	308	27.3	0	0	25	2.2	26	2.3	"2,535"	37	3	5
School-related arrests on females	347	30.7	53	4.7	0	0	25	2.2	149	13.2	114	10.1	0	0	6	0.5	10	0.9	"2,535"	37	3	5
School-related arrests total	"1,130"	100	133	11.8	6	0.5	107	9.5	431	38.1	422	37.3	0	0	31	2.7	36	3.2	"2,535"	37	3	5
