Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native ,Number of Asians ,Percent of Asians ,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"2,584",64.4,62,1.5,39,1,491,12.2,803,20,"1,088",27.1,4,0.1,97,2.4,629,15.7,64,1.6,350,8.7,"1,425",37,3,5
Kindergarten females,"1,431",35.6,48,1.2,24,0.6,264,6.6,483,12,569,14.2,0,0,43,1.1,236,5.9,20,0.5,187,4.7,"1,425",37,3,5
Kindergarten total,"4,015",100,110,2.7,63,1.6,755,18.8,"1,286",32,"1,657",41.3,4,0.1,140,3.5,865,21.5,84,2.1,537,13.4,"1,425",37,3,5
1st grade males,"2,380",60.2,86,2.2,30,0.8,439,11.1,764,19.3,961,24.3,DS,0.1,98,2.5,511,12.9,61,1.5,318,8,"1,429",37,3,5
1st grade females,"1,572",39.8,60,1.5,15,0.4,300,7.6,550,13.9,587,14.9,4,0.1,56,1.4,221,5.6,28,0.7,200,5.1,"1,429",37,3,5
1st grade total,"3,952",100,146,3.7,45,1.1,739,18.7,"1,314",33.2,"1,548",39.2,6,0.2,154,3.9,732,18.5,89,2.3,518,13.1,"1,429",37,3,5
2nd grade males,"1,395",57.7,38,1.6,27,1.1,253,10.5,497,20.6,523,21.6,0,0,57,2.4,298,12.3,35,1.4,201,8.3,"1,429",37,3,5
2nd grade females,"1,022",42.3,24,1,11,0.5,184,7.6,366,15.1,375,15.5,DS,0.1,60,2.5,139,5.8,18,0.7,140,5.8,"1,429",37,3,5
2nd grade total,"2,417",100,62,2.6,38,1.6,437,18.1,863,35.7,898,37.2,DS,0.1,117,4.8,437,18.1,53,2.2,341,14.1,"1,429",37,3,5
3rd grade males,"1,150",54.2,24,1.1,14,0.7,178,8.4,524,24.7,357,16.8,DS,0.1,51,2.4,194,9.1,49,2.3,149,7,"1,427",37,3,5
3rd grade females,973,45.8,17,0.8,13,0.6,159,7.5,445,21,305,14.4,DS,0.1,32,1.5,121,5.7,47,2.2,137,6.5,"1,427",37,3,5
3rd grade total,"2,123",100,41,1.9,27,1.3,337,15.9,969,45.6,662,31.2,4,0.2,83,3.9,315,14.8,96,4.5,286,13.5,"1,427",37,3,5
4th grade males,582,58,13,1.3,DS,0.2,65,6.5,272,27.1,198,19.7,DS,0.2,30,3,101,10.1,26,2.6,52,5.2,"1,427",37,3,5
4th grade females,421,42,21,2.1,4,0.4,52,5.2,205,20.4,124,12.4,DS,0.2,13,1.3,52,5.2,14,1.4,39,3.9,"1,427",37,3,5
4th grade total,"1,003",100,34,3.4,6,0.6,117,11.7,477,47.6,322,32.1,4,0.4,43,4.3,153,15.3,40,4,91,9.1,"1,427",37,3,5
5th grade males,410,57.3,10,1.4,11,1.5,51,7.1,184,25.7,140,19.6,DS,0.3,12,1.7,106,14.8,41,5.7,39,5.4,"1,402",37,3,5
5th grade females,306,42.7,6,0.8,7,1,39,5.4,149,20.8,95,13.3,0,0,10,1.4,52,7.3,23,3.2,32,4.5,"1,402",37,3,5
5th grade total,716,100,16,2.2,18,2.5,90,12.6,333,46.5,235,32.8,DS,0.3,22,3.1,158,22.1,64,8.9,71,9.9,"1,402",37,3,5
6th grade males,727,64.9,6,0.5,17,1.5,98,8.7,329,29.3,257,22.9,0,0,20,1.8,113,10.1,34,3,51,4.5,765,37,3,5
6th grade females,394,35.1,9,0.8,20,1.8,33,2.9,180,16.1,138,12.3,0,0,14,1.2,33,2.9,7,0.6,17,1.5,765,37,3,5
6th grade total,"1,121",100,15,1.3,37,3.3,131,11.7,509,45.4,395,35.2,0,0,34,3,146,13,41,3.7,68,6.1,765,37,3,5
7th grade males,901,65,13,0.9,17,1.2,92,6.6,408,29.4,336,24.2,0,0,35,2.5,139,10,43,3.1,44,3.2,713,37,3,5
7th grade females,485,35,4,0.3,13,0.9,55,4,211,15.2,183,13.2,0,0,19,1.4,39,2.8,20,1.4,30,2.2,713,37,3,5
7th grade total,"1,386",100,17,1.2,30,2.2,147,10.6,619,44.7,519,37.4,0,0,54,3.9,178,12.8,63,4.5,74,5.3,713,37,3,5
8th grade males,851,63.6,15,1.1,28,2.1,104,7.8,326,24.3,342,25.5,4,0.3,32,2.4,165,12.3,62,4.6,58,4.3,708,37,3,5
8th grade females,488,36.4,6,0.4,26,1.9,46,3.4,192,14.3,201,15,0,0,17,1.3,73,5.5,23,1.7,31,2.3,708,37,3,5
8th grade total,"1,339",100,21,1.6,54,4,150,11.2,518,38.7,543,40.6,4,0.3,49,3.7,238,17.8,85,6.3,89,6.6,708,37,3,5
9th grade males,"7,525",66.2,154,1.4,101,0.9,"1,215",10.7,"3,310",29.1,"2,509",22.1,DS,0,234,2.1,"1,937",17,328,2.9,791,7,616,37,3,5
9th grade females,"3,850",33.8,92,0.8,62,0.5,660,5.8,"1,638",14.4,"1,270",11.2,DS,0,126,1.1,631,5.5,146,1.3,416,3.7,616,37,3,5
9th grade total,"11,375",100,246,2.2,163,1.4,"1,875",16.5,"4,948",43.5,"3,779",33.2,4,0,360,3.2,"2,568",22.6,474,4.2,"1,207",10.6,616,37,3,5
10th grade males,"4,691",63.7,96,1.3,61,0.8,674,9.1,"2,031",27.6,"1,698",23,4,0.1,127,1.7,985,13.4,181,2.5,324,4.4,613,37,3,5
10th grade females,"2,678",36.3,64,0.9,47,0.6,383,5.2,"1,204",16.3,884,12,0,0,96,1.3,344,4.7,81,1.1,184,2.5,613,37,3,5
10th grade total,"7,369",100,160,2.2,108,1.5,"1,057",14.3,"3,235",43.9,"2,582",35,4,0.1,223,3,"1,329",18,262,3.6,508,6.9,613,37,3,5
11th grade males,"3,504",63.2,87,1.6,46,0.8,459,8.3,"1,413",25.5,"1,399",25.3,4,0.1,96,1.7,659,11.9,105,1.9,180,3.2,614,37,3,5
11th grade females,"2,036",36.8,44,0.8,26,0.5,268,4.8,901,16.3,714,12.9,6,0.1,77,1.4,258,4.7,41,0.7,105,1.9,614,37,3,5
11th grade total,"5,540",100,131,2.4,72,1.3,727,13.1,"2,314",41.8,"2,113",38.1,10,0.2,173,3.1,917,16.6,146,2.6,285,5.1,614,37,3,5
12th grade males,"1,663",63.4,19,0.7,31,1.2,204,7.8,691,26.3,671,25.6,DS,0.1,45,1.7,548,20.9,23,0.9,103,3.9,605,37,3,5
12th grade females,961,36.6,6,0.2,23,0.9,125,4.8,416,15.9,363,13.8,DS,0.1,26,1,272,10.4,13,0.5,63,2.4,605,37,3,5
12th grade total,"2,624",100,25,1,54,2.1,329,12.5,"1,107",42.2,"1,034",39.4,4,0.2,71,2.7,820,31.3,36,1.4,166,6.3,605,37,3,5
