Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians 	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites 	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races 	Percent of Two or more races 	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region _ID	Division_ID
At least one AP course males	"1,066"	43.3	12	0.5	33	1.3	8	0.3	11	0.4	996	40.5	DS	0.1	4	0.2	8	0.3	DS	0.1	33	38	2	4
At least one AP course females	"1,395"	56.7	20	0.8	30	1.2	9	0.4	13	0.5	"1,319"	53.6	DS	0.1	DS	0.1	6	0.2	DS	0.1	33	38	2	4
At least one AP course total	"2,461"	100	32	1.3	63	2.6	17	0.7	24	1	"2,315"	94.1	4	0.2	6	0.2	14	0.6	4	0.2	33	38	2	4
AP mathematics males	196	52.3	DS	0.5	5	1.3	0	0	DS	0.5	187	49.9	0	0	0	0	0	0	0	0	33	38	2	4
AP mathematics females	179	47.7	DS	0.5	4	1.1	DS	0.5	DS	0.5	169	45.1	0	0	0	0	0	0	0	0	33	38	2	4
AP mathematics total	375	100	4	1.1	9	2.4	DS	0.5	4	1.1	356	94.9	0	0	0	0	0	0	0	0	33	38	2	4
AP science males	275	48.8	DS	0.4	14	2.5	DS	0.4	DS	0.4	251	44.6	DS	0.4	DS	0.4	DS	0.4	0	0	33	38	2	4
AP science females	288	51.2	6	1.1	19	3.4	DS	0.4	DS	0.4	257	45.6	DS	0.4	0	0	DS	0.4	0	0	33	38	2	4
AP science total	563	100	8	1.4	33	5.9	4	0.7	4	0.7	508	90.2	4	0.7	DS	0.4	4	0.7	0	0	33	38	2	4
AP foreign language males	40	34.2	0	0	0	0	DS	1.7	DS	1.7	36	30.8	0	0	0	0	0	0	0	0	33	38	2	4
AP foreign language females	77	65.8	0	0	0	0	0	0	DS	1.7	75	64.1	0	0	0	0	0	0	0	0	33	38	2	4
AP foreign language total	117	100	0	0	0	0	DS	1.7	4	3.4	111	94.9	0	0	0	0	0	0	0	0	33	38	2	4
Other AP subjects males	622	40.4	4	0.3	19	1.2	5	0.3	5	0.3	587	38.1	0	0	DS	0.1	DS	0.1	DS	0.1	33	38	2	4
Other AP subjects females	919	59.6	11	0.7	25	1.6	7	0.5	12	0.8	862	55.9	0	0	DS	0.1	DS	0.1	DS	0.1	33	38	2	4
Other AP subjects total	"1,541"	100	15	1	44	2.9	12	0.8	17	1.1	"1,449"	94	0	0	4	0.3	4	0.3	4	0.3	33	38	2	4
