Advanced Placement Course by gender	Number of Total Students 	Percent of Total Students 	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native 	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"4,638"	44.6	24	0.2	226	2.2	373	3.6	187	1.8	"3,705"	35.6	4	0	119	1.1	90	0.9	27	0.3	77	31	2	4
At least one AP course females	"5,771"	55.4	21	0.2	253	2.4	563	5.4	295	2.8	"4,451"	42.8	DS	0	186	1.8	44	0.4	28	0.3	77	31	2	4
At least one AP course total	"10,409"	100	45	0.4	479	4.6	936	9	482	4.6	"8,156"	78.4	6	0.1	305	2.9	134	1.3	55	0.5	77	31	2	4
AP mathematics males	"1,647"	51.7	9	0.3	109	3.4	75	2.4	40	1.3	"1,381"	43.4	DS	0.1	31	1	23	0.7	8	0.3	77	31	2	4
AP mathematics females	"1,536"	48.3	DS	0.1	101	3.2	77	2.4	41	1.3	"1,268"	39.8	DS	0.1	45	1.4	6	0.2	8	0.3	77	31	2	4
AP mathematics total	"3,183"	100	11	0.3	210	6.6	152	4.8	81	2.5	"2,649"	83.2	4	0.1	76	2.4	29	0.9	16	0.5	77	31	2	4
AP science males	852	47.5	8	0.4	52	2.9	46	2.6	27	1.5	692	38.6	DS	0.1	25	1.4	14	0.8	DS	0.1	77	31	2	4
AP science females	940	52.5	DS	0.1	56	3.1	59	3.3	41	2.3	756	42.2	DS	0.1	24	1.3	6	0.3	6	0.3	77	31	2	4
AP science total	"1,792"	100	10	0.6	108	6	105	5.9	68	3.8	"1,448"	80.8	4	0.2	49	2.7	20	1.1	8	0.4	77	31	2	4
AP foreign language males	167	34.1	0	0	4	0.8	41	8.4	DS	0.4	115	23.5	0	0	5	1	DS	0.4	8	1.6	77	31	2	4
AP foreign language females	323	65.9	0	0	16	3.3	75	15.3	8	1.6	216	44.1	0	0	8	1.6	0	0	DS	0.4	77	31	2	4
AP foreign language total	490	100	0	0	20	4.1	116	23.7	10	2	331	67.6	0	0	13	2.7	DS	0.4	10	2	77	31	2	4
Other AP subjects males	"3,330"	42.7	10	0.1	162	2.1	295	3.8	148	1.9	"2,623"	33.6	DS	0	90	1.2	53	0.7	11	0.1	77	31	2	4
Other AP subjects females	"4,477"	57.3	16	0.2	190	2.4	453	5.8	220	2.8	"3,441"	44.1	DS	0	155	2	28	0.4	15	0.2	77	31	2	4
Other AP subjects total	"7,807"	100	26	0.3	352	4.5	748	9.6	368	4.7	"6,064"	77.7	4	0.1	245	3.1	81	1	26	0.3	77	31	2	4
