Advanced Placement Course by gender	Number of Total Students	Percent of Total Students 	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native	Number of Asians 	Percent of Asians 	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites 	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races 	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"3,230"	44.4	6	0.1	152	2.1	54	0.7	29	0.4	"2,979"	41	0	r	10	0.1	41	0.6	9	0.1	70	33	1	1
At least one AP course females	"4,038"	55.6	13	0.2	220	3	63	0.9	42	0.6	"3,683"	50.7	DS	0	15	0.2	47	0.6	9	0.1	70	33	1	1
At least one AP course total	"7,268"	100	19	0.3	372	5.1	117	1.6	71	1	"6,662"	91.7	DS	0	25	0.3	88	1.2	18	0.2	70	33	1	1
AP mathematics males	"1,024"	53.8	DS	0.1	69	3.6	11	0.6	6	0.3	936	49.1	0	0	0	0	8	0.4	DS	0.1	70	33	1	1
AP mathematics females	881	46.2	DS	0.1	81	4.3	9	0.5	5	0.3	782	41	0	0	DS	0.1	11	0.6	DS	0.1	70	33	1	1
AP mathematics total	"1,905"	100	4	0.2	150	7.9	20	1	11	0.6	"1,718"	90.2	0	0	DS	0.1	19	1	4	0.2	70	33	1	1
AP science males	743	48.6	DS	0.1	78	5.1	14	0.9	9	0.6	638	41.7	0	0	DS	0.1	8	0.5	DS	0.1	70	33	1	1
AP science females	786	51.4	0	0	70	4.6	12	0.8	6	0.4	696	45.5	0	0	DS	0.1	DS	0.1	0	0	70	33	1	1
AP science total	"1,529"	100	DS	0.1	148	9.7	26	1.7	15	1	"1,334"	87.2	0	0	4	0.3	10	0.7	DS	0.1	70	33	1	1
AP foreign language males	110	29.7	0	0	DS	0.5	6	1.6	0	0	102	27.6	0	0	0	0	DS	0.5	DS	0.5	70	33	1	1
AP foreign language females	260	70.3	DS	0.5	11	3	13	3.5	DS	0.5	232	62.7	0	0	0	0	DS	0.5	DS	0.5	70	33	1	1
AP foreign language total	370	100	DS	0.5	13	3.5	19	5.1	DS	0.5	334	90.3	0	0	0	0	4	1.1	4	1.1	70	33	1	1
Other AP subjects males	"1,916"	41	DS	0	81	1.7	30	0.6	17	0.4	"1,782"	38.1	0	0	4	0.1	27	0.6	DS	0	70	33	1	1
Other AP subjects females	"2,756"	59	10	0.2	128	2.7	37	0.8	31	0.7	"2,540"	54.4	DS	0	8	0.2	26	0.6	DS	0	70	33	1	1
Other AP subjects total	"4,672"	100	12	0.3	209	4.5	67	1.4	48	1	"4,322"	92.5	DS	0	12	0.3	53	1.1	4	0.1	70	33	1	1
