Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native ,Number of Asians ,Percent of Asians ,Number of Hispanic or Latino of any race ,Percent of Hispanic or Latino of any race ,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,142,70.3,0,0,DS,1,11,5.4,DS,1,127,62.9,0,0,0,0,33,16.3,4,2,9,4.5,261,33,1,1
Kindergarten females,60,29.7,0,0,0,0,5,2.5,DS,1,53,26.2,0,0,0,0,6,3,DS,1,DS,1,261,33,1,1
Kindergarten total,202,100,0,0,DS,1,16,7.9,4,2,180,89.1,0,0,0,0,39,19.3,6,3,11,5.4,261,33,1,1
1st grade males,111,59.4,0,0,DS,1.1,8,4.3,DS,1.1,95,50.8,DS,1.1,DS,1.1,23,12.3,4,2.1,4,2.1,269,33,1,1
1st grade females,76,40.6,0,0,DS,1.1,6,3.2,6,3.2,60,32.1,0,0,DS,1.1,12,6.4,5,2.7,DS,1.1,269,33,1,1
1st grade total,187,100,0,0,4,2.1,14,7.5,8,4.3,155,82.9,DS,1.1,4,2.1,35,18.7,9,4.8,6,3.2,269,33,1,1
2nd grade males,52,61.9,DS,2.4,DS,2.4,DS,2.4,DS,2.4,42,50,0,0,DS,2.4,13,15.5,DS,2.4,DS,2.4,269,33,1,1
2nd grade females,32,38.1,0,0,0,0,DS,2.4,0,0,30,35.7,0,0,0,0,DS,2.4,0,0,DS,2.4,269,33,1,1
2nd grade total,84,100,DS,2.4,DS,2.4,4,4.8,DS,2.4,72,85.7,0,0,DS,2.4,15,17.9,DS,2.4,4,4.8,269,33,1,1
3rd grade males,14,46.7,0,0,0,0,0,0,0,0,14,46.7,0,0,0,0,4,13.3,DS,6.7,0,0,270,33,1,1
3rd grade females,16,53.3,0,0,0,0,DS,6.7,0,0,12,40,0,0,DS,6.7,DS,6.7,0,0,0,0,270,33,1,1
3rd grade total,30,100,0,0,0,0,DS,6.7,0,0,26,86.7,0,0,DS,6.7,6,20,DS,6.7,0,0,270,33,1,1
4th grade males,16,50,0,0,0,0,DS,6.3,DS,6.3,12,37.5,0,0,0,0,DS,6.3,0,0,0,0,267,33,1,1
