Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	134	77.9	0	0	134	77.9	0	0	4	2.3	13	7.6	32	18.6	85	49.4	0	0	0	0	0	0	"2,538"	34	1	2
Corporal punishment on females	38	22.1	0	0	38	22.1	0	0	0	0	DS	1.2	9	5.2	27	15.7	0	0	0	0	0	0	"2,538"	34	1	2
Corporal punishment total	172	100	0	0	172	100	0	0	4	2.3	15	8.7	41	23.8	112	65.1	0	0	0	0	0	0	"2,538"	34	1	2
One or more in-school suspensions on males	"34,894"	67.1	277	0.5	"34,617"	66.6	49	0.1	875	1.7	"8,579"	16.6	"10,442"	20.2	"14,296"	27.7	33	0.1	343	0.7	520	1	"2,538"	34	1	2
One or more in-school suspensions on females	"17,119"	32.9	93	0.2	"17,026"	32.7	27	0.1	291	0.6	"4,519"	8.8	"6,330"	12.3	"5,667"	11	5	0	187	0.4	210	0.4	"2,538"	34	1	2
One or more in-school suspensions total	"52,013"	100	370	0.7	"51,643"	99.3	76	0.1	"1,166"	2.3	"13,098"	25.4	"16,772"	32.5	"19,963"	38.7	38	0.1	530	1	730	1.4	"2,538"	34	1	2
Only one out-of-school suspension on males	"23,645"	68.1	166	0.5	"23,479"	67.6	27	0.1	645	1.9	"5,965"	17.3	"8,042"	23.3	"8,599"	24.9	29	0.1	172	0.5	539	1.6	"2,538"	34	1	2
Only one out-of-school suspension on females	"11,064"	31.9	44	0.1	"11,020"	31.7	15	0	185	0.5	"2,809"	8.1	"4,718"	13.7	"3,181"	9.2	11	0	101	0.3	196	0.6	"2,538"	34	1	2
Only one out-of-school suspension total	"34,709"	100	210	0.6	"34,499"	99.4	42	0.1	830	2.4	"8,774"	25.4	"12,760"	37	"11,780"	34.1	40	0.1	273	0.8	735	2.1	"2,538"	34	1	2
More than one out-of-school suspension on males	"20,421"	70.3	103	0.4	"20,318"	70	19	0.1	313	1.1	"5,631"	19.5	"8,444"	29.2	"5,713"	19.8	19	0.1	179	0.6	410	1.4	"2,538"	34	1	2
