Discipline by gender	Number of Total Students Without Disabilities 	Percent of Total Students Without Disabilities 	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Corporal punishment on males	90	78.3	0	0	DS	1.7	6	5.2	17	14.8	65	56.5	0	0	0	0	0	0	"2,538"	34	1	2
Corporal punishment on females	25	21.7	0	0	0	0	DS	1.7	7	6.1	16	13.9	0	0	0	0	0	0	"2,538"	34	1	2
Corporal punishment total	115	100	0	0	DS	1.7	8	7	24	20.9	81	70.4	0	0	0	0	0	0	"2,538"	34	1	2
One or more in-school suspensions on males	"24,239"	64.2	27	0.1	757	2	"6,262"	16.6	"7,236"	19.2	"9,676"	25.6	26	0.1	255	0.7	450	1.2	"2,538"	34	1	2
One or more in-school suspensions on females	"13,498"	35.8	17	0	263	0.7	"3,652"	9.7	"5,065"	13.4	"4,351"	11.5	5	0	145	0.4	187	0.5	"2,538"	34	1	2
One or more in-school suspensions total	"37,737"	100	44	0.1	"1,020"	2.7	"9,914"	26.3	"12,301"	32.6	"14,027"	37.2	31	0.1	400	1.1	637	1.7	"2,538"	34	1	2
Only one out-of-school suspension on males	"16,584"	65.3	18	0.1	558	2.2	"4,345"	17.1	"5,601"	22	"5,922"	23.3	17	0.1	123	0.5	463	1.8	"2,538"	34	1	2
Only one out-of-school suspension on females	"8,829"	34.7	13	0.1	161	0.6	"2,273"	8.9	"3,821"	15	"2,473"	9.7	7	0	81	0.3	172	0.7	"2,538"	34	1	2
Only one out-of-school suspension total	"25,413"	100	31	0.1	719	2.8	"6,618"	26	"9,422"	37.1	"8,395"	33	24	0.1	204	0.8	635	2.5	"2,538"	34	1	2
More than one out-of-school suspension on males	"13,402"	66.7	9	0	256	1.3	"3,966"	19.8	"5,606"	27.9	"3,438"	17.1	14	0.1	113	0.6	356	1.8	"2,538"	34	1	2
