Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native 	Number of Asians 	Percent of Asians 	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"29,891"	44.7	40	0.1	"6,220"	9.3	"2,796"	4.2	"1,926"	2.9	"18,752"	28	54	0.1	103	0.2	559	0.8	132	0.2	354	34	1	2
At least one AP course females	"36,994"	55.3	36	0.1	"6,875"	10.3	"3,806"	5.7	"2,760"	4.1	"23,279"	34.8	77	0.1	161	0.2	375	0.6	174	0.3	354	34	1	2
At least one AP course total	"66,885"	100	76	0.1	"13,095"	19.6	"6,602"	9.9	"4,686"	7	"42,031"	62.8	131	0.2	264	0.4	934	1.4	306	0.5	354	34	1	2
AP mathematics males	"8,998"	53	10	0.1	"2,616"	15.4	554	3.3	343	2	"5,427"	32	18	0.1	30	0.2	122	0.7	32	0.2	354	34	1	2
AP mathematics females	"7,981"	47	4	0	"2,347"	13.8	516	3	425	2.5	"4,620"	27.2	27	0.2	42	0.2	30	0.2	35	0.2	354	34	1	2
AP mathematics total	"16,979"	100	14	0.1	"4,963"	29.2	"1,070"	6.3	768	4.5	"10,047"	59.2	45	0.3	72	0.4	152	0.9	67	0.4	354	34	1	2
AP science males	"9,794"	49	7	0	"2,901"	14.5	657	3.3	443	2.2	"5,744"	28.8	17	0.1	25	0.1	129	0.6	31	0.2	354	34	1	2
AP science females	"10,179"	51	7	0	"2,877"	14.4	728	3.6	705	3.5	"5,801"	29	27	0.1	34	0.2	44	0.2	25	0.1	354	34	1	2
AP science total	"19,973"	100	14	0.1	"5,778"	28.9	"1,385"	6.9	"1,148"	5.7	"11,545"	57.8	44	0.2	59	0.3	173	0.9	56	0.3	354	34	1	2
AP foreign language males	"3,021"	36.9	DS	0	561	6.9	794	9.7	103	1.3	"1,553"	19	DS	0	6	0.1	40	0.5	50	0.6	354	34	1	2
AP foreign language females	"5,163"	63.1	DS	0	856	10.5	"1,343"	16.4	236	2.9	"2,705"	33.1	8	0.1	13	0.2	30	0.4	72	0.9	354	34	1	2
AP foreign language total	"8,184"	100	4	0	"1,417"	17.3	"2,137"	26.1	339	4.1	"4,258"	52	10	0.1	19	0.2	70	0.9	122	1.5	354	34	1	2
Other AP subjects males	"19,510"	42.2	20	0	"4,234"	9.2	"1,426"	3.1	"1,096"	2.4	"12,640"	27.3	35	0.1	59	0.1	354	0.8	18	0	354	34	1	2
Other AP subjects females	"26,750"	57.8	26	0.1	"5,076"	11	"2,153"	4.7	"1,863"	4	"17,485"	37.8	52	0.1	95	0.2	252	0.5	37	0.1	354	34	1	2
Other AP subjects total	"46,260"	100	46	0.1	"9,310"	20.1	"3,579"	7.7	"2,959"	6.4	"30,125"	65.1	87	0.2	154	0.3	606	1.3	55	0.1	354	34	1	2
