Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native,Percent of American Indian or Alaska Native,Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race ,Percent of Hispanic or Latino of any race ,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"1,299",63.6,DS,0.1,22,1.1,513,25.1,267,13.1,464,22.7,DS,0.1,29,1.4,117,5.7,16,0.8,172,8.4,"1,364",34,1,2
Kindergarten females,744,36.4,DS,0.1,19,0.9,319,15.6,183,9,209,10.2,DS,0.1,10,0.5,54,2.6,5,0.2,112,5.5,"1,364",34,1,2
Kindergarten total,"2,043",100,4,0.2,41,2,832,40.7,450,22,673,32.9,4,0.2,39,1.9,171,8.4,21,1,284,13.9,"1,364",34,1,2
1st grade males,"1,232",58.3,0,0,35,1.7,575,27.2,334,15.8,267,12.6,DS,0.1,19,0.9,97,4.6,31,1.5,173,8.2,"1,404",34,1,2
1st grade females,880,41.7,DS,0.1,24,1.1,446,21.1,206,9.8,190,9,0,0,12,0.6,36,1.7,16,0.8,150,7.1,"1,404",34,1,2
1st grade total,"2,112",100,DS,0.1,59,2.8,"1,021",48.3,540,25.6,457,21.6,DS,0.1,31,1.5,133,6.3,47,2.2,323,15.3,"1,404",34,1,2
2nd grade males,756,58.1,DS,0.2,14,1.1,375,28.8,238,18.3,125,9.6,0,0,DS,0.2,76,5.8,15,1.2,115,8.8,"1,408",34,1,2
2nd grade females,546,41.9,DS,0.2,19,1.5,276,21.2,144,11.1,99,7.6,DS,0.2,4,0.3,26,2,11,0.8,89,6.8,"1,408",34,1,2
2nd grade total,"1,302",100,4,0.3,33,2.5,651,50,382,29.3,224,17.2,DS,0.2,6,0.5,102,7.8,26,2,204,15.7,"1,408",34,1,2
3rd grade males,531,56.3,0,0,12,1.3,247,26.2,182,19.3,88,9.3,0,0,DS,0.2,47,5,10,1.1,68,7.2,"1,402",34,1,2
3rd grade females,412,43.7,0,0,9,1,217,23,115,12.2,69,7.3,0,0,DS,0.2,16,1.7,10,1.1,69,7.3,"1,402",34,1,2
3rd grade total,943,100,0,0,21,2.2,464,49.2,297,31.5,157,16.6,0,0,4,0.4,63,6.7,20,2.1,137,14.5,"1,402",34,1,2
4th grade males,385,57.1,0,0,9,1.3,171,25.4,121,18,80,11.9,DS,0.3,DS,0.3,27,4,11,1.6,36,5.3,"1,367",34,1,2
4th grade females,289,42.9,DS,0.3,6,0.9,135,20,77,11.4,67,9.9,0,0,DS,0.3,20,3,9,1.3,25,3.7,"1,367",34,1,2
4th grade total,674,100,DS,0.3,15,2.2,306,45.4,198,29.4,147,21.8,DS,0.3,4,0.6,47,7,20,3,61,9.1,"1,367",34,1,2
5th grade males,415,67.3,0,0,17,2.8,179,29,148,24,69,11.2,0,0,DS,0.3,49,7.9,12,1.9,37,6,"1,275",34,1,2
5th grade females,202,32.7,0,0,5,0.8,80,13,67,10.9,48,7.8,0,0,DS,0.3,13,2.1,DS,0.3,12,1.9,"1,275",34,1,2
5th grade total,617,100,0,0,22,3.6,259,42,215,34.8,117,19,0,0,4,0.6,62,10,14,2.3,49,7.9,"1,275",34,1,2
6th grade males,694,62.4,DS,0.2,21,1.9,265,23.8,244,21.9,158,14.2,0,0,4,0.4,56,5,25,2.2,31,2.8,887,34,1,2
6th grade females,419,37.6,0,0,13,1.2,115,10.3,145,13,142,12.8,0,0,4,0.4,28,2.5,5,0.4,15,1.3,887,34,1,2
