Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians 	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiians or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"6,651"	43.5	505	3.3	221	1.4	"2,843"	18.6	111	0.7	"2,864"	18.7	4	0	103	0.7	149	1	181	1.2	92	35	4	8
At least one AP course females	"8,652"	56.5	690	4.5	259	1.7	"4,012"	26.2	169	1.1	"3,402"	22.2	11	0.1	109	0.7	87	0.6	264	1.7	92	35	4	8
At least one AP course total	"15,303"	100	"1,195"	7.8	480	3.1	"6,855"	44.8	280	1.8	"6,266"	40.9	15	0.1	212	1.4	236	1.5	445	2.9	92	35	4	8
AP mathematics males	"1,097"	51.7	66	3.1	71	3.3	372	17.5	10	0.5	563	26.5	DS	0.1	13	0.6	11	0.5	9	0.4	92	35	4	8
AP mathematics females	"1,025"	48.3	64	3	68	3.2	352	16.6	13	0.6	507	23.9	DS	0.1	19	0.9	10	0.5	14	0.7	92	35	4	8
AP mathematics total	"2,122"	100	130	6.1	139	6.6	724	34.1	23	1.1	"1,070"	50.4	4	0.2	32	1.5	21	1	23	1.1	92	35	4	8
AP science males	"1,308"	49.8	74	2.8	86	3.3	470	17.9	23	0.9	626	23.8	0	0	29	1.1	18	0.7	16	0.6	92	35	4	8
AP science females	"1,321"	50.2	81	3.1	88	3.3	514	19.6	22	0.8	590	22.4	0	0	26	1	5	0.2	16	0.6	92	35	4	8
AP science total	"2,629"	100	155	5.9	174	6.6	984	37.4	45	1.7	"1,216"	46.3	0	0	55	2.1	23	0.9	32	1.2	92	35	4	8
AP foreign language males	395	36.3	0	0	DS	0.2	336	30.9	DS	0.2	53	4.9	0	0	DS	0.2	8	0.7	107	9.8	92	35	4	8
AP foreign language females	692	63.7	DS	0.2	7	0.6	578	53.2	0	0	103	9.5	DS	0.2	0	0	DS	0.2	147	13.5	92	35	4	8
AP foreign language total	"1,087"	100	DS	0.2	9	0.8	914	84.1	DS	0.2	156	14.4	DS	0.2	DS	0.2	10	0.9	254	23.4	92	35	4	8
Other AP subjects males	"5,082"	42.2	389	3.2	165	1.4	"2,137"	17.7	93	0.8	"2,211"	18.4	DS	0	85	0.7	116	1	55	0.5	92	35	4	8
Other AP subjects females	"6,967"	57.8	542	4.5	216	1.8	"3,110"	25.8	148	1.2	"2,848"	23.6	8	0.1	95	0.8	69	0.6	92	0.8	92	35	4	8
Other AP subjects total	"12,049"	100	931	7.7	381	3.2	"5,247"	43.5	241	2	"5,059"	42	10	0.1	180	1.5	185	1.5	147	1.2	92	35	4	8
