Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native ,Percent of American Indian or Alaska Native ,Number of Asians ,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,568,63.4,86,9.6,DS,0.2,341,38.1,10,1.1,125,14,0,0,4,0.4,146,16.3,0,0,196,21.9,421,35,4,8
Kindergarten females,328,36.6,44,4.9,DS,0.2,225,25.1,DS,0.2,53,5.9,0,0,DS,0.2,55,6.1,DS,0.2,121,13.5,421,35,4,8
Kindergarten total,896,100,130,14.5,4,0.4,566,63.2,12,1.3,178,19.9,0,0,6,0.7,201,22.4,DS,0.2,317,35.4,421,35,4,8
1st grade males,413,58.5,48,6.8,DS,0.3,290,41.1,6,0.8,63,8.9,DS,0.3,DS,0.3,73,10.3,DS,0.3,126,17.8,433,35,4,8
1st grade females,293,41.5,37,5.2,DS,0.3,194,27.5,DS,0.3,54,7.6,DS,0.3,DS,0.3,41,5.8,DS,0.3,85,12,433,35,4,8
1st grade total,706,100,85,12,4,0.6,484,68.6,8,1.1,117,16.6,4,0.6,4,0.6,114,16.1,4,0.6,211,29.9,433,35,4,8
2nd grade males,245,54.3,46,10.2,DS,0.4,145,32.2,6,1.3,42,9.3,DS,0.4,DS,0.4,41,9.1,DS,0.4,88,19.5,434,35,4,8
2nd grade females,206,45.7,31,6.9,0,0,132,29.3,4,0.9,39,8.6,0,0,0,0,21,4.7,DS,0.4,68,15.1,434,35,4,8
2nd grade total,451,100,77,17.1,DS,0.4,277,61.4,10,2.2,81,18,DS,0.4,DS,0.4,62,13.7,4,0.9,156,34.6,434,35,4,8
3rd grade males,137,55.2,20,8.1,DS,0.8,95,38.3,0,0,18,7.3,0,0,DS,0.8,27,10.9,DS,0.8,56,22.6,434,35,4,8
3rd grade females,111,44.8,18,7.3,0,0,82,33.1,0,0,11,4.4,0,0,0,0,10,4,0,0,31,12.5,434,35,4,8
3rd grade total,248,100,38,15.3,DS,0.8,177,71.4,0,0,29,11.7,0,0,DS,0.8,37,14.9,DS,0.8,87,35.1,434,35,4,8
4th grade males,67,54.9,13,10.7,0,0,43,35.2,DS,1.6,9,7.4,0,0,0,0,10,8.2,0,0,19,15.6,437,35,4,8
4th grade females,55,45.1,5,4.1,0,0,33,27,DS,1.6,15,12.3,0,0,0,0,11,9,DS,1.6,19,15.6,437,35,4,8
4th grade total,122,100,18,14.8,0,0,76,62.3,4,3.3,24,19.7,0,0,0,0,21,17.2,DS,1.6,38,31.1,437,35,4,8
5th grade males,51,59.3,5,5.8,0,0,35,40.7,0,0,11,12.8,0,0,0,0,11,12.8,0,0,21,24.4,440,35,4,8
5th grade females,35,40.7,5,5.8,0,0,26,30.2,0,0,DS,2.3,0,0,DS,2.3,7,8.1,0,0,9,10.5,440,35,4,8
5th grade total,86,100,10,11.6,0,0,61,70.9,0,0,13,15.1,0,0,DS,2.3,18,20.9,0,0,30,34.9,440,35,4,8
6th grade males,68,64.2,7,6.6,0,0,41,38.7,DS,1.9,18,17,0,0,0,0,8,7.5,0,0,11,10.4,313,35,4,8
6th grade females,38,35.8,4,3.8,0,0,21,19.8,DS,1.9,11,10.4,0,0,0,0,DS,1.9,0,0,DS,1.9,313,35,4,8
6th grade total,106,100,11,10.4,0,0,62,58.5,4,3.8,29,27.4,0,0,0,0,10,9.4,0,0,13,12.3,313,35,4,8
7th grade males,116,69.9,32,19.3,0,0,60,36.1,DS,1.2,20,12,0,0,DS,1.2,12,7.2,DS,1.2,24,14.5,225,35,4,8
7th grade females,50,30.1,17,10.2,0,0,21,12.7,DS,1.2,8,4.8,0,0,DS,1.2,4,2.4,0,0,8,4.8,225,35,4,8
7th grade total,166,100,49,29.5,0,0,81,48.8,4,2.4,28,16.9,0,0,4,2.4,16,9.6,DS,1.2,32,19.3,225,35,4,8
8th grade males,143,61.9,35,15.2,DS,0.9,70,30.3,DS,0.9,34,14.7,0,0,0,0,26,11.3,DS,0.9,25,10.8,234,35,4,8
8th grade females,88,38.1,22,9.5,0,0,48,20.8,DS,0.9,16,6.9,0,0,0,0,17,7.4,DS,0.9,9,3.9,234,35,4,8
8th grade total,231,100,57,24.7,DS,0.9,118,51.1,4,1.7,50,21.6,0,0,0,0,43,18.6,4,1.7,34,14.7,234,35,4,8
9th grade males,"1,638",59.3,194,7,13,0.5,"1,097",39.7,32,1.2,284,10.3,DS,0.1,16,0.6,264,9.6,15,0.5,310,11.2,205,35,4,8
9th grade females,"1,126",40.7,127,4.6,7,0.3,787,28.5,20,0.7,165,6,DS,0.1,18,0.7,122,4.4,14,0.5,239,8.6,205,35,4,8
9th grade total,"2,764",100,321,11.6,20,0.7,"1,884",68.2,52,1.9,449,16.2,4,0.1,34,1.2,386,14,29,1,549,19.9,205,35,4,8
10th grade males,"1,307",58.4,128,5.7,8,0.4,810,36.2,42,1.9,289,12.9,DS,0.1,28,1.3,234,10.5,6,0.3,209,9.3,209,35,4,8
10th grade females,930,41.6,104,4.6,10,0.4,619,27.7,28,1.3,158,7.1,0,0,11,0.5,101,4.5,7,0.3,178,8,209,35,4,8
10th grade total,"2,237",100,232,10.4,18,0.8,"1,429",63.9,70,3.1,447,20,DS,0.1,39,1.7,335,15,13,0.6,387,17.3,209,35,4,8
11th grade males,767,58.2,87,6.6,8,0.6,498,37.8,19,1.4,141,10.7,DS,0.2,12,0.9,122,9.3,4,0.3,118,9,208,35,4,8
