Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native 	Percent of American Indian or Alaska Native 	Number of Asians 	Percent of Asians 	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race 	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"6,184"	40.9	33	0.2	911	6	"1,425"	9.4	289	1.9	"3,055"	20.2	86	0.6	385	2.5	49	0.3	47	0.3	82	32	4	8
At least one AP course females	"8,930"	59.1	58	0.4	"1,125"	7.4	"2,302"	15.2	538	3.6	"4,186"	27.7	147	1	574	3.8	50	0.3	82	0.5	82	32	4	8
At least one AP course total	"15,114"	100	91	0.6	"2,036"	13.5	"3,727"	24.7	827	5.5	"7,241"	47.9	233	1.5	959	6.3	99	0.7	129	0.9	82	32	4	8
AP mathematics males	"1,760"	53.5	8	0.2	288	8.8	306	9.3	59	1.8	972	29.5	22	0.7	105	3.2	5	0.2	13	0.4	82	32	4	8
AP mathematics females	"1,530"	46.5	10	0.3	283	8.6	255	7.8	64	1.9	795	24.2	27	0.8	96	2.9	DS	0.1	9	0.3	82	32	4	8
AP mathematics total	"3,290"	100	18	0.5	571	17.4	561	17.1	123	3.7	"1,767"	53.7	49	1.5	201	6.1	7	0.2	22	0.7	82	32	4	8
AP science males	"1,505"	49.2	10	0.3	303	9.9	266	8.7	52	1.7	748	24.5	26	0.9	100	3.3	7	0.2	9	0.3	82	32	4	8
AP science females	"1,552"	50.8	12	0.4	294	9.6	309	10.1	81	2.6	716	23.4	30	1	110	3.6	8	0.3	14	0.5	82	32	4	8
AP science total	"3,057"	100	22	0.7	597	19.5	575	18.8	133	4.4	"1,464"	47.9	56	1.8	210	6.9	15	0.5	23	0.8	82	32	4	8
AP foreign language males	631	41.1	DS	0.1	70	4.6	213	13.9	9	0.6	306	19.9	5	0.3	26	1.7	5	0.3	11	0.7	82	32	4	8
AP foreign language females	906	58.9	6	0.4	91	5.9	406	26.4	30	2	332	21.6	6	0.4	35	2.3	4	0.3	29	1.9	82	32	4	8
AP foreign language total	"1,537"	100	8	0.5	161	10.5	619	40.3	39	2.5	638	41.5	11	0.7	61	4	9	0.6	40	2.6	82	32	4	8
Other AP subjects males	"4,949"	40	26	0.2	763	6.2	"1,110"	9	234	1.9	"2,417"	19.5	75	0.6	324	2.6	36	0.3	23	0.2	82	32	4	8
Other AP subjects females	"7,416"	60	40	0.3	994	8	"1,821"	14.7	469	3.8	"3,473"	28.1	124	1	495	4	41	0.3	50	0.4	82	32	4	8
Other AP subjects total	"12,365"	100	66	0.5	"1,757"	14.2	"2,931"	23.7	703	5.7	"5,890"	47.6	199	1.6	819	6.6	77	0.6	73	0.6	82	32	4	8
