Advanced Placement Course by gender	Number of Total Students	Percent of Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians 	Percent of Asians	Number of Hispanic or Latino of any race 	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of English Language Learners	Percent of English Language Learners	Number of Schools	State_ID	Region_ID	Division_ID
At least one AP course males	"60,329"	44.3	143	0.1	"9,379"	6.9	"6,798"	5	"4,922"	3.6	"38,798"	28.5	55	0	234	0.2	"1,421"	1	992	0.7	843	36	1	2
At least one AP course females	"75,937"	55.7	186	0.1	"11,158"	8.2	"9,469"	6.9	"7,827"	5.7	"46,905"	34.4	60	0	332	0.2	841	0.6	"1,222"	0.9	843	36	1	2
At least one AP course total	"136,266"	100	329	0.2	"20,537"	15.1	"16,267"	11.9	"12,749"	9.4	"85,703"	62.9	115	0.1	566	0.4	"2,262"	1.7	"2,214"	1.6	843	36	1	2
AP mathematics males	"13,580"	50.7	26	0.1	"3,082"	11.5	972	3.6	724	2.7	"8,725"	32.6	13	0	38	0.1	167	0.6	185	0.7	843	36	1	2
AP mathematics females	"13,224"	49.3	16	0.1	"3,076"	11.5	"1,043"	3.9	901	3.4	"8,131"	30.3	9	0	48	0.2	65	0.2	204	0.8	843	36	1	2
AP mathematics total	"26,804"	100	42	0.2	"6,158"	23	"2,015"	7.5	"1,625"	6.1	"16,856"	62.9	22	0.1	86	0.3	232	0.9	389	1.5	843	36	1	2
AP science males	"18,859"	47.9	39	0.1	"3,814"	9.7	"1,413"	3.6	"1,047"	2.7	"12,464"	31.6	11	0	71	0.2	254	0.6	95	0.2	843	36	1	2
AP science females	"20,536"	52.1	28	0.1	"4,010"	10.2	"1,608"	4.1	"1,633"	4.1	"13,161"	33.4	15	0	81	0.2	109	0.3	98	0.2	843	36	1	2
AP science total	"39,395"	100	67	0.2	"7,824"	19.9	"3,021"	7.7	"2,680"	6.8	"25,625"	65	26	0.1	152	0.4	363	0.9	193	0.5	843	36	1	2
AP foreign language males	"4,516"	37.7	6	0.1	780	6.5	"1,779"	14.8	170	1.4	"1,766"	14.7	DS	0	13	0.1	81	0.7	613	5.1	843	36	1	2
AP foreign language females	"7,472"	62.3	10	0.1	"1,201"	10	"2,834"	23.6	345	2.9	"3,061"	25.5	DS	0	19	0.2	68	0.6	819	6.8	843	36	1	2
AP foreign language total	"11,988"	100	16	0.1	"1,981"	16.5	"4,613"	38.5	515	4.3	"4,827"	40.3	4	0	32	0.3	149	1.2	"1,432"	11.9	843	36	1	2
Other AP subjects males	"42,995"	43	96	0.1	"6,251"	6.3	"4,241"	4.2	"3,871"	3.9	"28,336"	28.3	37	0	163	0.2	960	1	239	0.2	843	36	1	2
Other AP subjects females	"56,998"	57	159	0.2	"8,078"	8.1	"6,095"	6.1	"6,422"	6.4	"35,961"	36	44	0	239	0.2	571	0.6	236	0.2	843	36	1	2
Other AP subjects total	"99,993"	100	255	0.3	"14,329"	14.3	"10,336"	10.3	"10,293"	10.3	"64,297"	64.3	81	0.1	402	0.4	"1,531"	1.5	475	0.5	843	36	1	2
