Grade by gender,Number of Total Students,Percent of Total Students,Number of American Indian or Alaska Native ,Percent of American Indian or Alaska Native ,Number of Asians ,Percent of Asians ,Number of Hispanic or Latino of any race ,Percent of Hispanic or Latino of any race,Number of Black or African American ,Percent of Black or African American ,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of Students With Disabilities Served Under IDEA,Percent of Students With Disabilities Served Under IDEA,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of English Language Learners,Percent of English Language Learners,Number of Schools,State_ID,Region_ID,Division_ID
Kindergarten males,"2,760",64,31,0.7,128,3,827,19.2,631,14.6,"1,082",25.1,9,0.2,52,1.2,614,14.2,37,0.9,499,11.6,"2,494",36,1,2
Kindergarten females,"1,550",36,14,0.3,63,1.5,534,12.4,375,8.7,531,12.3,6,0.1,27,0.6,276,6.4,15,0.3,292,6.8,"2,494",36,1,2
Kindergarten total,"4,310",100,45,1,191,4.4,"1,361",31.6,"1,006",23.3,"1,613",37.4,15,0.3,79,1.8,890,20.6,52,1.2,791,18.4,"2,494",36,1,2
1st grade males,"3,715",57.7,32,0.5,158,2.5,"1,492",23.2,"1,307",20.3,675,10.5,12,0.2,39,0.6,657,10.2,32,0.5,828,12.9,"2,537",36,1,2
1st grade females,"2,728",42.3,30,0.5,124,1.9,"1,229",19.1,820,12.7,489,7.6,10,0.2,26,0.4,362,5.6,15,0.2,671,10.4,"2,537",36,1,2
1st grade total,"6,443",100,62,1,282,4.4,"2,721",42.2,"2,127",33,"1,164",18.1,22,0.3,65,1,"1,019",15.8,47,0.7,"1,499",23.3,"2,537",36,1,2
2nd grade males,"2,646",57.5,29,0.6,152,3.3,"1,090",23.7,967,21,378,8.2,5,0.1,25,0.5,594,12.9,22,0.5,719,15.6,"2,524",36,1,2
2nd grade females,"1,952",42.5,16,0.3,89,1.9,894,19.4,664,14.4,266,5.8,8,0.2,15,0.3,333,7.2,13,0.3,543,11.8,"2,524",36,1,2
2nd grade total,"4,598",100,45,1,241,5.2,"1,984",43.1,"1,631",35.5,644,14,13,0.3,40,0.9,927,20.2,35,0.8,"1,262",27.4,"2,524",36,1,2
3rd grade males,"2,140",56.8,12,0.3,72,1.9,785,20.8,"1,049",27.8,209,5.5,DS,0.1,11,0.3,421,11.2,30,0.8,265,7,"2,492",36,1,2
3rd grade females,"1,627",43.2,18,0.5,47,1.2,649,17.2,759,20.1,143,3.8,DS,0.1,9,0.2,203,5.4,23,0.6,228,6.1,"2,492",36,1,2
3rd grade total,"3,767",100,30,0.8,119,3.2,"1,434",38.1,"1,808",48,352,9.3,4,0.1,20,0.5,624,16.6,53,1.4,493,13.1,"2,492",36,1,2
4th grade males,"1,066",57.2,9,0.5,50,2.7,363,19.5,504,27,134,7.2,4,0.2,DS,0.1,210,11.3,25,1.3,198,10.6,"2,443",36,1,2
4th grade females,798,42.8,DS,0.1,21,1.1,305,16.4,375,20.1,91,4.9,DS,0.1,DS,0.1,100,5.4,17,0.9,153,8.2,"2,443",36,1,2
4th grade total,"1,864",100,11,0.6,71,3.8,668,35.8,879,47.2,225,12.1,6,0.3,4,0.2,310,16.6,42,2.3,351,18.8,"2,443",36,1,2
5th grade males,924,57.8,5,0.3,32,2,317,19.8,446,27.9,118,7.4,DS,0.1,4,0.3,172,10.8,20,1.3,161,10.1,"2,379",36,1,2
5th grade females,675,42.2,DS,0.1,26,1.6,247,15.4,330,20.6,66,4.1,DS,0.1,DS,0.1,69,4.3,10,0.6,150,9.4,"2,379",36,1,2
5th grade total,"1,599",100,7,0.4,58,3.6,564,35.3,776,48.5,184,11.5,4,0.3,6,0.4,241,15.1,30,1.9,311,19.4,"2,379",36,1,2
6th grade males,"1,312",57.1,16,0.7,37,1.6,483,21,576,25.1,184,8,10,0.4,6,0.3,228,9.9,34,1.5,215,9.4,"1,736",36,1,2
6th grade females,986,42.9,11,0.5,19,0.8,382,16.6,475,20.7,95,4.1,DS,0.1,DS,0.1,92,4,8,0.3,139,6,"1,736",36,1,2
6th grade total,"2,298",100,27,1.2,56,2.4,865,37.6,"1,051",45.7,279,12.1,12,0.5,8,0.3,320,13.9,42,1.8,354,15.4,"1,736",36,1,2
7th grade males,"1,801",60.2,18,0.6,55,1.8,497,16.6,793,26.5,418,14,4,0.1,16,0.5,328,11,43,1.4,219,7.3,"1,525",36,1,2
7th grade females,"1,190",39.8,15,0.5,20,0.7,391,13.1,540,18.1,210,7,DS,0.1,12,0.4,154,5.1,16,0.5,152,5.1,"1,525",36,1,2
7th grade total,"2,991",100,33,1.1,75,2.5,888,29.7,"1,333",44.6,628,21,6,0.2,28,0.9,482,16.1,59,2,371,12.4,"1,525",36,1,2
8th grade males,"1,648",59.2,13,0.5,71,2.5,528,19,643,23.1,377,13.5,10,0.4,6,0.2,310,11.1,33,1.2,276,9.9,"1,499",36,1,2
8th grade females,"1,138",40.8,9,0.3,36,1.3,443,15.9,467,16.8,179,6.4,DS,0.1,DS,0.1,155,5.6,13,0.5,193,6.9,"1,499",36,1,2
8th grade total,"2,786",100,22,0.8,107,3.8,971,34.9,"1,110",39.8,556,20,12,0.4,8,0.3,465,16.7,46,1.7,469,16.8,"1,499",36,1,2
9th grade males,"4,180",62.3,23,0.3,104,1.6,877,13.1,"1,468",21.9,"1,674",25,DS,0,32,0.5,"1,097",16.4,74,1.1,387,5.8,"1,401",36,1,2
9th grade females,"2,529",37.7,14,0.2,56,0.8,535,8,993,14.8,913,13.6,0,0,18,0.3,490,7.3,39,0.6,246,3.7,"1,401",36,1,2
9th grade total,"6,709",100,37,0.6,160,2.4,"1,412",21,"2,461",36.7,"2,587",38.6,DS,0,50,0.7,"1,587",23.7,113,1.7,633,9.4,"1,401",36,1,2
10th grade males,"2,617",62,20,0.5,108,2.6,556,13.2,813,19.3,"1,094",25.9,DS,0,24,0.6,700,16.6,74,1.8,275,6.5,"1,396",36,1,2
10th grade females,"1,601",38,9,0.2,56,1.3,372,8.8,549,13,597,14.2,DS,0,16,0.4,360,8.5,23,0.5,156,3.7,"1,396",36,1,2
10th grade total,"4,218",100,29,0.7,164,3.9,928,22,"1,362",32.3,"1,691",40.1,4,0.1,40,0.9,"1,060",25.1,97,2.3,431,10.2,"1,396",36,1,2
11th grade males,"1,469",61.1,9,0.4,57,2.4,336,14,427,17.7,629,26.1,0,0,11,0.5,399,16.6,45,1.9,137,5.7,"1,370",36,1,2
11th grade females,937,38.9,9,0.4,31,1.3,234,9.7,292,12.1,362,15,DS,0.1,7,0.3,193,8,13,0.5,112,4.7,"1,370",36,1,2
11th grade total,"2,406",100,18,0.7,88,3.7,570,23.7,719,29.9,991,41.2,DS,0.1,18,0.7,592,24.6,58,2.4,249,10.3,"1,370",36,1,2
12th grade males,"2,731",59,15,0.3,84,1.8,581,12.6,718,15.5,"1,308",28.3,DS,0,23,0.5,719,15.5,60,1.3,199,4.3,"1,344",36,1,2
12th grade females,"1,895",41,15,0.3,74,1.6,428,9.3,553,12,815,17.6,DS,0,8,0.2,348,7.5,37,0.8,176,3.8,"1,344",36,1,2
12th grade total,"4,626",100,30,0.6,158,3.4,"1,009",21.8,"1,271",27.5,"2,123",45.9,4,0.1,31,0.7,"1,067",23.1,97,2.1,375,8.1,"1,344",36,1,2
