State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"105,649"	"1,224"	1.2	"3,227"	3.1	"29,976"	28.4	"32,482"	30.7	"36,172"	34.2	335	0.3	"2,233"	2.1	"19,813"	18.8	"2,123"	2	"11,015"	10.4	"24,780"
Alabama		1	3	6	"2,562"	12	0.5	13	0.5	78	3	"1,483"	57.9	964	37.6	DS	0.1	10	0.4	345	13.5	12	0.5	45	1.8	433
Alaska		2	4	9	56	41	73.2	DS	3.6	DS	3.6	0	0	9	16.1	0	0	DS	3.6	DS	3.6	0	0	17	30.4	276
Arizona		4	4	8	"1,704"	122	7.2	10	0.6	682	40	94	5.5	674	39.6	7	0.4	115	6.7	216	12.7	18	1.1	77	4.5	529
Arkansas		5	3	7	"1,583"	DS	0.1	40	2.5	154	9.7	928	58.6	436	27.5	12	0.8	11	0.7	211	13.3	27	1.7	125	7.9	298
California		6	4	9	"11,383"	82	0.7	"1,533"	13.5	"7,013"	61.6	"1,027"	9	"1,463"	12.9	89	0.8	176	1.5	"1,705"	15	106	0.9	"4,727"	41.5	"2,500"
Colorado		8	4	8	758	9	1.2	15	2	493	65	82	10.8	152	20.1	DS	0.3	5	0.7	124	16.4	6	0.8	178	23.5	457
Connecticut		9	1	1	868	4	0.5	10	1.2	251	28.9	210	24.2	367	42.3	0	0	26	3	187	21.5	35	4	71	8.2	244
Delaware		10	3	5	404	0	0	5	1.2	40	9.9	211	52.2	146	36.1	0	0	DS	0.5	92	22.8	10	2.5	11	2.7	65
District of Columbia		11	3	5	193	0	0	DS	1	18	9.3	167	86.5	DS	1	DS	1	DS	1	67	34.7	DS	1	6	3.1	39
Florida		12	3	5	"7,291"	31	0.4	89	1.2	"1,675"	23	"2,335"	32	"2,939"	40.3	8	0.1	214	2.9	"1,374"	18.8	145	2	484	6.6	"1,092"
Georgia		13	3	5	"7,710"	13	0.2	159	2.1	"1,026"	13.3	"3,975"	51.6	"2,359"	30.6	6	0.1	172	2.2	"1,175"	15.2	44	0.6	257	3.3	572
Hawaii		15	4	9	41	0	0	8	19.5	0	0	DS	4.9	8	19.5	21	51.2	DS	4.9	9	22	DS	4.9	4	9.8	66
Idaho		16	4	8	198	DS	1	DS	1	27	13.6	4	2	159	80.3	DS	1	DS	1	33	16.7	4	2	5	2.5	218
Illinois		17	2	3	"5,836"	10	0.2	100	1.7	"1,951"	33.4	"1,995"	34.2	"1,651"	28.3	8	0.1	121	2.1	"1,262"	21.6	74	1.3	375	6.4	893
Indiana		18	2	3	496	DS	0.4	DS	0.4	25	5	105	21.2	348	70.2	0	0	14	2.8	153	30.8	DS	0.4	6	1.2	424
Iowa		19	2	4	585	7	1.2	DS	0.3	96	16.4	63	10.8	388	66.3	DS	0.3	27	4.6	89	15.2	DS	0.3	31	5.3	401
Kansas		20	2	4	382	8	2.1	DS	0.5	116	30.4	60	15.7	187	49	0	0	9	2.4	67	17.5	9	2.4	49	12.8	380
Kentucky		21	3	6	"1,503"	DS	0.1	10	0.7	61	4.1	353	23.5	"1,047"	69.7	DS	0.1	28	1.9	232	15.4	26	1.7	35	2.3	392
Louisiana		22	3	7	"1,463"	12	0.8	12	0.8	39	2.7	836	57.1	555	37.9	0	0	9	0.6	240	16.4	79	5.4	31	2.1	381
Maine		23	1	1	114	DS	1.8	DS	1.8	DS	1.8	4	3.5	102	89.5	0	0	DS	1.8	24	21.1	10	8.8	DS	1.8	127
Maryland		24	3	5	"3,939"	10	0.3	104	2.6	695	17.6	"2,252"	57.2	798	20.3	13	0.3	67	1.7	872	22.1	187	4.7	240	6.1	284
Massachusetts		25	1	1	"1,431"	8	0.6	45	3.1	435	30.4	257	18	624	43.6	DS	0.1	60	4.2	423	29.6	56	3.9	149	10.4	378
Michigan		26	2	3	"3,716"	36	1	55	1.5	309	8.3	"1,200"	32.3	"2,037"	54.8	DS	0.1	77	2.1	766	20.6	46	1.2	198	5.3	"1,074"
Minnesota		27	2	4	596	17	2.9	16	2.7	81	13.6	61	10.2	411	69	DS	0.3	8	1.3	121	20.3	6	1	35	5.9	760
Mississippi		28	3	6	"1,423"	DS	0.1	4	0.3	28	2	891	62.6	496	34.9	0	0	DS	0.1	123	8.6	0	0	14	1	314
Missouri		29	2	4	"1,242"	DS	0.2	12	1	49	3.9	411	33.1	741	59.7	DS	0.2	25	2	254	20.5	7	0.6	22	1.8	674
Montana		30	4	8	136	60	44.1	0	0	4	2.9	0	0	67	49.3	0	0	5	3.7	33	24.3	DS	1.5	10	7.4	169
Nebraska		31	2	4	162	5	3.1	0	0	28	17.3	15	9.3	107	66	DS	1.2	5	3.1	48	29.6	DS	1.2	7	4.3	318
Nevada		32	4	8	"2,789"	21	0.8	106	3.8	"1,321"	47.4	496	17.8	705	25.3	37	1.3	103	3.7	421	15.1	44	1.6	437	15.7	143
New Hampshire		33	1	1	509	DS	0.4	6	1.2	52	10.2	27	5.3	418	82.1	DS	0.4	DS	0.4	129	25.3	30	5.9	13	2.6	89
New Jersey		34	1	2	"1,698"	DS	0.1	41	2.4	714	42	624	36.7	306	18	6	0.4	5	0.3	303	17.8	24	1.4	128	7.5	516
New Mexico		35	4	8	"1,307"	128	9.8	8	0.6	810	62	42	3.2	289	22.1	DS	0.2	28	2.1	234	17.9	6	0.5	209	16	209
New York		36	1	2	"2,617"	20	0.8	108	4.1	556	21.2	813	31.1	"1,094"	41.8	DS	0.1	24	0.9	700	26.7	74	2.8	275	10.5	"1,396"
North Carolina		37	3	5	"4,691"	96	2	61	1.3	674	14.4	"2,031"	43.3	"1,698"	36.2	4	0.1	127	2.7	985	21	181	3.9	324	6.9	613
North Dakota		38	2	4	83	37	44.6	5	6	DS	2.4	4	4.8	35	42.2	0	0	0	0	21	25.3	DS	2.4	21	25.3	167
Ohio		39	2	3	"3,053"	5	0.2	17	0.6	161	5.3	"1,471"	48.2	"1,261"	41.3	DS	0.1	136	4.5	725	23.7	17	0.6	87	2.8	951
Oklahoma		40	3	7	868	147	16.9	DS	0.2	154	17.7	144	16.6	385	44.4	5	0.6	31	3.6	182	21	5	0.6	46	5.3	502
Oregon		41	9	4	337	6	1.8	9	2.7	46	13.6	14	4.2	242	71.8	DS	0.6	18	5.3	75	22.3	6	1.8	13	3.9	358
Pennsylvania		42	1	2	"2,963"	10	0.3	48	1.6	476	16.1	985	33.2	"1,391"	46.9	DS	0.1	51	1.7	714	24.1	28	0.9	105	3.5	808
Rhode Island		44	1	1	348	DS	0.6	DS	0.6	124	35.6	51	14.7	159	45.7	DS	0.6	8	2.3	86	24.7	8	2.3	32	9.2	58
South Carolina		45	3	5	"3,062"	7	0.2	20	0.7	198	6.5	"1,424"	46.5	"1,318"	43	7	0.2	88	2.9	592	19.3	51	1.7	150	4.9	267
South Dakota		46	2	4	403	97	24.1	5	1.2	19	4.7	19	4.7	255	63.3	DS	0.5	6	1.5	61	15.1	DS	0.5	12	3	187
Tennessee		47	3	6	"2,292"	4	0.2	24	1	73	3.2	"1,081"	47.2	"1,102"	48.1	0	0	8	0.3	416	18.2	26	1.1	93	4.1	403
Texas		48	3	7	"14,315"	66	0.5	245	1.7	"8,129"	56.8	"2,430"	17	"3,216"	22.5	18	0.1	211	1.5	"2,414"	16.9	519	3.6	"1,285"	9	"2,179"
Utah		49	4	8	261	9	3.4	DS	0.8	46	17.6	5	1.9	197	75.5	DS	0.8	0	0	75	28.7	6	2.3	22	8.4	205
Vermont		50	1	1	114	DS	1.8	DS	1.8	4	3.5	DS	1.8	100	87.7	DS	1.8	DS	1.8	22	19.3	10	8.8	0	0	64
Virginia		51	3	5	"2,594"	15	0.6	87	3.4	325	12.5	"1,124"	43.3	971	37.4	4	0.2	68	2.6	641	24.7	71	2.7	234	9	427
Washington		53	4	9	"2,100"	34	1.6	145	6.9	561	26.7	233	11.1	956	45.5	51	2.4	120	5.7	351	16.7	81	3.9	251	12	636
West Virginia		54	3	5	553	0	0	DS	0.4	5	0.9	53	9.6	489	88.4	0	0	4	0.7	80	14.5	DS	0.4	DS	0.4	157
Wisconsin		55	2	3	825	11	1.3	29	3.5	129	15.6	384	46.5	268	32.5	DS	0.2	DS	0.2	301	36.5	12	1.5	62	7.5	599
Wyoming		56	4	8	115	6	5.2	DS	1.7	22	19.1	5	4.3	80	69.6	0	0	0	0	37	32.2	DS	1.7	4	3.5	88
