State	Nation_ID	State_ID	Region_ID	Division_ID	Total Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"76,921"	"1,012"	1.3	"3,045"	4	"23,094"	30	"20,706"	26.9	"27,088"	35.2	296	0.4	"1,680"	2.2	"14,336"	18.6	"1,497"	1.9	"8,117"	10.6	"24,812"
Alabama		1	3	6	"1,209"	6	0.5	6	0.5	41	3.4	744	61.5	401	33.2	0	0	11	0.9	143	11.8	9	0.7	20	1.7	433
Alaska		2	4	9	252	54	21.4	6	2.4	24	9.5	17	6.7	113	44.8	8	3.2	30	11.9	32	12.7	DS	0.8	23	9.1	273
Arizona		4	4	8	"1,731"	99	5.7	14	0.8	666	38.5	75	4.3	741	42.8	7	0.4	129	7.5	263	15.2	17	1	45	2.6	521
Arkansas		5	3	7	"1,156"	4	0.3	29	2.5	132	11.4	657	56.8	324	28	4	0.3	6	0.5	131	11.3	21	1.8	96	8.3	299
California		6	4	9	"9,326"	72	0.8	"1,524"	16.3	"5,430"	58.2	764	8.2	"1,322"	14.2	85	0.9	129	1.4	"1,374"	14.7	86	0.9	"3,398"	36.4	"2,511"
Colorado		8	4	8	636	7	1.1	7	1.1	385	60.5	70	11	144	22.6	DS	0.3	21	3.3	66	10.4	12	1.9	119	18.7	454
Connecticut		9	1	1	820	9	1.1	14	1.7	217	26.5	229	27.9	335	40.9	0	0	16	2	150	18.3	34	4.1	59	7.2	243
Delaware		10	3	5	241	4	1.7	5	2.1	26	10.8	108	44.8	96	39.8	0	0	DS	0.8	49	20.3	5	2.1	4	1.7	65
District of Columbia		11	3	5	127	DS	1.6	DS	1.6	17	13.4	106	83.5	0	0	0	0	0	0	45	35.4	0	0	5	3.9	39
Florida		12	3	5	"6,768"	23	0.3	84	1.2	"1,724"	25.5	"1,937"	28.6	"2,797"	41.3	10	0.1	193	2.9	"1,219"	18	154	2.3	438	6.5	"1,098"
Georgia		13	3	5	"3,406"	16	0.5	75	2.2	350	10.3	"1,813"	53.2	"1,069"	31.4	DS	0.1	81	2.4	524	15.4	20	0.6	73	2.1	570
Hawaii		15	4	9	41	0	0	8	19.5	0	0	DS	4.9	8	19.5	21	51.2	DS	4.9	9	22	DS	4.9	4	9.8	64
Idaho		16	4	8	157	DS	1.3	DS	1.3	21	13.4	DS	1.3	126	80.3	DS	1.3	DS	1.3	18	11.5	4	2.5	4	2.5	218
Illinois		17	2	3	"3,021"	14	0.5	67	2.2	871	28.8	983	32.5	"1,018"	33.7	4	0.1	64	2.1	703	23.3	42	1.4	127	4.2	884
Indiana		18	2	3	442	DS	0.5	4	0.9	27	6.1	100	22.6	297	67.2	0	0	12	2.7	148	33.5	5	1.1	12	2.7	422
Iowa		19	2	4	414	4	1	4	1	55	13.3	41	9.9	301	72.7	DS	0.5	7	1.7	57	13.8	9	2.2	18	4.3	407
Kansas		20	2	4	218	7	3.2	7	3.2	68	31.2	35	16.1	91	41.7	0	0	10	4.6	58	26.6	5	2.3	22	10.1	382
Kentucky		21	3	6	909	DS	0.2	9	1	34	3.7	191	21	662	72.8	0	0	11	1.2	138	15.2	13	1.4	18	2	398
Louisiana		22	3	7	853	6	0.7	15	1.8	33	3.9	480	56.3	315	36.9	DS	0.2	DS	0.2	104	12.2	43	5	23	2.7	378
Maine		23	1	1	85	4	4.7	DS	2.4	0	0	DS	2.4	77	90.6	0	0	0	0	19	22.4	DS	2.4	DS	2.4	129
Maryland		24	3	5	"2,596"	10	0.4	83	3.2	427	16.4	"1,398"	53.9	627	24.2	12	0.5	39	1.5	590	22.7	113	4.4	149	5.7	284
Massachusetts		25	1	1	"1,112"	DS	0.2	43	3.9	299	26.9	209	18.8	517	46.5	4	0.4	38	3.4	304	27.3	38	3.4	124	11.2	381
