State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"67,766"	"1,000"	1.5	"3,401"	5	"20,724"	30.6	"15,779"	23.3	"25,046"	37	275	0.4	"1,541"	2.3	"14,477"	21.4	924	1.4	"7,317"	10.8	"24,709"
Alabama		1	3	6	712	DS	0.3	DS	0.3	28	3.9	451	63.3	223	31.3	0	0	6	0.8	109	15.3	DS	0.3	16	2.2	431
Alaska		2	4	9	307	82	26.7	22	7.2	28	9.1	16	5.2	117	38.1	12	3.9	30	9.8	116	37.8	DS	0.7	36	11.7	274
Arizona		4	4	8	"3,318"	220	6.6	47	1.4	"1,611"	48.6	227	6.8	"1,055"	31.8	7	0.2	151	4.6	454	13.7	32	1	147	4.4	519
Arkansas		5	3	7	"1,029"	DS	0.2	34	3.3	85	8.3	648	63	249	24.2	DS	0.2	9	0.9	63	6.1	14	1.4	55	5.3	295
California		6	4	9	"9,547"	66	0.7	"1,825"	19.1	"5,110"	53.5	968	10.1	"1,356"	14.2	95	1	127	1.3	"1,868"	19.6	104	1.1	"3,085"	32.3	"2,478"
Colorado		8	4	8	"2,930"	47	1.6	64	2.2	"1,332"	45.5	183	6.2	"1,195"	40.8	9	0.3	100	3.4	607	20.7	41	1.4	341	11.6	452
Connecticut		9	1	1	413	DS	0.5	13	3.1	113	27.4	85	20.6	191	46.2	0	0	9	2.2	166	40.2	8	1.9	38	9.2	246
Delaware		10	3	5	100	DS	DS	DS	DS	9	9	42	42	43	43	0	0	DS	DS	45	45	0	0	DS	DS	59
District of Columbia		11	3	5	31	0	0	0	0	DS	6.5	29	93.5	0	0	0	0	0	0	9	29	0	0	DS	6.5	39
Florida		12	3	5	"4,144"	21	0.5	59	1.4	"1,048"	25.3	"1,578"	38.1	"1,347"	32.5	DS	0	89	2.1	728	17.6	70	1.7	357	8.6	"1,098"
Georgia		13	3	5	"2,031"	9	0.4	61	3	272	13.4	"1,016"	50	622	30.6	DS	0.1	49	2.4	566	27.9	10	0.5	73	3.6	565
Hawaii		15	4	9	24	DS	8.3	4	16.7	DS	8.3	DS	8.3	5	20.8	9	37.5	0	0	DS	8.3	DS	8.3	0	0	64
Idaho		16	4	8	197	6	3	DS	1	43	21.8	DS	1	139	70.6	0	0	5	2.5	18	9.1	8	4.1	6	3	215
Illinois		17	2	3	"2,770"	7	0.3	84	3	775	28	818	29.5	"1,027"	37.1	4	0.1	55	2	799	28.8	17	0.6	127	4.6	876
Indiana		18	2	3	656	DS	0.3	12	1.8	66	10.1	118	18	432	65.9	0	0	26	4	206	31.4	6	0.9	37	5.6	420
Iowa		19	2	4	550	5	0.9	13	2.4	96	17.5	71	12.9	349	63.5	DS	0.4	14	2.5	151	27.5	DS	0.4	27	4.9	408
Kansas		20	2	4	259	5	1.9	DS	0.8	66	25.5	53	20.5	122	47.1	0	0	11	4.2	96	37.1	5	1.9	14	5.4	382
Kentucky		21	3	6	300	0	0	DS	0.7	10	3.3	65	21.7	219	73	DS	0.7	DS	0.7	20	6.7	4	1.3	DS	0.7	403
Louisiana		22	3	7	746	4	0.5	6	0.8	37	5	469	62.9	226	30.3	0	0	4	0.5	155	20.8	15	2	29	3.9	389
Maine		23	1	1	130	DS	1.5	5	3.8	DS	1.5	12	9.2	107	82.3	0	0	DS	1.5	30	23.1	4	3.1	11	8.5	129
Maryland		24	3	5	"1,156"	5	0.4	25	2.2	136	11.8	696	60.2	269	23.3	5	0.4	20	1.7	410	35.5	25	2.2	22	1.9	282
Massachusetts		25	1	1	"1,007"	5	0.5	85	8.4	346	34.4	247	24.5	299	29.7	0	0	25	2.5	293	29.1	27	2.7	118	11.7	381
Michigan		26	2	3	"2,482"	26	1	31	1.2	164	6.6	579	23.3	"1,632"	65.8	DS	0.1	48	1.9	375	15.1	9	0.4	102	4.1	"1,069"
Minnesota		27	2	4	"1,545"	48	3.1	152	9.8	150	9.7	280	18.1	888	57.5	0	0	27	1.7	413	26.7	20	1.3	188	12.2	778
Mississippi		28	3	6	620	DS	0.3	DS	0.3	13	2.1	496	80	107	17.3	0	0	0	0	26	4.2	DS	0.3	9	1.5	320
Missouri		29	2	4	888	DS	0.2	16	1.8	24	2.7	377	42.5	455	51.2	0	0	14	1.6	317	35.7	9	1	14	1.6	682
Montana		30	4	8	37	17	45.9	0	0	0	0	DS	5.4	18	48.6	0	0	0	0	8	21.6	0	0	0	0	168
Nebraska		31	2	4	326	8	2.5	13	4	76	23.3	18	5.5	201	61.7	DS	0.6	8	2.5	126	38.7	4	1.2	38	11.7	323
Nevada		32	4	8	"1,960"	10	0.5	56	2.9	959	48.9	340	17.3	471	24	32	1.6	92	4.7	226	11.5	28	1.4	225	11.5	144
New Hampshire		33	1	1	257	DS	0.8	4	1.6	16	6.2	6	2.3	229	89.1	0	0	0	0	88	34.2	8	3.1	5	1.9	89
New Jersey		34	1	2	650	0	0	24	3.7	194	29.8	238	36.6	187	28.8	DS	0.3	5	0.8	189	29.1	7	1.1	23	3.5	509
New Mexico		35	4	8	379	65	17.2	DS	0.5	226	59.6	15	4	63	16.6	DS	0.5	6	1.6	51	13.5	DS	0.5	65	17.2	207
New York		36	1	2	"1,895"	15	0.8	74	3.9	428	22.6	553	29.2	815	43	DS	0.1	8	0.4	348	18.4	37	2	176	9.3	"1,344"
North Carolina		37	3	5	961	6	0.6	23	2.4	125	13	416	43.3	363	37.8	DS	0.2	26	2.7	272	28.3	13	1.4	63	6.6	605
North Dakota		38	2	4	75	17	22.7	DS	2.7	DS	2.7	6	8	46	61.3	0	0	DS	2.7	23	30.7	DS	2.7	12	16	167
Ohio		39	2	3	"1,769"	5	0.3	17	1	90	5.1	654	37	938	53	0	0	65	3.7	259	14.6	15	0.8	54	3.1	988
Oklahoma		40	3	7	368	59	16	4	1.1	62	16.8	57	15.5	175	47.6	DS	0.5	9	2.4	55	14.9	DS	0.5	22	6	505
Oregon		41	9	4	"1,207"	34	2.8	26	2.2	247	20.5	30	2.5	811	67.2	7	0.6	52	4.3	211	17.5	28	2.3	94	7.8	364
Pennsylvania		42	1	2	"1,731"	DS	0.1	31	1.8	211	12.2	413	23.9	"1,033"	59.7	DS	0.1	39	2.3	465	26.9	17	1	32	1.8	798
Rhode Island		44	1	1	204	DS	1	7	3.4	51	25	30	14.7	108	52.9	DS	1	4	2	64	31.4	6	2.9	5	2.5	57
South Carolina		45	3	5	736	DS	0.3	4	0.5	40	5.4	336	45.7	345	46.9	DS	0.3	7	1	181	24.6	6	0.8	21	2.9	265
South Dakota		46	2	4	150	21	14	DS	1.3	21	14	11	7.3	93	62	0	0	DS	1.3	15	10	DS	1.3	13	8.7	187
Tennessee		47	3	6	662	DS	0.3	12	1.8	20	3	373	56.3	251	37.9	DS	0.3	DS	0.3	104	15.7	4	0.6	30	4.5	406
Texas		48	3	7	"8,844"	42	0.5	216	2.4	"5,047"	57.1	"1,296"	14.7	"2,082"	23.5	18	0.2	143	1.6	"2,047"	23.1	205	2.3	988	11.2	"2,144"
Utah		49	4	8	389	7	1.8	5	1.3	55	14.1	11	2.8	297	76.3	5	1.3	9	2.3	245	63	DS	0.5	20	5.1	205
Vermont		50	1	1	94	0	0	0	0	DS	2.1	5	5.3	85	90.4	0	0	DS	2.1	35	37.2	6	6.4	DS	2.1	65
Virginia		51	3	5	"1,787"	DS	0.1	77	4.3	283	15.8	940	52.6	453	25.3	DS	0.1	30	1.7	300	16.8	18	1	185	10.4	428
Washington		53	4	9	"3,480"	78	2.2	173	5	815	23.4	194	5.6	"1,984"	57	47	1.4	189	5.4	812	23.3	69	2	286	8.2	637
West Virginia		54	3	5	683	0	0	4	0.6	DS	0.3	32	4.7	645	94.4	0	0	0	0	31	4.5	0	0	4	0.6	158
Wisconsin		55	2	3	"1,160"	34	2.9	52	4.5	165	14.2	275	23.7	612	52.8	DS	0.2	20	1.7	239	20.6	8	0.7	92	7.9	604
Wyoming		56	4	8	97	5	5.2	0	0	23	23.7	DS	2.1	67	69.1	0	0	0	0	40	41.2	DS	2.1	5	5.2	88
