State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"20,628"	220	1.1	335	1.6	"4,537"	22	"8,166"	39.6	"6,861"	33.3	63	0.3	446	2.2	"2,564"	12.4	529	2.6	"1,151"	5.6	"29,778"
Alabama		1	3	6	367	0	0	0	0	15	4.1	159	43.3	191	52	0	0	DS	0.5	17	4.6	DS	0.5	5	1.4	509
Alaska		2	4	9	25	14	56	0	0	0	0	DS	8	9	36	0	0	0	0	5	20	0	0	8	32	288
Arizona		4	4	8	271	24	8.9	5	1.8	99	36.5	9	3.3	125	46.1	DS	0.7	7	2.6	37	13.7	DS	0.7	10	3.7	773
Arkansas		5	3	7	"1,013"	DS	0.2	19	1.9	92	9.1	681	67.2	208	20.5	DS	0.2	9	0.9	52	5.1	16	1.6	71	7	309
California		6	4	9	270	5	1.9	18	6.7	132	48.9	34	12.6	70	25.9	4	1.5	7	2.6	36	13.3	DS	0.7	47	17.4	"2,966"
Colorado		8	4	8	67	DS	3	DS	3	29	43.3	11	16.4	21	31.3	0	0	DS	3	11	16.4	0	0	11	16.4	552
Connecticut		9	1	1	54	0	0	DS	3.7	19	35.2	18	33.3	13	24.1	0	0	DS	3.7	10	18.5	DS	3.7	DS	3.7	317
Delaware		10	3	5	30	0	0	0	0	0	0	15	50	13	43.3	0	0	DS	6.7	4	13.3	0	0	0	0	79
District of Columbia		11	3	5	19	0	0	0	0	DS	10.5	17	89.5	0	0	0	0	0	0	5	26.3	0	0	0	0	73
Florida		12	3	5	"1,857"	12	0.6	10	0.5	444	23.9	582	31.3	741	39.9	4	0.2	64	3.4	227	12.2	96	5.2	109	5.9	"1,376"
Georgia		13	3	5	"3,480"	7	0.2	34	1	442	12.7	"2,009"	57.7	894	25.7	DS	0.1	92	2.6	334	9.6	22	0.6	149	4.3	648
Hawaii		15	4	9	54	DS	3.7	10	18.5	DS	3.7	DS	3.7	6	11.1	28	51.9	4	7.4	5	9.3	DS	3.7	10	18.5	81
Idaho		16	4	8	53	DS	3.8	0	0	6	11.3	0	0	43	81.1	DS	3.8	0	0	4	7.5	DS	3.8	0	0	220
Illinois		17	2	3	315	0	0	4	1.3	58	18.4	116	36.8	125	39.7	0	0	12	3.8	28	8.9	DS	0.6	21	6.7	"1,585"
Indiana		18	2	3	164	0	0	0	0	12	7.3	46	28	93	56.7	0	0	13	7.9	44	26.8	DS	1.2	7	4.3	506
Iowa		19	2	4	41	DS	4.9	DS	4.9	DS	4.9	6	14.6	25	61	DS	4.9	DS	4.9	4	9.8	DS	4.9	DS	4.9	397
Kansas		20	2	4	10	0	0	0	0	4	40	DS	20	4	40	0	0	0	0	DS	20	0	0	DS	20	424
Kentucky		21	3	6	73	0	0	DS	2.7	DS	2.7	11	15.1	56	76.7	0	0	DS	2.7	18	24.7	0	0	DS	2.7	443
Louisiana		22	3	7	"2,963"	24	0.8	8	0.3	71	2.4	"1,922"	64.9	919	31	DS	0.1	17	0.6	352	11.9	176	5.9	35	1.2	579
Maine		23	1	1	20	0	0	0	0	DS	10	DS	10	16	80	0	0	0	0	6	30	DS	10	0	0	206
Maryland		24	3	5	195	0	0	DS	1	16	8.2	127	65.1	42	21.5	DS	1	6	3.1	28	14.4	8	4.1	DS	1	384
Massachusetts		25	1	1	211	0	0	16	7.6	69	32.7	36	17.1	80	37.9	0	0	10	4.7	49	23.2	5	2.4	34	16.1	486
Michigan		26	2	3	411	10	2.4	DS	0.5	17	4.1	153	37.2	218	53	0	0	11	2.7	67	16.3	9	2.2	4	1	"1,059"
Minnesota		27	2	4	99	7	7.1	DS	2	22	22.2	8	8.1	58	58.6	0	0	DS	2	18	18.2	0	0	5	5.1	714
