State	Nation_ID	State_ID	Region_ID	Division_ID	Total Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"2,770"	39	1.4	89	3.2	524	18.9	"1,236"	44.6	814	29.4	12	0.4	56	2	570	20.6	24	0.9	110	4	"95,635"
Alabama		1	3	6	20	0	0	0	0	DS	10	9	45	9	45	0	0	0	0	16	80	0	0	0	0	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	8	DS	25	0	0	0	0	0	0	6	75	0	0	0	0	4	50	0	0	0	0	"1,920"
Arkansas		5	3	7	32	0	0	0	0	0	0	11	34.4	19	59.4	0	0	DS	6.3	21	65.6	DS	6.3	DS	6.3	"1,097"
California		6	4	9	114	0	0	DS	1.8	71	62.3	28	24.6	13	11.4	0	0	0	0	34	29.8	0	0	13	11.4	"9,866"
Colorado		8	4	8	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	0	0	"1,811"
Connecticut		9	1	1	16	0	0	0	0	4	25	4	25	8	50	0	0	0	0	10	62.5	0	0	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	16	0	0	0	0	4	25	4	25	8	50	0	0	0	0	10	62.5	0	0	0	0	"3,886"
Georgia		13	3	5	718	0	0	77	10.7	243	33.8	363	50.6	4	0.6	0	0	31	4.3	19	2.6	0	0	66	9.2	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	DS	100	0	0	0	0	703
Illinois		17	2	3	88	0	0	0	0	18	20.5	45	51.1	25	28.4	0	0	0	0	62	70.5	DS	2.3	0	0	"4,221"
Indiana		18	2	3	48	0	0	0	0	6	12.5	6	12.5	34	70.8	0	0	DS	4.2	17	35.4	DS	4.2	DS	4.2	"1,875"
Iowa		19	2	4	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	DS	100	0	0	0	0	"1,458"
Kansas		20	2	4	8	0	0	0	0	DS	25	DS	25	4	50	0	0	0	0	4	50	0	0	0	0	"1,389"
Kentucky		21	3	6	DS	0	0	0	0	0	0	DS	100	0	0	0	0	0	0	DS	100	0	0	0	0	"1,417"
Louisiana		22	3	7	111	0	0	0	0	5	4.5	85	76.6	21	18.9	0	0	0	0	13	11.7	6	5.4	0	0	"1,394"
Maine		23	1	1	DS	0	0	0	0	0	0	0	0	DS	100	0	0	0	0	DS	100	0	0	0	0	595
