State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"2,266"	27	1.2	15	0.7	278	12.3	803	35.4	"1,103"	48.7	DS	0.1	38	1.7	36	1.6	"95,635"
Alabama		1	3	6	20	0	0	0	0	DS	10	9	45	9	45	0	0	0	0	DS	10	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	14	DS	14.3	0	0	DS	14.3	0	0	10	71.4	0	0	0	0	0	0	"1,920"
Arkansas		5	3	7	61	0	0	0	0	6	9.8	15	24.6	38	62.3	DS	3.3	0	0	DS	3.3	"1,097"
California		6	4	9	95	0	0	DS	2.1	63	66.3	12	12.6	14	14.7	DS	2.1	DS	2.1	11	11.6	"9,866"
Colorado		8	4	8	28	0	0	DS	7.1	10	35.7	6	21.4	10	35.7	0	0	0	0	0	0	"1,811"
Connecticut		9	1	1	34	0	0	0	0	DS	5.9	5	14.7	25	73.5	0	0	DS	5.9	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	36	0	0	DS	5.6	7	19.4	11	30.6	14	38.9	0	0	DS	5.6	0	0	"3,886"
Georgia		13	3	5	162	0	0	0	0	5	3.1	124	76.5	31	19.1	0	0	DS	1.2	0	0	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
Idaho		16	4	8	7	0	0	0	0	DS	28.6	0	0	5	71.4	0	0	0	0	0	0	703
Illinois		17	2	3	184	0	0	4	2.2	18	9.8	100	54.3	60	32.6	0	0	DS	1.1	DS	1.1	"4,221"
Indiana		18	2	3	66	0	0	DS	3	DS	3	4	6.1	56	84.8	0	0	DS	3	0	0	"1,875"
Iowa		19	2	4	21	0	0	DS	9.5	0	0	DS	9.5	15	71.4	0	0	DS	9.5	0	0	"1,458"
Kansas		20	2	4	21	0	0	0	0	0	0	DS	9.5	19	90.5	0	0	0	0	0	0	"1,389"
Kentucky		21	3	6	7	0	0	0	0	0	0	0	0	5	71.4	0	0	DS	28.6	0	0	"1,417"
Louisiana		22	3	7	46	DS	4.3	0	0	0	0	32	69.6	12	26.1	0	0	0	0	0	0	"1,394"
Maine		23	1	1	8	0	0	0	0	0	0	0	0	8	100	0	0	0	0	0	0	595
Maryland		24	3	5	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	"1,444"
Massachusetts		25	1	1	45	0	0	0	0	12	26.7	4	8.9	29	64.4	0	0	0	0	0	0	"1,834"
Michigan		26	2	3	172	DS	1.2	0	0	5	2.9	23	13.4	140	81.4	0	0	DS	1.2	0	0	"3,626"
Minnesota		27	2	4	163	5	3.1	0	0	12	7.4	88	54	56	34.4	0	0	DS	1.2	5	3.1	"2,077"
Mississippi		28	3	6	36	0	0	0	0	0	0	21	58.3	15	41.7	0	0	0	0	0	0	973
Missouri		29	2	4	32	0	0	DS	6.3	0	0	11	34.4	19	59.4	0	0	0	0	DS	6.3	"2,312"
Montana		30	4	8	6	DS	33.3	0	0	0	0	0	0	4	66.7	0	0	0	0	0	0	781
Nebraska		31	2	4	21	DS	9.5	0	0	DS	9.5	DS	9.5	15	71.4	0	0	0	0	0	0	"1,073"
Nevada		32	4	8	17	0	0	0	0	5	29.4	5	29.4	5	29.4	0	0	DS	11.8	DS	11.8	649
New Hampshire		33	1	1	14	0	0	0	0	0	0	0	0	14	100	0	0	0	0	0	0	478
