State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races 	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
United States	US_National				"2,836"	39	1.4	17	0.6	336	11.8	"1,028"	36.2	"1,366"	48.2	DS	0.1	48	1.7	49	1.7	"95,635"
Alabama		1	3	6	36	0	0	0	0	4	11.1	16	44.4	16	44.4	0	0	0	0	DS	5.6	"1,432"
Alaska		2	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493
Arizona		4	4	8	18	4	22.2	0	0	DS	11.1	0	0	12	66.7	0	0	0	0	0	0	"1,920"
Arkansas		5	3	7	82	0	0	0	0	6	7.3	20	24.4	52	63.4	DS	2.4	DS	2.4	4	4.9	"1,097"
California		6	4	9	129	0	0	DS	1.6	83	64.3	20	15.5	20	15.5	DS	1.6	DS	1.6	17	13.2	"9,866"
Colorado		8	4	8	28	0	0	DS	7.1	10	35.7	6	21.4	10	35.7	0	0	0	0	0	0	"1,811"
Connecticut		9	1	1	44	0	0	0	0	4	9.1	7	15.9	31	70.5	0	0	DS	4.5	0	0	"1,122"
Delaware		10	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
District of Columbia		11	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
Florida		12	3	5	46	0	0	DS	4.3	9	19.6	13	28.3	20	43.5	0	0	DS	4.3	0	0	"3,886"
Georgia		13	3	5	181	0	0	0	0	7	3.9	135	74.6	35	19.3	0	0	4	2.2	0	0	"2,422"
Hawaii		15	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
